Party and Electorate Candidate Votes Recorded at each Voting Place
Dunedin 8,Candidate Vote Details
,,"BROOKING, Rachel","ELDER, Cyndee Marie","HERNANDEZ, Francisco Bagkus","LANGEVELD, Keegan John","LAWTON, Stephen John","McDERMOTT, Adrian Gordon","NEWMAN, Timothy","O'MALLEY, James Paul","PETERS, Benjamin Arthur","TAYLOR, Pamela","WOODHOUSE, Michael Allan",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Andersons Bay,"Edgar Centre, 116 Portsmouth Drive",131,0,35,6,1,0,19,5,7,0,103,307,1
Brockville,"Brockville School, 263 Brockville Road",79,0,9,4,2,1,12,2,1,1,20,131,0
Caversham,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",118,0,24,13,5,5,16,17,6,0,80,284,1
,"Pacific Trust Otago, 350 South Road",21,1,6,0,0,0,0,0,2,1,1,32,2
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",26,0,5,0,1,0,0,0,3,0,13,48,0
,"Exchange Area Voting Place, 1 Queens Gardens",533,2,232,31,10,12,62,44,58,1,277,1262,8
,"Meridian Mall, Hanover Street entrance, 285 George Street",1315,9,602,82,19,19,132,84,165,4,762,3193,25
,"Municipal Chambers, The Octagon",913,2,348,40,12,14,66,75,69,5,378,1922,16
,"Te Hou Ora Whānau Services, 78 Carroll Street",21,0,11,1,1,1,1,3,3,0,10,52,0
,"The Salvation Army, 575 Princes Street",55,1,30,7,0,1,7,2,3,0,35,141,1
,"Unipol Recreation Services, University Plaza Building, 130 Anzac Avenue",56,0,28,1,2,2,9,9,10,0,32,149,0
Dunedin North,"Al Huda Mosque, 21 Clyde Street",20,0,11,1,1,0,0,3,3,0,9,48,1
,"Otago Polytechnic Te Pūkenga, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",277,0,239,11,6,8,14,24,31,0,84,694,1
,"Te Huka Mātauraka, The Māori Centre, 519 Castle Street North",13,0,13,1,1,0,0,1,2,0,5,36,0
,"University of Otago, ISB Link, 65 Albany Street",1007,11,1378,26,10,33,66,88,230,3,465,3317,5
,"University of Otago, St David's Complex, St David Street",569,7,477,15,8,12,43,38,130,3,258,1560,11
Green Island,"Green Island Civic Hall, 5 Howden Street",79,2,16,12,3,1,6,3,3,0,54,179,1
Māori Hill,"Balmacewen Bowling Club, 31 Balmacewen Road",418,3,78,25,5,6,54,41,25,0,391,1046,7
Mornington,"Mornington School Hall, 34 Elgin Road",102,0,32,10,2,2,19,4,9,0,74,254,3
Mosgiel,"Chatsford Events Centre, Elmwood Drive",5,0,2,1,0,0,2,0,1,0,3,14,0
,"Former The Warehouse Building, 161 Gordon Road",75,0,21,5,3,3,10,5,3,0,42,167,4
Oamaru,"Oamaru Central, former Noel Leeming Building, 145 Thames St",5,0,1,0,2,0,0,0,1,0,3,12,0
Palmerston,"Waihemo Service Centre, 54 Tiverton Street",2,0,2,0,1,0,1,0,0,0,4,10,0
Port Chalmers,"Port Chalmers Town Hall, 1 Grey Street",558,3,107,50,5,8,30,35,12,0,129,937,4
South Dunedin,"Nations Church, 334 King Edward Street",265,5,56,24,7,2,27,15,13,4,158,576,5
,"The Warehouse South Dunedin, 64 Hillside Road",1034,12,268,84,25,27,97,60,65,1,479,2152,29
Taken in Dunedin,"Care Homes & Hospital, Team 1",135,0,18,10,0,2,4,17,4,3,78,271,19
Waikouaiti,"East Otago Events Centre, 215 Main Road",211,3,39,39,18,11,46,22,14,0,208,611,5
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",12,0,5,1,0,1,2,1,1,0,18,41,0

Voting Places
Andersons Bay,"Andersons Bay School, 92 Jeffery Street",42,0,13,9,2,2,9,4,1,0,49,131,1
,"Edgar Centre, 116 Portsmouth Drive",92,1,42,17,14,3,22,12,11,0,70,284,2
Bradford,"Bradford School, 42A Bradford Street",95,5,18,4,2,2,11,5,7,0,53,202,1
Brockville,"Brockville School, 263 Brockville Road",266,3,34,24,8,7,18,6,19,0,65,450,6
Caversham,"Carisbrook School, 217 South Road",44,0,7,9,7,5,3,3,6,0,7,91,1
,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",10,2,8,2,1,2,2,0,2,0,11,40,0
,"Pacific Trust Otago, 350 South Road",13,0,0,2,1,1,0,0,0,0,5,22,0
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",55,0,35,6,0,3,2,2,3,1,20,127,2
,"Exchange Area Voting Place, 1 Queens Gardens",59,0,31,4,11,3,8,3,12,0,46,177,1
,"Meridian Mall, Hanover Street entrance, 285 George Street",168,1,88,15,4,5,20,4,27,1,80,413,3
,"Municipal Chambers, The Octagon",110,1,75,4,2,6,7,8,10,0,31,254,2
,"Otago Boys' High School, 2 Arthur Street",77,1,30,6,3,2,13,11,11,2,53,209,3
,"Te Hou Ora Whānau Services, 78 Carroll Street",28,0,8,1,3,1,1,1,0,0,8,51,0
,"The Salvation Army, 575 Princes Street",52,1,22,13,1,3,4,2,8,0,27,133,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",197,0,167,11,5,10,16,17,62,0,112,597,2
Green Island,"Green Island Civic Hall, 5 Howden Street",14,0,2,3,0,1,0,2,2,0,17,41,0
Halfway Bush,"Halfway Bush School Hall, 54 Ashmore Street",212,2,35,20,10,7,23,11,7,1,86,414,7
Kaikorai,"Kaikorai Presbyterian Church Hall, 127 Taieri Road",297,3,62,28,16,3,30,19,25,0,159,642,5
Karitāne,"Karitāne Primary School, 183 Coast Road",68,0,25,11,4,2,4,9,4,2,58,187,1
Long Beach,"Long Beach Community Hall, 22 Driver Street",45,0,13,3,3,2,8,5,5,0,24,108,0
Macandrew Bay,"Macandrew Bay School, 488 Portobello Road",291,1,68,18,7,8,24,24,15,0,133,589,7
Māori Hill,"Balmacewen Bowling Club, 31 Balmacewen Road",188,2,37,13,2,2,33,26,16,1,175,495,5
Maryhill,"St Francis Xavier School, Parish Centre, 27 Benhar Street",209,4,53,24,4,4,26,13,12,1,127,477,4
Mornington,"Mornington School Hall, 34 Elgin Road",447,0,104,44,16,16,43,23,39,1,225,958,7
Mosgiel,"Chatsford Events Centre, Elmwood Drive",5,0,0,0,0,0,0,0,0,0,2,7,0
,"Former The Warehouse Building, 161 Gordon Road",11,1,10,3,3,3,3,1,1,0,9,45,0
Musselburgh,"Musselburgh Baptist Church, 131 Musselburgh Rise",41,2,9,5,5,1,4,4,4,0,41,116,1
North East Valley,"Dunedin North Intermediate School, Design Lobby, 34 North Road",273,1,115,17,18,6,17,20,19,1,99,586,4
,"North East Valley Normal School, 248 North Road",281,3,78,33,14,12,21,30,21,0,66,559,7
Opoho,"Opoho School, 96 Signal Hill Road",198,0,62,3,4,2,9,28,19,1,40,366,2
Otakou,"Te Rūnanga o Ōtākou, Ōtākou Marae, 45 Tamatea Road",34,0,10,3,2,3,1,2,3,0,10,68,1
Pine Hill,"Pine Hill School, 11 Hislop Street",280,4,55,34,10,4,14,20,14,2,62,499,5
Port Chalmers,"Port Chalmers Town Hall, 1 Grey Street",249,2,78,18,11,10,23,16,9,1,60,477,3
Portobello,"Portobello School, 30 Harrington Point Road",177,0,43,19,12,6,14,14,8,1,70,364,5
Ravensbourne,"Ravensbourne School, 8 Wanaka Street",161,3,41,15,9,5,15,3,12,0,55,319,3
Roslyn,"Roslyn Kindergarten, 69 Highgate",239,3,58,6,1,3,25,23,21,0,123,502,5
,"St John's Anglican Church Lounge, 373 Highgate",138,2,42,13,2,2,8,22,15,0,116,360,2
Sawyers Bay,"Sawyers Bay School, 99 Stevenson Avenue",182,0,39,16,13,13,16,9,17,1,103,409,3
South Dunedin,"Bathgate Park School, 213 Macandrew Road",24,0,9,3,2,1,3,1,3,0,12,58,0
