Party and Electorate Candidate Votes Recorded at each Voting Place
Whanganui 62,Candidate Vote Details
,,"ARNOLD, William James","BATES, Carl Michael","DREDGE, Craig","KYLE, Sandra","LEWIS CARR, Stephanie Ann","SANSON, Marion",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Aramoho,"Aramoho School Hall, Pasifika Innovation Hub, 2 Mitchell Street",49,230,30,5,323,36,673,14
Eltham,"All Saints Church Hall, 88 King Edward Street",87,374,48,17,230,33,789,9
Gonville,"Baden Powell Scout Hall, 13 Swiss Avenue",165,581,43,16,816,79,1700,19
Hāwera,"Presbyterian Centre, 35 Argyle Street",289,2251,224,38,1120,152,4074,42
New Plymouth,"Hospital & Hospice Team, 54 Gill Street",1,4,1,0,4,1,11,0
Ōpunake,"Ōpunake High School Hall, 149-151 Tasman Street",1,13,4,1,2,0,21,0
,"Ōpunake Library Plus, 43 Tasman Street",7,62,5,0,12,2,88,0
Pātea,"Patea Old Folks Association Hall, 139 Egmont Street",51,180,22,4,178,23,458,4
Springvale,"Jubilee Stadium, 228 London Street",135,1412,73,15,796,90,2521,13
Stratford,"Stratford War Memorial Hall, 55 Miranda Street",209,1319,126,22,578,90,2344,34
Taken in Whanganui,"Hospitals and Care Homes - North, Team 2",12,67,2,1,47,3,132,2
,"Hospitals and Care Homes Team, Team 1",17,56,2,5,107,6,193,12
,"Pop-up Voting Services - Te Awa Tupua, Various Locations",0,6,1,0,6,2,15,1
Tawhero,"Whanganui Cook Island Community Hall, 71 Puriri Street (corner Harper Street)",80,257,26,8,441,41,853,9
Whanganui,"St Andrew's Presbyterian Church, 42 Glasgow Street",89,638,45,12,525,73,1382,15
,"St Mary's Church Hall, (corner Guyton Street & Wicksteed Street)",125,1375,55,18,1068,107,2748,24
Whanganui East,"Hakeke Street Community Centre, 65 Hakeke Street",108,499,38,10,578,72,1305,13

Voting Places
Aberfeldy,"Aberfeldy School, 2317 Parapara Road (State Highway 4)",0,12,0,0,2,0,14,0
Alton,"Alton Coronation Hall, 355 Ball Road",9,86,6,0,6,0,107,0
