Party and Electorate Candidate Votes Recorded at each Voting Place
Tukituki 54,Candidate Vote Details
,,"DOUGLAS, Robert George","HULMAN, Rob","LORCK, Anna","MANNING, Romana (Marnz)","NGAHUKA, Michael Dane Joseph","PETROWSKI, Melanie Lorraine","PONK, Michael","RATCLIFFE, Nicholas","TOSH, Allister David","WEDD, Catherine",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Camberley,"Camberley Community Centre, 703 Kiwi Street",4,1,153,12,7,3,0,8,0,50,238,4
Clive,"Clive Community Hall, 162 Main Road",72,32,274,8,3,3,1,67,3,581,1044,12
Flaxmere,"Flaxmere Community Centre, 30 Swansea Road",44,23,805,32,46,12,0,75,5,402,1444,24
Hastings,"Hastings Sports Centre, 503 Railway Road",188,59,1145,48,32,10,2,215,5,2213,3917,35
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",314,87,1496,40,19,17,2,312,7,5069,7363,49
Mahora,"St John's Presbyterian Church, Jireh Hall, 608 Frederick Street",133,41,934,31,23,9,3,128,1,1485,2788,18
Marewa,"Marewa Shopping Centre, Marewa Books, 118 Kennedy Road",10,0,26,0,2,1,0,11,1,62,113,2
Napier South,"PAK'nSAVE Napier, 25 Munroe Street",18,7,103,8,5,1,0,16,0,182,340,3
Ōtāne,"Otane Hall, 27 Higginson Street",14,1,49,3,1,0,1,11,0,92,172,4
Taken in Napier,"Care Homes, Team 1",0,0,8,0,0,0,0,0,0,5,13,0
Taken in Tukituki,"Care Homes Team, Team 2",9,0,58,0,0,2,1,3,0,76,149,7
,"Hawkes Bay Hospital Team, Team 3",4,1,24,2,0,0,0,2,0,23,56,4
,"Pop-up Voting Services, Various Locations - Central Hawkes Bay and Tararua",9,1,2,0,0,1,0,2,0,22,37,0
,"Pop-up Voting Services - Team 1, Various Locations",28,13,264,5,4,4,0,40,2,247,607,8
,"Pop-up Voting Services - Team 2, Various Locations",15,2,227,4,5,4,0,18,0,328,603,11
Taradale,"Taradale Town Hall, 8 Meeanee Road",17,11,74,7,2,1,0,11,1,268,392,4
Waipawa,"Waipawa Library, Meeting Room, 64 High Street",8,10,43,3,1,0,1,8,1,100,175,1
Waipukurau,"Waipukurau Library, Meeting Rooms, 4 Bogle Brothers Esplanade",19,16,73,6,2,3,0,17,0,286,422,8
Whakatu,"Whakatu Hall, 5 Station Road",5,4,26,4,3,1,0,7,0,54,104,1

Voting Places
Akina,"Hastings Central School Gymnasium, 400 Karamu Road South",26,17,167,10,1,4,0,22,0,117,364,10
,"Hastings Christian School, 1009 Copeland Road",24,21,137,17,12,5,0,31,0,259,506,2
,"St Joseph's School Hall, 404 Eastbourne Street East",24,22,153,10,2,1,0,29,1,168,410,8
Argyll East,"Argyll East School, 1071 Argyll East Road",5,0,3,0,0,0,0,1,0,61,70,1
Ashley Clinton,"Sherwood Hall, 358 Makaretu Road",4,8,10,1,0,0,0,2,0,76,101,0
Bridge Pa,"Bridge Pa School, 1642 Maraekakaho Road",13,10,30,6,0,2,0,10,1,109,181,0
Camberley,"Camberley Community Centre, 703 Kiwi Street",3,4,97,5,4,1,1,10,0,14,139,5
Clive,"Clive Community Hall, 162 Main Road",22,27,155,12,3,0,2,41,2,252,516,4
Elsthorpe,"Elsthorpe Community Hall, 7 Kenderine Road",10,4,23,1,0,1,0,17,0,86,142,1
Flaxmere,"Flaxmere Christian Fellowship Church, 220 Flaxmere Avenue",3,2,82,5,31,0,1,7,1,29,161,5
,"Flaxmere Community Centre, 30 Swansea Road",11,8,156,8,10,1,0,10,1,45,250,7
,"Flaxmere Primary School Hall, 12 Whitby Crescent",11,1,100,6,4,0,1,5,0,31,159,2
,"Flaxmere Rugby and Sports Club, 280 Portsmouth Road",2,3,48,4,4,0,0,2,0,14,77,0
