Party and Electorate Candidate Votes Recorded at each Voting Place
Ōtaki 34,Candidate Vote Details
,,"COSTLEY, Timothy John","MUHAMMAD JAWAD, Wajahat Ali","NGOBI, Terisa","RUSH, Sean Edward","TEN-HAVE, Bryan Gerard","WESSEX, Roberta",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Foxton,"Te Awahou Nieuwe Stroom, 92 Main Street",677,55,601,60,39,2,1434,32
Foxton Beach,"Foxton Beach Primary School Hall, 10 Carthew Terrace",64,5,43,6,5,0,123,2
Ihakara,"Ihakara Hall, (corner Tavistock Road & State Highway 57)",37,1,4,2,3,0,47,0
Kelburn,"Victoria University, The Hub, Kelburn Parade",11,11,13,0,0,0,35,0
Levin,"Arohamai Literacy Centre, 19 Bristol Street",22,5,33,0,0,0,60,1
,"Horowhenua District Council, 126 Oxford Street",1021,78,661,65,33,5,1863,21
,"Horowhenua Learning Centre, 102 Liverpool Street",36,5,40,3,1,1,86,0
,"Muaupoko Tribal Authority Inc, 306 Oxford Street",15,1,19,1,0,0,36,1
,"Taitoko School Hall, 38 Kinross Street",10,1,23,2,0,0,36,2
,"Te Kokiri Development Consultancy Inc, 18 Hokio Beach Road",10,1,10,0,0,0,21,1
,"Te Takeretanga o Kura-hau-pō - Levin Public Library, 10 Bath Street",2268,187,1969,111,83,12,4630,83
Ōhau,"Ōhau School Hall, 13 Muhunoa East Road",95,2,28,1,1,0,127,0
Ōtaki,"Nga Purapura-Te Wānanga O Raukawa, 145 Tasman Road",81,35,173,4,6,0,299,0
,"Ōtaki Presbyterian Church, 249 Mill Road",1135,127,870,78,56,3,2269,31
Ōtaki Beach,"Ōtaki Health Camp, 29 Health Camp Road",37,4,40,1,2,0,84,2
Paraparaumu,"Coastlands Mall, Countdown Foyer, Old State Highway 1",2640,291,1814,127,77,11,4960,69
,"Kapiti Youth Support, 15 Tutanekai Street",58,10,42,4,2,1,117,1
,"Paraparaumu College, Te Whare Ahurea, Cultural Centre, 151 Mazengarb Road",26,6,27,0,0,0,59,0
,"St Paul's Anglican Church, 1 Langdale Avenue",1799,159,904,54,35,4,2955,28
Plimmerton,"St Theresa's Catholic Church, 210 St Andrews Road",2,0,6,0,0,0,8,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",29,14,27,1,1,0,72,0
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",49,6,35,3,3,0,96,1
Shannon,"Shannon Memorial Hall, 8 Grey Street",10,0,1,0,0,0,11,0
Taken in Mana,"Pop-up Voting Services, Various Locations - Raumati Beach and Tītahi Bay",9,1,8,0,0,0,18,0
Taken in Ōtaki,"Care Homes - North, Team 1",29,5,46,2,1,0,83,12
,"Care Homes - South, Team 2",65,10,78,9,1,0,163,14
Waikanae,"Waikanae Marae, 2 Marae Lane",788,123,707,34,11,2,1665,17
,"Waikanae Presbyterian Church, 43 Ngaio Road",1971,158,1048,62,59,6,3304,34
Waitārere Beach,"Waitārere Scout Hall, Waitārere Domain",52,12,36,8,1,0,109,2
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",63,15,56,1,1,0,136,0
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",25,6,16,1,0,0,48,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",29,8,23,1,0,0,61,0

Voting Places
Foxton,"Coley Street School Hall, 53 Coley Street",122,6,98,24,16,1,267,3
,"Foxton Primary School Hall, 5 Park Street",187,23,180,18,21,0,429,8
Foxton Beach,"Foxton Beach Primary School Hall, 10 Carthew Terrace",155,16,100,18,16,3,308,4
Ihakara,"Ihakara Hall, (corner Tavistock Road & State Highway 57)",195,13,52,11,7,0,278,6
Levin,"Fairfield School Hall, 89 MacArthur Street",287,21,160,20,15,0,503,4
,"Horowhenua District Council, 126 Oxford Street",273,28,254,22,21,0,598,17
,"Levin Baptist Church, 19 Rugby Street",102,9,88,12,10,1,222,3
,"Levin East School Hall, 90 Bartholomew Road",255,41,251,18,21,0,586,11
,"Levin Intermediate School Hall, 20 Collingwood Street",143,20,150,15,11,1,340,3
,"Levin North School Hall, 148 Weraroa Road",275,17,261,22,19,0,594,8
,"Taitoko School Hall, 38 Kinross Street",55,10,94,0,7,0,166,1
Manakau,"Manakau District Hall, 12 Mokena Kohere Street",189,15,87,18,7,0,316,1
Ōhau,"Ōhau School Hall, 13 Muhunoa East Road",313,16,95,16,8,0,448,3
Ōtaki,"Nga Purapura-Te Wānanga O Raukawa, 145 Tasman Road",29,16,48,3,7,0,103,0
,"Ōtaki Presbyterian Church, 249 Mill Road",192,33,185,9,18,3,440,7
,"Ōtaki Primary School, 123 Mill Road",94,23,104,4,17,0,242,1
,"Waitohu School Hall, Te Manuao Road",150,21,84,12,6,0,273,5
Ōtaki Beach,"Ōtaki Health Camp, 29 Health Camp Road",44,15,93,3,14,1,170,1
Paraparaumu,"Paraparaumu Baptist Church, 77 Ruapehu Street",35,7,30,2,13,1,88,1
,"Paraparaumu Bridge Club, 1 Brett Ambler Way",183,36,136,18,15,0,388,5
,"Paraparaumu College, 151 Mazengarb Road",335,66,188,19,11,1,620,2
,"St Paul's Anglican Church, 1 Langdale Avenue",306,66,196,14,28,2,612,9
Paraparaumu Beach,"Kenakena Primary School, 12 Donovan Road",87,24,81,8,2,0,202,0
,"Ocean Road Community Centre, 45 Ocean Road",208,31,129,11,10,0,389,3
,"Paraparaumu Beach Guide Hall, 28 Te Kupe Road",196,23,121,14,6,3,363,3
,"Paraparaumu Beach School Hall, 65 Gray Avenue",198,30,83,11,10,1,333,4
Porirua City Centre,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",7,3,6,0,0,0,16,0
Poroutawhao,"Poroutawhao Hall, 800 State Highway 1",58,2,19,5,3,0,87,0
Raumati Beach,"Raumati Beach School Hall, 26-34 Raumati Road",36,6,16,3,5,0,66,0
Raumati South,"Raumati South School Hall, 54A Matai Road",6,4,1,0,1,0,12,0
Shannon,"Shannon Memorial Hall, 8 Grey Street",20,0,10,1,3,0,34,1
Te Horo,"Te Horo Primary School, 124 School Road",267,27,124,14,21,2,455,8
Waikanae,"Kapakapanui School Hall, 23 Rimu Street",158,18,121,9,6,1,313,2
,"Waikanae Baptist Church, 286 Te Moana Road",326,28,137,18,13,0,522,7
,"Waikanae Presbyterian Church, 43 Ngaio Road",292,41,181,14,20,0,548,10
,"Waikanae Primary School Hall, 27 Seddon Street",282,58,217,25,20,1,603,4
Waikanae Beach,"Kapiti Uniting Parish, 9 Taiata Street",229,38,104,12,16,0,399,5
Waitārere Beach,"Waitārere Scout Hall, Waitārere Domain",124,23,74,12,5,0,238,5
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",2,2,2,2,0,0,8,0

,Overseas Special Votes Including Defence Force - Ōtaki,429,122,305,28,15,0,899,3
,Special Votes BEFORE Polling Day - Ōtaki,1335,323,1146,106,70,4,2984,87
,Special Votes ON Polling Day - Ōtaki,796,281,661,94,123,2,1957,38
,Voting places where less than 6 votes were taken,7,2,1,1,0,0,11,2

,Ōtaki Total,22145,2946,15874,1327,1078,75,43445,640

,Valid Candidate Votes plus Informal Candidate Votes,,44085

Electorate Candidate Valid Votes,Party,,,"COSTLEY, Timothy John - majority 6271"
"COSTLEY, Timothy John",National Party,22145,50.97
"MUHAMMAD JAWAD, Wajahat Ali",Green Party,2946,6.78
"NGOBI, Terisa",Labour Party,15874,36.54
"RUSH, Sean Edward",ACT New Zealand,1327,3.05
"TEN-HAVE, Bryan Gerard",New Zealand Loyal,1078,2.48
"WESSEX, Roberta",NAP,75,0.17
