Party and Electorate Candidate Votes Recorded at each Voting Place
Hamilton West 13,Candidate Vote Details
,,"DOYLE, Benjamin Cody","DU PLOOY, Rudolph Arnoldus","POCOCK, Naomi Jane","POTAKA, Tama William","STEVENSON, Susan Frances","STONE, Kevin","WILLIAMSON, Myra Elsie Jane Bell","WILSON, Melanie",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",38,6,4,306,46,15,158,3,576,10
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",38,0,10,316,38,19,138,3,562,3
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",21,1,7,121,17,4,37,1,209,3
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",24,3,4,67,15,5,53,2,173,3
Dinsdale,"St Georges and St Davids Church, 158-160 Rifle Range Road",116,16,41,657,103,119,561,11,1624,25
Flagstaff,"Suburbs Community Sports Club, 18 Commodore Avenue",17,1,6,502,41,6,106,0,679,6
,"Te Ao Mārama School, 33 Hare Puke Drive",13,2,11,390,42,13,65,1,537,5
Frankton,"Frankton Mosque (Masjid Al Madeena), 45 Bandon Street",0,0,0,9,4,0,19,0,32,0
,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",67,7,18,326,39,41,247,7,752,7
Glenview,"Glenview Community Centre, 12 Tomin Road",114,22,50,755,104,95,546,14,1700,26
,"Te Wānanga o Aotearoa, Mangakōtukutuku Campus, 254 Ohaupo Road",6,1,1,14,0,2,14,0,38,1
Hamilton Central,"Centre Place, 501 Victoria Street",223,12,66,921,107,45,547,21,1942,19
,"K'aute Pasifika Fale, (corner Seddon Road & Mill Street)",10,0,1,57,8,4,55,0,135,1
,"NZMA - New Zealand Management Academies, 94 Tristram Street",4,0,0,17,1,0,9,0,31,0
,"Rainbow Hub Waikato, Level 1, 36 Bryce Street",1,0,0,4,0,0,6,0,11,0
,"Te Whare Korowai Taangatu o Kirikiriroa, 4 Hill Street",2,0,0,3,0,0,2,0,7,0
,"Wintec City Campus, Gallagher Hub, Lounge Area, (corner Anglesea Street & Ward Street)",6,0,1,14,2,2,9,0,34,0
Hamilton East,"Kirikiriroa Marae, 951 Wairere Drive",5,0,0,13,0,1,14,2,35,2
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",5,3,3,46,1,4,30,0,92,0
,"The Verandah, Lake Domain Drive",82,3,25,545,50,45,267,5,1022,9
Hillcrest,"Hillcrest Baptist Church Hall, (corner Knighton Road & Clyde Street)",13,0,2,33,5,3,27,0,83,0
,"University of Waikato, Village Green, Gate 1, Knighton Road",50,0,19,90,4,5,55,0,223,1
Melville,"Melville Methodist Church Hall, 4 Bader Street",68,9,22,477,50,63,460,5,1154,27
,"Te Manaakitanga Marae, Melville High School, 6 Collins Road",37,2,9,106,21,14,115,1,305,7
