Party and Electorate Candidate Votes Recorded at each Voting Place
Waimakariri 57,Candidate Vote Details
,,"BAKER, Leighton","CAMPBELL, Ross Eric","DOOCEY, Matthew Maurice","MALCOLM, Gordon","ROSEWARNE, Daniel Peter",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",1,0,11,0,2,14,0
Amberley,"Hurunui Library, RSA Room, 111 Carters Road (State Highway 1)",4,2,24,0,5,35,0
Belfast,"Belfast Community Centre, 710 Main North Road, Sheldon Park",6,24,312,11,170,523,6
,"Belfast Salvation Army, 794 Main North Road",26,74,1159,30,635,1924,13
Bishopdale,"Ōrauwhata: Bishopdale Library and Community Centre, 13 Bishopdale Court",18,50,808,14,387,1277,2
Christchurch Central City,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",1,4,27,0,19,51,0
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",5,2,73,3,48,131,0
,"South City Shopping Centre, 555 Colombo Street",8,7,110,1,61,187,1
,"Te Wānanga o Aotearoa, 348 Manchester Street",0,0,7,1,9,17,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,0,14,1,8,23,0
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",1,5,42,1,20,69,2
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",2,0,29,0,26,57,0
,"University of Canterbury, The Undercroft, Ilam Road",2,3,65,2,59,131,0
Kaiapoi,"Kaiapoi Community Centre, Mill Room, 24 Sewell Street",13,11,250,14,177,465,4
,"Kaiapoi Library and Service Centre, 176 Williams Street",145,173,2475,136,1584,4513,46
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",0,1,12,1,11,25,0
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",1,6,106,4,58,175,1
Oxford,"Oxford Jaycee's Hall, 56 Main Street",57,92,759,58,401,1367,13
Papanui,"Northcity Church Hall, 95A Sawyers Arms Road",1,2,48,3,14,68,0
,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",27,63,729,22,369,1210,6
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",212,194,3404,170,1348,5328,47
,"Rangiora Public Library, 141 Percival Street",134,131,2416,135,1266,4082,38
Redwood,"The Village Presbyterian Church (St Lukes), 2 Daniels Road",5,4,96,4,63,172,2
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",1,9,134,2,52,198,2
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",6,13,111,4,80,214,0
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",1,0,5,0,6,12,0
Taken in Waimakariri,"Care Homes Team, Team 1",6,19,224,9,178,436,13
Upper Riccarton,"Bush Inn Centre, (corner Riccarton Road & Waimairi Road)",4,2,33,1,11,51,0
Woodend,"Woodend Community Centre, 6A School Road",66,66,1066,41,512,1751,13
