Party and Electorate Candidate Votes Recorded at each Voting Place
Wairarapa 58,Candidate Vote Details
,,"ARNOTT, Peter Rex","BUTTERICK, Michael","CASEY, Simon Francis","GARDNER, Jared Warren","McANULTY, Kieran Michael","WADE-BROWN, Celia","WAIKARE, Te Whakapono",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Carterton,"Carterton Memorial Club, 35-37 Broadway",69,1180,95,12,1234,107,11,2708,22
Central Hawkes Bay/Tararua,"Care Homes - North, Various locations",1,25,2,1,30,6,1,66,3
Dannevirke,"The Hub, 23 Gordon Street, access from Allardice Street carpark",110,1308,156,14,858,66,28,2540,25
,"The Warehouse Dannevirke, (corner Miller Street & Main Street)",8,80,5,1,61,8,2,165,4
Eketāhuna,"Eketāhuna Community Centre, 4 Haswell Street",13,131,18,3,85,8,5,263,2
Featherston,"Anzac Hall, Supper Room, 62-64 Bell Street",23,364,35,5,654,59,10,1150,7
Greytown,"Greytown Town Centre, The Forum, 89-91 Main Street",18,767,42,2,723,57,7,1616,6
Martinborough,"Martinborough Town Hall, Supper Room, Wahinga Centre, 8 Texas Street",10,582,31,2,432,31,2,1090,1
,"The Martinborough Hotel, Wellington Room, 10-12 Memorial Square, access from Texas Street",1,84,5,0,90,8,0,188,1
Masterton,"Care Homes - South, Various locations",3,116,7,3,153,12,4,298,14
,"Prefab between Masterton Library and Supercheap, 44 Queen Street",78,1655,85,12,1517,110,28,3485,31
,"Te Awhina Cameron Community House, 2 Stuart Crescent",0,7,2,0,86,3,9,107,3
,"Te Rangimarie Marae, 131 Cole Street",6,92,6,1,134,13,8,260,2
,"The Warehouse Masterton, (corner Chapel Street & Russell Street)",33,199,24,3,284,18,5,566,2
,"Wairarapa Boxing Academy, 165 Dixon Street",36,754,43,7,753,44,16,1653,19
,"War Memorial Stadium Foyer, Recreation Centre, 2 Dixon Street",46,1229,58,5,926,77,18,2359,24
Pahiatua,"Pahiatua Town Hall, Supper Room, 5 Kiwi Street",60,672,72,15,500,44,9,1372,12
Taken in Tukituki,"Pop-up Voting Services, Various Locations - Central Hawkes Bay and Tararua",9,103,15,0,66,5,2,200,1
Taken in Wairarapa,"Pop-up Voting Services, Various Locations - Masterton and South Wairarapa",9,363,18,0,260,23,5,678,5
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",0,14,3,0,10,3,0,30,0
Waipawa,"Waipawa Library, Meeting Room, 64 High Street",29,174,29,5,186,17,4,444,3
Waipukurau,"Waipukurau Library, Meeting Rooms, 4 Bogle Brothers Esplanade",90,1202,95,14,750,66,17,2234,18
