Party and Electorate Candidate Votes Recorded at each Voting Place
Papakura 38,Candidate Vote Details
,,"COLLINS, Judith Anne","HARVEY, Katherine Jane","KANONGATA'A, Anahila Lose","KERR, Karin","KOUKA, Donna","McCORMICK, Michael Andrew","MONDS, Robert Daniel",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",2595,8,571,14,25,291,104,3608,15
Botany,"Botany Library, Level 1, Sunset Terrace",155,1,44,2,2,29,7,240,2
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",33,0,6,1,0,6,0,46,0
Burswood,"China Town, 262 Ti Rakau Drive",43,0,2,1,0,3,1,50,3
Clevedon,"Clevedon Hall, 1 Papakura-Clevedon Road",767,8,150,5,19,79,30,1058,10
Drury,"Drury Community Hall, 10 Tui Street",1158,12,217,13,17,137,75,1629,10
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",74,0,14,1,1,14,4,108,3
Karaka,"Karaka Pavilion, NZ Bloodstock Centre, 10 Hinau Road",941,8,175,6,4,89,26,1249,16
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",235,5,116,4,3,15,11,389,7
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",80,0,12,0,1,11,4,108,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",57,3,12,1,1,11,1,86,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",22,0,7,0,0,3,1,33,0
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",23,0,7,1,1,4,1,37,2
Papakura,"Harvest Christian Church, 3 Beach Road",285,20,103,3,3,33,24,471,2
,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",2086,40,1328,51,42,235,209,3991,62
,"Papakura Marae, 29 Hunua Road",224,8,196,13,4,32,17,494,8
,"South Auckland Car Club, Wellington Park, 1 Great South Road",507,6,249,5,3,71,50,891,12
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",24,0,13,2,0,0,1,40,0
Pukekohe,"Bledisloe Park Sports Centre, 5 John Street",265,2,41,1,8,41,16,374,4
,"Harrington Hall, 2 Harrington Avenue",79,1,25,1,0,14,2,122,0
Takanini,"Bruce Pulman Park, Arena Cafe, Gate A, 90 Walters Road",344,2,131,6,4,34,25,546,5
,"Takanini Hall, 8 Takanini Road",157,2,63,2,4,17,11,256,3
,"The Warehouse Takanini, 30 Walters Road",956,13,437,19,13,134,56,1628,23
Taken in Papakura,"Care Homes, Team 1",241,3,102,4,1,14,29,394,19
Taken in Takanini,"Care Homes Team, Team 1",7,0,6,1,0,1,2,17,2
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",74,0,27,0,0,7,4,112,0
Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",459,6,70,1,0,55,13,604,1

Voting Places
Ararimu,"Ararimu Hall, (corner Steel Road & Ararimu Road)",225,11,24,2,23,37,26,348,4
Ardmore,"Ardmore School Hall, 559 Papakura-Clevedon Road",173,1,41,4,4,27,17,267,3
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",605,17,195,6,23,104,35,985,12
Bombay,"Bombay School, 35 Paparata Road",415,4,89,7,24,54,29,622,2
Clevedon,"Clevedon Hall, 1 Papakura-Clevedon Road",355,8,102,4,15,44,16,544,1
Drury,"Drury Community Hall, 10 Tui Street",303,12,109,3,14,46,28,515,6
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",14,1,7,0,0,2,2,26,1
Hunua,"Hunua Hall, 2314 Hunua Road",239,4,66,0,12,54,19,394,5
Karaka,"Karaka Pavilion, NZ Bloodstock Centre, 10 Hinau Road",652,6,156,10,3,58,26,911,6
,"Karaka School Hall, 12 Blackbridge Road",150,2,18,0,6,14,12,202,2
,"Te Hihi School Hall, 767 Linwood Road (corner Batty Road)",241,2,50,4,11,37,16,361,4
Kawakawa Bay,"Kawakawa Bay Public Hall, 9 Kawakawa-Orere Road",144,2,65,4,29,27,17,288,3
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",14,1,15,2,1,1,3,37,1
Manurewa,"Alfriston School, (corner Mill Road & Alfriston Road)",79,0,23,1,2,10,4,119,2
Maraetai,"Maraetai Beach School, 154 Maraetai Drive",301,4,106,6,14,45,29,505,4
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",11,0,4,0,0,1,2,18,1
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",4,0,3,1,0,1,0,9,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",11,0,2,0,1,1,1,16,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",6,0,4,0,0,0,0,10,0
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",6,0,4,1,0,1,1,13,0
Papakura,"Cosgrove School, 10 Cosgrove Road",277,10,211,7,6,40,25,576,10
,"Harvest Christian Church, 3 Beach Road",127,8,87,0,3,15,18,258,7
