Party and Electorate Candidate Votes Recorded at each Voting Place
Kaipara ki Mahurangi 18,Candidate Vote Details
,,"BAILEY, Stephen Brent","BREWER, Sarah","BROWN, Antonio Zephyr","MARCROFT, Jennifer Lyn","PENK, Christopher Aidan","WISHART, Guy",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",26,5,40,14,333,49,467,1
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",9,3,11,6,108,12,149,1
Helensville,"Magnify Church, 118 Commercial Road",100,36,184,104,1137,465,2026,13
Henderson,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",5,0,7,1,32,17,62,2
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",7,1,4,4,37,21,74,1
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",0,2,6,3,18,9,38,1
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",4,1,8,5,72,19,109,2
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",9,0,4,2,36,10,61,0
Huapai,"St Patrick's Church, 380 Main Road",47,32,61,49,786,205,1180,5
Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",58,26,87,50,710,160,1091,7
Kumeū,"Kumeū Community Centre, 35 Access Road",163,26,125,78,1919,449,2760,14
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",15,5,12,13,75,16,136,0
Massey,"Massey High School, 274 Don Buck Road",15,3,11,4,63,37,133,1
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",31,10,51,20,156,142,410,8
Matakana,"Matakana Community Hall, 43 Matakana Valley Road",56,24,165,86,763,185,1279,8
Milford,"Milford Shopping Centre, 24 Milford Road",2,0,7,2,33,7,51,0
Milldale,"Ahutoetoe School, Ruxton Road",27,8,15,6,252,34,342,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",2,0,4,0,14,3,23,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",2,0,2,0,41,7,52,0
Orewa,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",23,9,35,16,226,41,350,4
Rānui,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",1,1,5,3,35,12,57,3
Riverhead,"Riverhead School Hall, 21 School Road",35,3,26,10,369,69,512,0
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",55,16,64,30,423,93,681,7
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",49,15,58,29,410,85,646,7
Snells Beach,"Mahurangi East Tennis Club, 296 Mahurangi East Road",62,35,123,89,913,300,1522,6
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",2,0,8,1,28,15,54,0
