Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Candidate Vote Details
,,"ANDERSEN, Virginia Ruby","BISHOP, Christopher","BLAKE, Jordan","DONOGHUE, Lee","JENNINGS, Neelusha","PARKINS, Andrew John","RANGITUTIA, Max","WYLIE-VAN EERD, Benjamin James",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Avalon,"Avalon Public Hall, 14 Mabey Road",24,22,1,2,1,1,0,4,55,0
Boulcott,"Knox Presbyterian Church Hall, 574 High Street",93,110,2,11,10,6,0,3,235,2
Eastbourne,"Eastbourne Library, 38 Rimu Street",556,577,3,25,67,17,3,13,1261,1
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",2575,3730,41,137,341,94,17,136,7071,61
,"St James Anglican Church Hall, 71 Woburn Road",232,261,4,20,27,3,1,7,555,2
Kelburn,"Victoria University, The Hub, Kelburn Parade",53,55,0,2,21,2,0,5,138,1
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",3,7,0,0,2,0,0,0,12,0
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",360,450,9,21,41,12,4,25,922,5
Melling,"Hutt City Church, 31B Marsden Street",54,79,2,9,4,1,2,5,156,0
Moera,"Moera Community Hall, 107 Randwick Crescent",150,106,2,13,11,9,0,3,294,5
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",14,10,0,0,7,0,0,1,32,0
Naenae,"Naenae Library, Hillary Court",171,142,1,15,12,5,1,5,352,3
Normandale,"St Aidan's on the Hill, Church Hall, (corner Poto Road & Stratton Street)",79,94,0,4,7,5,0,1,190,1
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",993,903,5,78,103,19,4,56,2161,14
,"Petone Working Men's Club, 47 Udy Street",515,709,2,32,33,19,3,24,1337,4
,"WelTec, Petone Campus, C Block, Room C116, 21 Kensington Avenue",28,30,0,2,5,0,0,3,68,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",21,26,0,2,6,0,1,2,58,0
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",18,22,0,0,6,1,1,0,48,1
Seaview,"Kōkiri Marae, 7-9 Barnes Street",58,50,1,3,3,2,1,4,122,0
Taitā,"Walter Nash Centre, 26 Taine Street",55,73,2,5,13,0,0,2,150,2
Taken in Hutt South,"Care Homes, Team 1",64,39,0,5,2,0,0,0,110,3
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",32,33,1,5,7,1,0,0,79,1
Wainuiomata,"Wainuiomata War Memorial Hall, 1 Queen Street",1590,1121,30,126,154,41,20,51,3133,19
Waiwhetū,"Waiwhetū Marae Meeting House, 21 Puketapu Grove",117,50,0,4,9,3,1,2,186,1
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",273,284,0,8,40,7,2,14,628,1
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",100,88,0,4,22,1,0,7,222,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",135,114,0,4,24,5,0,8,290,0

Voting Places
Alicetown,"Hutt Central School, 6 Railway Avenue",174,201,2,21,12,4,2,12,428,2
Avalon,"Avalon Intermediate School Hall, 1041 High Street",11,18,0,1,3,0,1,1,35,0
,"Avalon Public Hall, 14 Mabey Road",30,46,0,3,3,2,0,1,85,0
