Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Candidate Vote Details
,,"HENARE, Peeni Ereatara Gladwyn","KEMP, Takutai Tarsh","TAMAKI, Hannah Radclavina","TANA, Darleen","TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",38,35,1,22,4,100,0
,"Auckland City Mission, 140 Hobson Street",9,5,0,1,2,17,1
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",14,19,0,14,0,47,0
,"Auckland University Students Association, 4 Alfred Street",7,42,0,22,0,71,1
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",28,39,1,17,8,93,0
,"Pitt Street Methodist Church, Theatre, 78 Pitt Street",7,18,0,8,0,33,0
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",39,36,3,10,1,89,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",7,7,0,4,3,21,0
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",22,22,0,17,13,74,3
,"St Mary's College, 11 New Street",2,1,0,2,1,6,0
Waiheke Island,"Waiheke High School, 11 Donald Bruce Road",9,1,0,10,1,21,0
,"Waiheke Library, 131-133 Ocean View Road",24,18,1,21,4,68,4
Botany
Botany,"Botany Library, Level 1, Sunset Terrace",38,31,4,12,4,89,0
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",13,14,1,2,2,32,0
,"Pakuranga Golf Club, 199 Botany Road",4,7,2,2,3,18,0
Burswood,"China Town, 262 Ti Rakau Drive",6,5,0,1,1,13,1
Clover Park,"St Peter Chanel Church, 44 Boundary Road",23,17,2,2,1,45,1
,"Tupu Youth Library, 102 Dawson Road",134,80,11,16,3,244,4
Flat Bush,"Ormiston Mall, Shop near entrance to New World, 242 Ormiston Road",40,36,3,8,6,93,1
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",14,5,0,2,1,22,1
Epsom
Epsom,"St Andrew's Church, Lower Room, 100 St Andrews Road",9,5,1,3,1,19,0
,"St George's Church Youth Rooms, 19 Ranfurly Road",4,3,0,1,3,11,0
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",10,10,0,6,0,26,0
,"Auckland Provincial Guide Centre, 132 Grange Road",6,4,0,4,1,15,0
,"Greyfriars Presbyterian Church, McKinney Hall, 544 Mount Eden Road",10,10,0,9,1,30,0
,"Valley Road International Church Hall, 393 Mount Eden Road",1,1,0,4,0,6,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",34,37,4,37,16,128,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",15,12,1,14,3,45,0
Parnell,"Church Unlimited, 2A Augustus Terrace",5,6,0,3,0,14,0
Remuera,"St Aidan's Anglican Church, Social Lounge, 5 Ascot Avenue",3,2,0,2,4,11,1
,"St Mark's Church, Lounge, 95 Remuera Road",2,2,0,1,2,7,0
Kaipara ki Mahurangi
Westgate,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",7,14,0,2,1,24,0
Kelston
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",53,55,2,10,14,134,0
Glen Eden,"Methodist Centre of the West Church Hall, 302 West Coast Road",25,29,0,10,3,67,0
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",49,31,2,20,6,108,2
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",39,114,1,8,5,167,0
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",8,11,0,0,4,23,1
Oratia,"Hoani Waititi Marae, 451 West Coast Road",2,9,0,0,0,11,0
Titirangi,"The Crossing - Te Whakawhitia, Konini House, 30/44 Kaurilands Road",17,21,1,8,2,49,0
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",23,15,0,4,2,44,1
Manurewa
Clendon Park,"Manurewa Marae, 81 Finlayson Avenue",185,478,39,37,5,744,16
,"PAK'nSAVE Clendon, 16 Robert Ross Place",223,179,19,16,4,441,5
,"Te Matariki Clendon Community Centre & Library, 17 Palmers Road",47,54,8,7,1,117,2
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",33,41,11,17,2,104,1
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",188,177,25,40,13,443,9
Manurewa,"Manurewa Library, Community Room, 7 Hill Road",97,57,7,14,13,188,6
,"Southmall Manurewa, Centre Court, 185-201 Great South Road",57,34,6,5,2,104,1
,"St Anne's Catholic Church Hall, 126 Russell Road",27,29,5,7,1,69,2
,"St Luke's Anglican Church Hall, 3 Russell Road",57,44,4,10,7,122,1
Papatoetoe,"Papatoetoe War Memorial Library, 30 Wallace Road",72,47,2,11,4,136,6
,"Youthline Manukau, 145 Saint George Street",19,21,4,3,2,49,1
Taken in Manurewa,"Care Homes & Hospital, Team 1",7,9,2,0,2,20,1
,"Pop-up Voting Services, Various Locations - Wiri",4,7,3,0,0,14,0
,"Prison Team (ARWCF), Team 1",8,2,0,0,0,10,0
,"Prison Team (ASCF), Team 2",2,4,1,2,0,9,0
Weymouth,"Weymouth Community Hall, 11 Beihlers Road",12,5,0,1,0,18,1
Maungakiekie
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",21,24,0,10,17,72,0
Greenlane,"Logan Campbell Retirement Village, Reception Building, 187 Campbell Road",8,6,0,1,2,17,0
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",21,21,3,5,1,51,1
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",47,71,9,33,11,171,1
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",36,25,1,10,7,79,1
Onehunga,"Onehunga Community Centre, 83 Church Street",80,52,3,19,11,165,4
,"Oranga Community Centre, 52 Waitangi Road",29,33,1,4,3,70,1
One Tree Hill,"Cornwall Park Cricket Club, Cornwall Park",5,8,0,2,3,18,0
Royal Oak,"CCS Disability Action, Yarnton House, 14 Erson Avenue",16,14,1,5,1,37,0
,"Pah Homestead, 72 Hillsborough Road",2,4,0,3,1,10,0
Mt Albert
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",18,22,0,14,7,61,0
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",56,74,1,36,10,177,1
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",10,15,0,3,1,29,1
