Party and Electorate Candidate Votes Recorded at each Voting Place
Selwyn 45,Candidate Vote Details
,,"COULTER, Abraham Jesse","COURTNEY, Logan","GRIGG, Nicola Anna","HARVEY, Ben William","JONES, Luke",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,0,20,2,1,23,0
Arthurs Pass,"Arthurs Pass Community Centre, 76 School Terrace",2,0,8,0,10,20,0
Ashburton,"Ashburton Trust Event Centre, 211A Wills Street",0,0,24,0,2,26,0
,"Tinwald War Memorial Hall, 10 Graham Street (corner McMurdo Street)",0,0,5,0,2,7,0
,"Walnut Ave Pavillion, 66 Walnut Avenue",0,0,5,0,1,6,0
Avonhead,"Avonhead Shopping Centre, opposite Sushi Time, (corner Withells Road & Merrin Street)",0,0,93,8,25,126,2
Christchurch Central City,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",0,0,26,3,20,49,1
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",2,1,96,4,48,151,3
,"South City Shopping Centre, 555 Colombo Street",4,4,137,20,70,235,4
,"Te Wānanga o Aotearoa, 348 Manchester Street",0,0,5,1,6,12,0
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",2,0,15,2,2,21,0
Darfield,"St Joseph's Parish Centre, 1981 Telegraph Road",17,34,1366,106,365,1888,25
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,0,23,0,7,30,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",0,0,16,2,4,22,0
Halswell,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",3,3,205,21,56,288,3
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",1,0,55,1,13,70,1
Hei Hei,"Hei Hei Community Centre, 12 Wycola Avenue",0,3,99,14,67,183,8
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",1,2,63,3,39,108,3
,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",13,14,729,39,337,1132,9
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",0,1,34,6,25,66,0
,"University of Canterbury, The Undercroft, Ilam Road",3,2,81,8,77,171,0
Leeston,"Old Post Shop, 76A High Street",11,28,1085,68,412,1604,17
Lincoln,"Lincoln Event Centre, 15 Meijer Drive",30,19,2483,180,889,3601,48
,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",6,4,275,13,123,421,2
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",0,0,7,1,12,20,0
Methven,"Mt Hutt Memorial Hall, Function Room, 160 Main Street",0,1,14,2,3,20,0
Oxford,"Oxford Jaycee's Hall, 56 Main Street",0,1,7,0,0,8,0
Prebbleton,"All Saints Church Hall, 1-7 Blakes Road",9,21,1174,75,297,1576,16
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",2,3,301,25,108,439,3
Rolleston,"Selwyn District Council, 2 Norman Kirk Drive",44,82,3350,294,1349,5119,59
,"Selwyn Sports Centre, 70 Broadlands Drive",24,39,1936,155,624,2778,30
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",1,1,23,0,10,35,0
Spreydon,"Barrington Mall, 256 Barrington Street",2,2,51,3,24,82,0
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",2,1,96,4,48,151,3
Taken in Selwyn,"Burnham Military Camp, Team 1",0,2,54,18,19,93,0
,"Hospital and Care Homes Team, Team 2",0,1,17,1,13,32,3
Upper Riccarton,"Bush Inn Centre, (corner Riccarton Road & Waimairi Road)",2,1,90,3,26,122,2
,"The Warehouse Riccarton, 265 Blenheim Road",0,1,143,12,52,208,0
West Melton,"West Melton Community and Recreation Centre, 1163 West Coast Road (State Highway 73)",13,23,1407,108,315,1866,8
Wigram,"Harvard Community Lounge, Wigram Village Green, Corsair Drive",1,2,74,5,16,98,0
Woolston,"Gurudwara Singh Sabha, 537 Ferry Road",0,0,10,1,4,15,1

Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,2,20,4,5,31,0
Ashburton,"Ashburton Trust Event Centre, 211A Wills Street",0,0,4,0,2,6,0
,"Tinwald War Memorial Hall, 10 Graham Street (corner McMurdo Street)",0,2,6,0,0,8,0
Broadfield,"Broadfield School, (corner Shands Road & Robinsons Road)",1,10,183,7,42,243,1
Burnham,"Burnham School Hall, (corner Chaytor Avenue & Godley Road)",2,9,120,24,43,198,2
Christchurch Central City,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",0,0,14,0,7,21,1
,"South City Shopping Centre, 555 Colombo Street",0,2,23,4,7,36,0
Darfield,"Darfield High School Hall, 7 McLaughlins Road",14,21,591,60,169,855,6
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,0,7,0,1,8,0
Dunsandel,"Dunsandel Community Centre, 1456 Tramway Road",4,10,228,17,70,329,1
Fendalton,"Fendalton Community Centre, 170 Clyde Road",0,0,5,1,2,8,0
Glentunnel,"Glentunnel Community Centre, 2652 Homebush Road",3,34,154,28,99,318,5
Greendale,"Greendale Hall, 166 Greendale Road",3,1,81,8,24,117,0
Halswell,"Halswell School Hall, (corner Kennedys Bush & School Road)",0,0,16,1,6,23,1
,"Mingimingi Hautoa - Knights Stream School Hall, 1 Killarney Avenue",0,0,4,1,1,6,0
,"St Mary's Anglican Church Hall, 329 Halswell Road",0,1,19,0,4,24,0
,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",0,0,31,5,11,47,0
Hei Hei,"Ara Tū Whakatā Gilberthorpe School Hall, 163 Gilberthorpes Road",0,3,56,9,45,113,4
,"Hei Hei Community Centre, 12 Wycola Avenue",0,0,14,4,8,26,0
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",0,0,4,0,4,8,0
,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",0,4,67,10,40,121,6
Hororata,"Hororata Community Hall, 61 Hororata Road",9,8,159,13,37,226,1
Irwell,"Sudeley Park Sports Clubrooms, Irwell Domain, Selwyn Lake Road",3,1,110,6,20,140,5
Killinchy,"Killinchy Community Centre, 658 Leeston-Dunsandel Road",1,8,82,8,12,111,1
Kirwee,"Kirwee Model School, 34 School Lane",3,14,311,24,87,439,9
Ladbrooks,"Ladbrooks Hall, 13 Barnes Road",5,4,160,14,33,216,1
Lakeside,"Lakeside Soldiers Memorial Hall, Harts Road",0,4,69,6,18,97,3
Leeston,"Leeston Consolidated School, 19 Selwyn Street",9,27,381,47,140,604,6
Lincoln,"Ararira Springs Primary School, 18 Russ Drive",1,10,428,36,221,696,4
,"Lincoln Event Centre, 15 Meijer Drive",13,23,608,56,233,933,17
,"Lincoln High School Waiora, 25 Boundary Road",8,10,255,24,114,411,4
Methven,"Mt Hutt Memorial Hall, Function Room, 160 Main Street",0,0,9,0,2,11,0
Motukarara,"Motukarara Community Hall, 112 Park Road",2,4,73,7,23,109,3
Prebbleton,"Prebbleton School Hall, 2-8 Blakes Road",12,38,954,55,289,1348,10
Rakaia,"Rakaia Community Centre, 55 Elizabeth Avenue (corner Mackie Street)",0,2,37,2,6,47,1
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",3,3,40,8,22,76,1
Rolleston,"Clearview Primary Hall, 20 Broadlands Drive",14,33,720,61,307,1135,5
,"Lemonwood Grove School, 14 Lemonwood Drive",10,21,538,44,208,821,4
,"Selwyn District Council, 2 Norman Kirk Drive",34,52,1074,132,499,1791,18
,"West Rolleston School, 327 Dunns Crossing Road",13,21,573,63,237,907,9
Sheffield,"Sheffield School Library, Wrights Road",2,2,137,22,58,221,1
Somerfield,"Te Kura Kaupapa Māori o Te Whānau Tahi, Wharenui, 83 Lyttelton Street",0,2,2,0,2,6,0
Southbridge,"Southbridge School, 25 Hastings Street",5,5,193,33,79,315,2
Spreydon,"Barrington Mall, 256 Barrington Street",0,0,3,0,5,8,0
Springfield,"Tawera Memorial Hall, West Coast Road (State Highway 73)",1,5,89,8,50,153,2
Springston,"Springston Primary School Library, 16-20 Leeston Road",6,11,252,21,87,377,5
Springston South,"Springston South Soldiers Memorial Hall, 433 Days Road",2,3,101,7,24,137,2
Tai Tapu,"Tai Tapu School, (corner School Road & Main Akaroa Highway)",7,13,322,28,126,496,8
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",0,0,14,0,7,21,1
Templeton,"Templeton Primary School Auditorium, 40 Kirk Road",14,17,284,23,200,538,12
Weedons,"Weedons School, 135 Weedons Ross Road",1,11,306,17,58,393,6
West Melton,"West Melton Community and Recreation Centre, 1163 West Coast Road (State Highway 73)",12,34,880,45,203,1174,9
