Party and Electorate Candidate Votes Recorded at each Voting Place
Coromandel 7,Candidate Vote Details
,,"ANSELL, Caleb John","COBB, Raymond Lawrence","GREALEY, Pamela","RILEY, Beryl","SIMPSON, Scott","TEPOU, Sarai","VERBURG, Joanna",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bethlehem,"Bethlehem Town Centre, former Wild South, 19 Bethlehem Road",26,16,43,71,357,0,41,554,6
Coromandel,"Coromandel Citizen's Hall, 455 Kapanga Road",61,49,173,219,524,3,51,1080,14
Hillcrest,"University of Waikato, Village Green, Gate 1, Knighton Road",0,3,9,3,18,0,0,33,0
Katikati,"Pātuki Manawa Digital Hub, 21 Main Road",173,81,190,400,1491,12,169,2516,44
,"The Arts Junction, 36 Main Road",98,47,128,239,980,6,106,1604,13
Mount Maunganui,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",5,1,8,15,61,1,7,98,1
Ngatea,"Ngātea War Memorial Hall, 66 Orchard West Road",65,45,71,177,817,5,60,1240,6
Ōmokoroa,"Omokoroa Library and Service Centre, Whakamarama Room, 28 Western Avenue",89,11,86,190,839,2,72,1289,9
,"Ōmokoroa Settler's Hall, 334 Omokoroa Road",94,17,89,191,932,1,99,1423,12
Paeroa,"Paeroa Memorial Hall, 144 Normanby Road",214,53,149,465,1033,7,72,1993,24
Pōkeno,"Pokeno Community Hall, 19 Market Street",1,1,4,3,39,0,5,53,0
Pukekohe,"Bledisloe Park Sports Centre, 5 John Street",4,4,3,0,17,0,4,32,0
Tahawai,"Tuapiro Marae, 24 Hikurangi Road",2,1,2,5,1,0,0,11,0
Tairua,"Tairua Community Hall, 210 Main Road",49,48,118,114,498,2,62,891,8
Taken in Coromandel,"Care Homes, Team 1",14,2,15,44,80,1,1,157,13
,"Care Homes, Team 2",5,2,8,29,49,3,0,96,3
Taken in Hamilton West,"Care Homes, Team 1",0,0,0,2,5,0,0,7,0
Tauranga,"Shop next to Books A Plenty, 74 Grey Street",1,2,11,8,43,0,4,69,0
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",6,1,7,11,62,2,8,97,1
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",12,6,15,20,142,1,19,215,1
Thames,"Thames War Memorial Civic Centre Auditorium, 200 Mary Street",231,117,449,875,1850,17,122,3661,33
Waihi,"Waihi War Memorial Hall, 41 Seddon Street",285,118,309,640,1430,12,184,2978,36
Waihi Beach,"Waihi Beach Community Centre, 106 Beach Road",51,21,111,172,611,2,59,1027,9
Whangamatā,"Whangamatā Memorial Hall, 328 Port Road",2,7,24,52,183,1,13,282,1
,"Whangamatā Rugby & Sports Club, 135 Aickin Road",76,64,165,238,1277,10,86,1916,10
Whitianga,"Crossroads Encounter Fellowship, 36 Cook Drive",103,60,175,236,1175,5,153,1907,13
,"Mercury Bay Community Board Room, 10 Monk Street",48,38,139,170,765,7,109,1276,10

Voting Places
Athenree,"Athenree Fire Brigade Hall, 43 Roretana Drive",12,14,21,25,84,2,11,169,2
Bethlehem,"Bethlehem Town Centre, former Wild South, 19 Bethlehem Road",3,3,4,6,27,1,8,52,0
Colville,"Colville School, 2391 Colville Road",11,7,45,32,30,2,5,132,2
Cooks Beach,"Cooks Beach Community Centre, 882 Purangi Road (corner Rees Avenue)",9,20,36,28,137,2,10,242,2
Coroglen,"Coroglen School, 10 Rangihau Road",5,9,15,13,49,0,16,107,0
Coromandel,"Coromandel Citizen's Hall, 455 Kapanga Road",18,58,41,41,111,3,6,278,3
Hahei,"Hahei Community Centre, 52 Hahei Beach Road",1,2,45,35,103,0,3,189,2
Hikutaia,"Hikutaia Community Hall, State Highway 26",22,27,18,23,125,0,12,227,0
Kaiaua,"Kaiaua School, 1061 East Coast Road",32,7,14,57,175,0,13,298,3
Kaihere,"Kaihere School, 1115B State Highway 27",8,3,5,14,98,1,5,134,2
Katikati,"Katikati Primary School, 28 Beach Road",58,48,57,84,306,5,39,597,8
,"Pātuki Manawa Digital Hub, 21 Main Road",65,63,53,100,307,3,43,634,10
Kennedy Bay,"Te Kura Kaupapa Māori o Harataunga, 1416 Kennedy Bay Road",4,4,9,9,7,1,1,35,0
Kerepehi,"Kerepehi School, 11 McGowan Avenue",8,14,8,27,53,1,4,115,1
Kūaotunu,"Kūaotunu Hall, 12 Black Jack Road",6,23,76,25,82,0,11,223,5
Manaia,"Te Wharekura o Manaia, 22 Goldfields Road",4,6,6,4,5,1,1,27,1
Mangatangi,"Mangatangi School, 2047 Miranda Road",15,8,12,18,148,1,12,214,0
Maramarua,"Maramarua School, 2200 State Highway 2",8,5,2,13,79,2,12,121,1
Matakana Island,"Te Kura o Te Moutere o Matakana, 183 Opureora Road",2,1,0,8,2,2,0,15,0
Matarangi,"Matarangi Fire Station, 201B Matarangi Drive",8,3,30,19,168,2,16,246,3
Mount Maunganui,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",1,0,2,1,7,0,1,12,0
Netherton,"Netherton School, 7 School Road",5,4,3,14,99,1,9,135,1
Ngatea,"Ngātea War Memorial Hall, 66 Orchard West Road",23,40,25,58,192,1,19,358,3
Ōmokoroa,"Omokoroa No. 1 School, Plummers Point Road (corner Emeny Road)",19,8,13,19,78,4,4,145,0
,"Ōmokoroa Settler's Hall, 334 Omokoroa Road",34,23,23,64,221,5,35,405,3
,"Omokoroa Sports Pavilion, Activity Room, 28 Western Avenue",23,11,23,32,136,1,18,244,0
Opoutere,"Opoutere School, 1203 Tairua Road",3,5,10,10,31,0,3,62,1
Paeroa,"Miller Avenue School, 30 Miller Avenue",16,16,23,36,79,2,3,175,1
,"Paeroa Memorial Hall, 144 Normanby Road",64,48,51,137,218,5,13,536,7
Pahoia,"Pahoia School, Community Hall, 29 Esdaile Road",24,13,32,38,173,6,35,321,4
Pauanui,"Pauanui Sport & Recreation Club, 31 Sheppard Avenue",11,8,32,57,293,1,25,427,1
Pipiroa,"Kopuarahi School, Bush Road (corner State Highway 25)",7,9,4,10,65,0,6,101,0
Puriri,"Puriri School Library, 16 Puriri Valley Road",10,12,10,27,109,0,13,181,4
Tahawai,"Tuapiro Marae, 24 Hikurangi Road",5,2,4,5,11,2,2,31,0
Tairua,"Tairua Community Hall, 210 Main Road",12,18,50,42,113,0,18,253,1
Tapu,"Tapu School, 719 Thames Coast Road",14,12,27,25,88,6,6,178,1
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",1,0,3,3,5,0,0,12,0
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",9,4,5,3,28,1,7,57,2
Te Puru,"Te Puru School Hall, 507 Thames Coast Road",8,13,24,55,94,0,7,201,0
Te Rerenga,"Te Rerenga School, 1229 Whangapoua Road",3,8,12,6,23,0,2,54,0
