Party and Electorate Candidate Votes Recorded at each Voting Place
Whangārei 64,Candidate Vote Details
,,"ANDREWS, Janita","BAZELEY, Rick","BENNEY, Gavin John","BRETHERTON, Susan Jane","BURGESS, Diana","CLARK, Angela Maree","de JONGE, Jennifer","GREEN, Fiona Elizabeth Mary","KAPA-KINGI, Eru","RETI, Shane Raymond",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Hikurangi,"Hikurangi Hall, 24 King Street",5,10,67,8,4,70,2,0,3,75,244,5
Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",25,99,351,86,24,597,12,4,26,1775,2999,26
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",3,2,5,1,2,7,1,0,2,39,62,0
Maunu,"Northland Vintage Car Clubrooms, Kiwi North, Gate 2, 500 State Highway 14",3,28,66,21,8,128,4,3,7,407,675,3
,"Whangārei Base Hospital, Imaging Room, Maunu Road",11,40,57,9,3,147,5,2,14,249,537,6
Ngunguru,"Ngunguru Community Hall, 1879 Ngunguru Road",12,66,72,18,3,153,8,1,8,381,722,6
Okara,"Okara Shopping Centre, opposite The Warehouse, 4 Port Road",48,239,468,119,41,773,43,13,59,1822,3625,34
Onerahi,"Onerahi Bowling Club, 35 Alamein Avenue",22,82,156,37,19,487,11,5,16,900,1735,13
Otangarei,"Otangarei Rugby Club, 10 Matai Street",1,5,6,1,0,29,0,0,10,11,63,2
Parua Bay,"Mt. Manaia Bowling Club, 1341 Whangārei Heads Road",7,53,69,17,9,207,9,3,6,393,773,4
Raumanga,"Te Puna o Te Mātauranga - Northland Polytech Marae, Whare kai, Gate 1, 51 Raumanga Valley Road",5,23,20,6,2,47,2,0,10,77,192,2
Regent,"Anglican Parish Hall, 2A Kamo Road",9,20,37,5,2,109,8,0,5,166,361,2
Riverside,"Northland Rugby Clubroom, 136 Riverside Drive",8,23,42,18,8,99,1,1,10,229,439,1
Ruakākā,"Ruakākā Recreation Centre, Squash Court 1, 9 Takutai Place",8,44,101,24,21,212,5,5,11,613,1044,7
Taken in Whangārei,"Care Homes Team, Team 1",4,5,38,4,2,71,2,1,2,157,286,12
