Party and Electorate Candidate Votes Recorded at each Voting Place
Christchurch East 6,Candidate Vote Details
,,"AHMED, Sahra","DAVIDSON, Reuben John","HOUGHTON, Helen","LAMBERT, Paula","PARK, Seung-Choon","SEVERIN, Toni","STOCK, Matthew","WERETA, Danette Elizabeth Claire","WIREMU, Shane",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",4,6,0,0,1,1,8,0,0,20,0
Aranui,"Aranui Library, Whanau Room, 109 Aldershot Street",48,412,14,23,7,19,110,10,52,695,10
,"Aranui Wainoni Community Hall, 31 Hampshire Street",7,122,0,4,0,3,22,1,19,178,7
,"Haeata Community Campus, 240 Breezes Road",13,97,3,3,1,6,27,4,11,165,3
,"Ngā Hau e Whā Marae, He Tāngata, 250A Pages Road",27,148,6,5,1,9,43,4,25,268,3
Belfast,"Belfast Salvation Army, 794 Main North Road",9,39,3,6,0,6,42,3,7,115,2
Bishopdale,"Ōrauwhata: Bishopdale Library and Community Centre, 13 Bishopdale Court",6,22,1,3,1,3,25,0,4,65,0
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",30,226,2,11,0,14,96,3,45,427,7
Burwood,"Burwood Hospital, Ground Floor Main Foyer, 300 Burwood Road",76,303,10,6,10,41,272,8,43,769,10
Christchurch Central City,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",37,51,3,0,0,4,24,1,2,122,1
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",30,82,1,3,2,4,46,0,5,173,4
,"South City Shopping Centre, 555 Colombo Street",80,141,8,8,1,18,126,3,17,402,0
,"Te Wānanga o Aotearoa, 348 Manchester Street",16,22,0,0,0,1,3,1,0,43,1
,"Tūranga Library, 60 Cathedral Square",20,28,0,2,0,1,26,0,1,78,1
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",2,9,1,0,1,0,16,1,1,31,0
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",15,21,2,0,1,1,14,1,2,57,0
,"University of Canterbury, The Undercroft, Ilam Road",55,53,2,3,1,1,35,0,2,152,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",211,1266,31,28,11,84,413,24,139,2207,22
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",237,981,22,21,10,174,2018,15,99,3577,17
Merivale,"Merivale Mall, outside Sassys clothing store, 189 Papanui Road",8,19,0,0,0,4,30,1,3,65,0
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",5,6,1,0,0,1,7,0,1,21,1
New Brighton,"New Brighton Club, 202 Marine Parade",253,970,37,45,13,81,578,17,131,2125,15
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",55,118,1,12,0,18,136,1,12,353,2
Parklands,"Parklands Recreation Centre, 75 Queenspark Drive",155,784,30,25,6,89,805,18,73,1985,21
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",1,7,0,0,0,5,3,0,1,17,0
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",33,74,1,4,0,8,60,1,8,189,1
Richmond,"Delta Community Support Trust, 101 North Avon Road",64,222,5,9,5,10,107,2,26,450,4
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",504,1931,62,74,33,219,1673,38,233,4767,53
Sumner,"Matuku Takotako: Sumner Centre, (corner Nayland Street & Wakefield Avenue)",11,7,1,0,0,1,8,1,1,30,0
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",2,5,0,0,0,1,3,0,2,13,2
Taken in Christchurch East,"Care Homes, Team 1",6,117,3,3,1,9,70,4,13,226,35
Upper Riccarton,"Bush Inn Centre, (corner Riccarton Road & Waimairi Road)",6,15,0,0,0,3,15,0,1,40,1
Woodend,"Woodend Community Centre, 6A School Road",1,2,0,1,0,1,4,0,0,9,2
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",5,5,0,3,0,1,8,0,2,24,0
,"Gurudwara Singh Sabha, 537 Ferry Road",0,2,0,0,0,1,13,0,0,16,2
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",9,27,0,2,0,5,29,1,4,77,0
,"The Tannery, Metropolitan Lounge, 3 Garlands Road",1,8,0,0,0,0,5,0,0,14,0

Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",2,5,0,0,0,0,6,0,0,13,0
Aranui,"Aranui Wainoni Community Hall, 31 Hampshire Street",28,198,7,16,2,6,38,5,29,329,5
,"Haeata Community Campus, 240 Breezes Road",25,121,0,10,3,6,40,2,25,232,3
,"Ngā Hau e Whā Marae, He Tāngata, 250A Pages Road",27,131,1,10,2,8,36,1,10,226,5
Avondale,"Kidsfirst Kindergarten Woolley Street, 63 Woolley Street",27,125,11,7,2,26,102,2,20,322,3
Belfast,"Belfast Salvation Army, 794 Main North Road",1,11,0,1,0,1,20,1,5,40,2
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",15,100,6,7,2,10,53,3,23,219,4
Burwood,"Legacy Community Church, 54 Bassett Street",40,133,13,9,8,14,128,4,32,381,4
,"Waitākiri School Hall, 170 Burwood Road",68,264,13,26,6,43,394,4,46,864,9
Christchurch Central City,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",7,13,0,0,0,1,5,1,0,27,1
,"South City Shopping Centre, 555 Colombo Street",10,33,0,2,0,5,10,0,1,61,0
,"Tūranga Library, 60 Cathedral Square",6,8,1,0,0,2,4,0,1,22,0
Kaiapoi,"Kaiapoi North School, 278 Williams Street",2,2,0,0,0,0,2,0,1,7,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",68,206,18,16,4,22,108,8,35,485,6
,"Linwood Community Arts Centre, 388 Worcester Street",11,7,0,0,0,2,8,1,1,30,0
,"Te Aratai College, Waita Room, 85 Aldwins Road",1,8,0,0,1,0,3,0,3,16,0
,"Te Pou Toetoe, Linwood Pool, Weka Room, 141 Smith Street",13,40,0,4,1,5,24,2,2,91,4
Linwood North,"Whītau School, 221 Woodham Road",46,179,9,14,3,15,96,5,39,406,6
Mairehau,"Mairehau High School Hall, 440 Hills Road",8,62,7,3,2,8,42,2,3,137,2
Marshland,"Marshland School Hall, 11 Te Korari Street",33,130,5,7,2,18,254,4,8,461,1
,"Preston's Road Mall, next to New World, 420 Marshland Road",70,168,13,9,4,39,376,22,12,713,4
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",1,7,0,0,0,0,6,1,0,15,1
New Brighton,"New Brighton Club, 202 Marine Parade",58,224,7,23,2,26,136,8,34,518,8
,"Nova Montessori School, 53 Owles Terrace",37,99,4,6,1,5,44,2,9,207,4
North New Brighton,"North New Brighton Community Centre, 88 Marine Parade",79,137,15,9,3,11,133,4,25,416,8
,"Rāwhiti School Hall, 150 Leaver Terrace",74,183,10,11,3,19,86,3,23,412,3
,"Shirley Boys & Avonside Girls High School - Te Paeroa, 209 Travis Road",39,125,9,7,3,10,114,5,18,330,0
Ouruhia,"Ouruhia School Library, 21 Turners Road",7,31,1,4,0,12,54,1,2,112,0
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",9,19,1,3,0,4,12,1,3,52,0
Parklands,"Parklands Recreation Centre, 75 Queenspark Drive",82,272,20,16,3,45,333,12,40,823,7
Queenspark,"Queenspark School Hall, 222 Queenspark Drive",50,194,11,12,3,22,339,4,26,661,2
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",2,2,0,0,0,0,3,0,0,7,0
Redwood,"Redwood Primary School Hall, 51 Prestons Road",2,7,0,0,0,1,15,0,1,26,0
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",6,16,0,4,1,2,15,0,4,48,0
Richmond,"Delta Community Support Trust, 101 North Avon Road",31,81,5,10,3,8,51,2,14,205,6
,"Pareawa Banks Avenue School Hall, 57 Averill Street",33,128,1,8,2,14,90,3,7,286,2
,"Richmond Community Cottage, next to Richmond Village Green, 74 London Street",24,71,1,7,2,9,28,2,4,148,1
Shirley,"Kidsfirst Kindergartens, MacFarlane Park, 19 Acheson Avenue",18,95,4,6,1,4,48,3,22,201,1
,"Shirley Primary School, 11 Shirley Road",23,87,3,2,0,8,62,1,9,195,2
,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",100,296,38,17,5,31,245,10,40,782,10
South New Brighton,"South New Brighton School, 160 Estuary Road",147,327,20,26,5,34,217,4,54,834,5
Spencerville,"Spencerville Community Hall, 6A Heyders Road",13,50,3,7,0,10,58,1,11,153,1
Wainoni,"Ottawa Gardens Preschool, 49 Ottawa Road",19,106,10,5,5,10,53,2,18,228,0
Woodend,"Woodend Community Centre, 6A School Road",1,2,0,0,0,0,1,0,2,6,0
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",2,6,0,0,0,0,1,0,0,9,0
,"EFKS Church Hall Christchurch, 7 Vili Place",0,5,0,0,0,1,0,0,0,6,1
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",5,20,0,4,0,0,4,0,6,39,0
,"Woolston Club, Kellaway Room, 43 Hargood Street, Garden Gate entrance",1,13,0,0,0,1,5,1,4,25,0

,Overseas Special Votes Including Defence Force - Christchurch East,132,201,16,4,2,30,196,4,21,606,5
,Special Votes BEFORE Polling Day - Christchurch East,544,1125,40,120,21,141,971,23,159,3144,66
,Special Votes ON Polling Day - Christchurch East,501,937,42,145,21,142,776,25,193,2782,51
,Voting places where less than 6 votes were taken,4,5,0,0,0,1,1,1,0,12,0

,Christchurch East Total,4594,15163,615,901,234,1679,12766,353,2030,38335,470

,Valid Candidate Votes plus Informal Candidate Votes,,38805

Electorate Candidate Valid Votes,Party,,,"DAVIDSON, Reuben John - majority 2397"
"AHMED, Sahra",Green Party,4594,11.98
"DAVIDSON, Reuben John",Labour Party,15163,39.55
"HOUGHTON, Helen",New Conservatives,615,1.60
"LAMBERT, Paula",Aotearoa Legalise Cannabis Party,901,2.35
"PARK, Seung-Choon",Independent,234,0.61
"SEVERIN, Toni",ACT New Zealand,1679,4.38
"STOCK, Matthew",National Party,12766,33.30
