Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Banks Peninsula
Akaroa,"Akaroa Fire Station, 49 Beach Road",9,1,2,7,19,0
Cashmere,"South Christchurch Library, 66 Colombo Street",37,0,6,35,78,3
Halswell,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",28,4,6,39,77,1
Lyttelton,"Lyttelton Mt Herbert Community Facility, 25 Canterbury Street",13,1,4,13,31,0
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",9,1,1,4,15,1
Somerfield,"Pioneer Recreation & Sport Centre, 1st Floor, 75 Lyttelton Street",19,0,3,14,36,3
,"Te Kura Kaupapa Māori o Te Whānau Tahi, Wharenui, 83 Lyttelton Street",18,0,1,4,23,1
Sumner,"Matuku Takotako: Sumner Centre, (corner Nayland Street & Wakefield Avenue)",8,1,5,7,21,0
Taken in Banks Peninsula,"Care Homes, Team 1",0,0,2,4,6,2
,"Pop-up Voting Services, Various Locations - Koukourarata Marae, Pigeon Bay, Little Akaloa, Okains Bay",8,0,0,7,15,2
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",10,2,3,7,22,0
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",37,1,5,34,77,2
,"The Tannery, Metropolitan Lounge, 3 Garlands Road",5,0,0,2,7,1
Christchurch Central
Christchurch Central City,"Aldersgate Centre, 309 Durham Street North, Garden Entrance",6,1,1,3,11,2
,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",37,2,10,27,76,1
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",38,1,4,28,71,0
,"South City Shopping Centre, 555 Colombo Street",90,7,17,60,174,3
,"Te Wānanga o Aotearoa, 348 Manchester Street",52,0,1,20,73,1
,"Tūranga Library, 60 Cathedral Square",21,0,3,8,32,0
Papanui,"Northcity Church Hall, 95A Sawyers Arms Road",4,1,2,4,11,1
,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",99,5,14,87,205,8
Phillipstown,"Phillipstown Community Hub, Room 5, 39A Nursery Road",5,0,3,5,13,1
Redwood,"The Village Presbyterian Church (St Lukes), 2 Daniels Road",8,0,1,12,21,0
St Albans,"Rehua Marae, The Boardroom, 79 Springfield Road",8,0,0,4,12,0
Christchurch East
Aranui,"Aranui Library, Whanau Room, 109 Aldershot Street",46,1,11,29,87,6
,"Aranui Wainoni Community Hall, 31 Hampshire Street",21,0,4,12,37,1
,"Haeata Community Campus, 240 Breezes Road",20,2,0,12,34,2
,"Ngā Hau e Whā Marae, He Tāngata, 250A Pages Road",59,3,4,32,98,0
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",34,2,7,24,67,1
Burwood,"Burwood Hospital, Ground Floor Main Foyer, 300 Burwood Road",11,0,3,23,37,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",141,8,20,144,313,12
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",27,5,10,33,75,6
New Brighton,"New Brighton Club, 202 Marine Parade",55,2,13,38,108,0
Parklands,"Parklands Recreation Centre, 75 Queenspark Drive",22,5,7,26,60,0
Richmond,"Delta Community Support Trust, 101 North Avon Road",9,0,5,13,27,0
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",133,5,34,142,314,8
Taken in Christchurch East,"Care Homes, Team 1",3,0,0,4,7,0
Dunedin
Andersons Bay,"Edgar Centre, 116 Portsmouth Drive",8,1,0,9,18,0
Brockville,"Brockville School, 263 Brockville Road",4,0,1,4,9,0
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",3,0,1,2,6,0
