Party and Electorate Candidate Votes Recorded at each Voting Place
Southland 46,Candidate Vote Details
,,"EVANS, Logan","GRUMBALL, Anntwinette Maree","KENNEDY, David John","McCALLUM, Simon James Robertson","MACLEAN, Naomi","MOONEY, Joseph","STEPHENSON, Todd Michael",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Alexandra,"St Enoch's Church Lounge, 12 Centennial Avenue",71,30,269,710,5,1834,230,3149,33
Arrowtown,"Arrowtown Athenaeum Hall, 33 Buckingham Street",19,12,143,129,1,863,91,1258,5
,"St John's Presbyterian Church, (corner Berkshire Street & Durham Street)",9,5,75,68,1,281,9,448,3
Balclutha,"Te Pou Ō Mata-au Clutha District War Memorial & Community Centre, 6 Clyde Street",9,6,13,22,3,88,8,149,0
Central Dunedin,"Meridian Mall, Hanover Street entrance, 285 George Street",1,2,8,5,0,42,1,59,1
Clinton,"Clinton Community Centre, 2 Skerry Street",12,5,4,34,5,92,13,165,8
Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",3,1,9,10,0,67,14,104,2
Dunedin North,"Otago Polytechnic Te Pūkenga, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",0,1,2,2,0,12,3,20,0
,"University of Otago, ISB Link, 65 Albany Street",0,3,17,5,1,48,2,76,0
Frankton,"Queenstown Events Centre, 33 Joe O'Connell Drive",13,5,86,62,4,217,33,420,2
,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",99,22,407,503,13,2360,227,3631,23
Gore,"Grace Church, 30 Hamilton Street",6,3,2,10,0,26,3,50,1
,"James Cumming Community Rooms, Otamatea Room, 10 Ardwick Street",167,37,108,498,15,1802,192,2819,42
Invercargill,"ILT Stadium Southland, 18 Surrey Park Road",0,0,1,5,0,26,3,35,1
,"Invercargill Central, Main Entrance, 39 Esk Street",5,0,5,15,0,93,7,125,1
,"St Stephen's Presbyterian Church Hall, 290 North Road",0,0,2,5,0,24,4,35,0
,"Windsor Community Church, 19 Windsor Street",1,1,2,1,0,28,6,39,0
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",0,0,0,0,1,17,3,21,0
