Party and Electorate Candidate Votes Recorded at each Voting Place
Epsom 11,Candidate Vote Details
,,"BELICH, Camilla Vera Feslier","GOLDSMITH, Paul Jonathan","ROTHERAY, Audrey Margaret","SEYMOUR, David Breen","SU, Nina","UNKOVICH, Tanya","XU-NAN, Lawrence Xi",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",34,33,0,61,11,3,22,164,1
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",16,22,1,21,7,0,15,82,0
,"Auckland University Students Association, 4 Alfred Street",57,35,0,46,17,0,49,204,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",55,62,0,143,26,1,38,325,3
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",154,122,0,185,28,8,66,563,8
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",21,34,1,72,3,4,12,147,0
Epsom,"St Andrew's Church, Lower Room, 100 St Andrews Road",216,380,2,844,57,15,79,1593,21
,"St George's Church Youth Rooms, 19 Ranfurly Road",80,128,0,221,14,5,21,469,5
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",55,45,0,76,20,1,22,219,2
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",40,31,1,72,8,0,30,182,0
Greenlane,"Logan Campbell Retirement Village, Reception Building, 187 Campbell Road",10,21,2,51,0,0,4,88,1
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",6,3,1,6,3,1,2,22,0
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",6,15,1,29,4,1,5,61,1
Mt Albert,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",135,109,2,166,11,9,38,470,8
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",118,113,1,343,37,8,82,702,5
,"Auckland Provincial Guide Centre, 132 Grange Road",129,68,1,184,28,4,36,450,1
,"Greyfriars Presbyterian Church, McKinney Hall, 544 Mount Eden Road",136,147,4,378,25,12,66,768,3
,"Valley Road International Church Hall, 393 Mount Eden Road",102,67,0,125,15,8,50,367,0
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",22,65,0,109,12,5,19,232,0
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",11,28,1,59,2,1,1,103,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",435,1092,7,1994,158,54,270,4010,29
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",247,432,1,816,62,17,131,1706,8
Onehunga,"Onehunga Community Centre, 83 Church Street",11,16,0,23,1,1,3,55,0
One Tree Hill,"Cornwall Park Cricket Club, Cornwall Park",39,95,1,243,17,6,35,436,2
Ōrākei,"Ōrākei Community Centre, 156 Kepa Road",24,61,0,133,5,2,10,235,0
Parnell,"Church Unlimited, 2A Augustus Terrace",54,88,1,239,14,6,37,439,2
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",7,29,0,48,1,2,4,91,1
,"Remuera Baptist Church, 641 Remuera Road",80,281,2,652,29,9,40,1093,5
,"Somervell Presbyterian Church Foyer, 497 Remuera Road",20,54,3,145,4,1,10,237,1
,"St Aidan's Anglican Church, Social Lounge, 5 Ascot Avenue",103,382,2,906,23,16,47,1479,13
,"St Mark's Church, Lounge, 95 Remuera Road",69,149,3,398,15,9,34,677,2
Royal Oak,"CCS Disability Action, Yarnton House, 14 Erson Avenue",23,29,0,40,3,0,4,99,1
St Heliers,"St Heliers Church & Community Centre, 100 St Heliers Bay Road",1,7,0,12,1,0,5,26,0
St Johns,"St John's Theological College, Wesley Hall, 202-210 St John's Road",9,22,0,43,3,2,5,84,0
Taken in Epsom,"Care Homes, Team 1",28,50,3,32,0,1,6,120,4
,"Care Homes, Team 2",31,44,2,23,0,5,9,114,12
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",34,63,1,103,8,2,16,227,4

Voting Places
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",3,2,0,6,1,0,1,13,0
,"Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",5,10,0,13,5,0,3,36,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",8,6,0,2,1,0,4,21,0
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",41,30,2,54,11,2,17,157,0
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",4,5,0,9,2,1,1,22,0
Epsom,"Epsom Girls Grammar School, Old Gym, Gate 4, Owens Road",49,80,2,158,10,10,22,331,5
,"Epsom Normal Primary School, 41 The Drive",115,212,2,408,25,17,38,817,3
,"Sacred Heart Parish Hall, 19 Banff Avenue",118,100,8,309,25,11,24,595,1
,"St George's Anglican Church Hall, 19 Ranfurly Road",68,84,3,196,25,12,20,408,2
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",4,2,1,2,0,0,0,9,0
Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",15,7,0,21,4,2,11,60,0
Greenlane,"Cornwall Park District School Hall, 193 Greenlane West Road",50,101,4,162,18,5,17,357,4
,"Logan Campbell Retirement Village, Reception Building, 187 Campbell Road",5,6,0,8,1,0,5,25,0
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",4,2,0,3,1,0,5,15,0
,"Kōwhai Intermediate School, 26 Onslow Road",10,4,0,10,4,1,6,35,0
Mt Albert,"Mt Albert Senior Citizens' Hall, 3B Wairere Avenue",2,2,0,5,1,0,1,11,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",10,8,2,14,2,1,2,39,1
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",86,52,1,125,32,2,50,348,0
,"Auckland Normal Intermediate, 24 Poronui Street",31,23,2,116,14,4,20,210,2
,"Auckland Provincial Guide Centre, 132 Grange Road",56,34,0,76,8,5,19,198,1
,"Good Shepherd Parish Hall, 30 Telford Avenue",0,1,0,4,0,1,0,6,1
,"Greyfriars Presbyterian Church, Memorial Hall, 544 Mount Eden Road",71,60,5,145,14,8,23,326,2
,"Maungawhau School, 43 Ellerton Road",18,21,0,40,8,1,11,99,1
,"Mount Eden Normal Primary School, 73 Valley Road",167,120,4,283,27,17,49,667,2
,"Valley Road International Church Hall, 393 Mount Eden Road",67,61,3,130,20,4,45,330,3
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",3,3,0,11,3,0,4,24,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",62,89,3,187,31,3,34,409,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",36,47,0,64,21,4,30,202,0
Onehunga,"Onehunga Community Centre, 83 Church Street",4,2,2,1,0,0,1,10,0
Ōrākei,"Ōrākei Community Centre, 156 Kepa Road",3,5,0,15,3,1,1,28,0
Parnell,"Parnell Community Centre, Jubilee Hall, 545 Parnell Road",131,110,8,224,41,12,55,581,5
,"Parnell District School Hall, 48 Saint Stephens Avenue",132,213,6,495,49,28,74,997,3
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",2,1,0,5,0,0,0,8,0
,"Meadowbank School, 68 Waiatarua Road",7,8,0,20,1,0,1,37,1
,"Remuera Baptist Church, 641 Remuera Road",23,68,1,142,15,6,13,268,2
,"Remuera Intermediate School, 55 Ascot Avenue",50,73,2,122,10,2,9,268,4
,"Remuera Primary School, 25-33 Dromorne Road",63,129,1,275,12,11,25,516,1
,"Somervell Presbyterian Church and Community Centre, Main Hall, 497 Remuera Road",23,45,1,81,6,2,5,163,0
,"St Aidan's Anglican Church Hall, 5 Ascot Avenue",39,120,2,235,15,7,18,436,6
,"Victoria Avenue School, 282 Victoria Avenue",56,161,4,389,27,4,32,673,4
Royal Oak,"Royal Oak Primary School Hall, Chandler Avenue, 663 Manukau Road entrance",20,23,0,29,5,2,7,86,0
St Heliers,"St Heliers Church & Community Centre, 100 St Heliers Bay Road",0,2,0,5,0,0,1,8,0
St Johns,"St John's Theological College, Wesley Hall, 202-210 St John's Road",2,6,0,9,2,0,0,19,0
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",11,5,0,20,1,1,2,40,0
,"Three Kings School, 944 Mount Eden Road",4,6,0,13,2,3,4,32,0

,Overseas Special Votes Including Defence Force - Epsom,607,693,10,1469,180,14,426,3399,11
,Special Votes BEFORE Polling Day - Epsom,764,1592,21,1693,253,88,640,5051,89
,Special Votes ON Polling Day - Epsom,519,827,20,982,195,62,438,3043,41
,Voting places where less than 6 votes were taken,3,1,0,0,0,0,0,4,0

,Epsom Total,6189,9684,164,17826,1803,573,3537,39776,339

,Valid Candidate Votes plus Informal Candidate Votes,,40115

Electorate Candidate Valid Votes,Party,,,"SEYMOUR, David Breen - majority 8142"
"BELICH, Camilla Vera Feslier",Labour Party,6189,15.56
"GOLDSMITH, Paul Jonathan",National Party,9684,24.35
"ROTHERAY, Audrey Margaret",New Zealand Loyal,164,0.41
"SEYMOUR, David Breen",ACT New Zealand,17826,44.82
"SU, Nina",The Opportunities Party (TOP),1803,4.53
"UNKOVICH, Tanya",New Zealand First Party,573,1.44
"XU-NAN, Lawrence Xi",Green Party,3537,8.89
