Party and Electorate Candidate Votes Recorded at each Voting Place
Northland 32,Candidate Vote Details
,,"CAMERON, Mark Stuart","FEYEN, Michael","FINLAYSON, Michael John","JONES, Shane","KING, Ronald Matthew","LYE, Jeffrey Eric","McCALLUM, Grant Lewis","PENNEY, Reina Tuai","PRIME, Willow-Jean",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Coopers Beach,"St John Ambulance Hall, 7 St Johns Road",59,21,11,268,140,9,500,55,298,1361,7
Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",120,43,13,409,125,19,741,56,395,1921,8
,"Holy Trinity Anglican Parish Hall, 58 Hokianga Road",62,12,7,206,48,16,349,27,207,934,10
Hikurangi,"Hikurangi Hall, 24 King Street",14,6,0,46,22,3,99,12,44,246,2
Kaeo,"Whangaroa Memorial Hall, Leigh Street (State Highway 10)",21,14,10,100,61,11,170,24,128,539,3
Kaikohe,"Kaikohe Baptist Church, 32 Broadway",12,5,2,131,40,5,128,26,157,506,4
,"Kaikohe War Memorial Hall, Supper Room, Memorial Avenue",10,9,0,107,32,9,115,34,175,491,2
,"Te Wā Kaikohe, 115B Broadway",7,1,2,34,11,11,31,23,79,199,1
Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",16,5,9,146,47,15,196,21,155,610,7
,"PAK'nSAVE Kaitaia, 111 North Road",18,26,14,166,60,14,180,31,224,733,8
,"Te Ahu, (corner South Road & Matthews Avenue)",44,41,28,299,105,10,409,66,323,1325,4
Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",5,2,1,23,17,1,76,7,25,157,1
Kawakawa,"Te Hononga Work Room, Hundertwasser Memorial Park, Gillies Street",19,3,3,103,34,10,123,30,230,555,4
Kerikeri,"Cornerstone Whare Karakia O Manako, 144 Kerikeri Road",49,29,8,252,119,10,581,72,285,1405,4
,"Kerikeri Baptist Church, 41 Hobson Avenue",139,47,14,646,239,20,1726,161,740,3732,20
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",134,53,6,318,192,18,1487,136,616,2960,16
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",37,23,6,134,60,9,323,36,177,805,6
Maunu,"Northland Vintage Car Clubrooms, Kiwi North, Gate 2, 500 State Highway 14",9,0,0,15,9,1,65,4,12,115,1
,"Whangārei Base Hospital, Imaging Room, Maunu Road",2,1,0,13,0,1,14,4,18,53,1
Okara,"Okara Shopping Centre, opposite The Warehouse, 4 Port Road",38,10,1,79,26,8,208,20,60,450,4
Paihia,"Paihia War Memorial & Community Hall, 8 Williams Road",56,15,3,284,93,10,694,66,309,1530,13
Rawene,"Rawene Town Hall, 9 Parnell Street",7,6,1,44,10,5,41,30,131,275,2
Russell,"Anglican Parish Hall, Church Street",30,7,4,100,33,3,285,39,221,722,4
Taken in Northland,"Care Homes, Team 1",3,5,3,31,7,0,71,14,51,185,3
,"Pop-up Voting Services, Various Locations - Far North",21,4,7,71,14,6,124,8,83,338,0
,"Pop-up Voting Services, Various Locations - Hokianga",5,4,0,29,6,5,28,18,91,186,2
Te Hana,"Te Hana Te Ao Marama Māori Cultural Centre, 311 State Highway 1",3,0,0,0,1,1,16,3,6,30,0
Tikipunga,"Kiripaka Shopping Centre, 165 Kiripaka Road, by roundabout",6,1,1,11,5,3,33,5,18,83,1
Waipapa,"Baysport Pavilion, Harmony Lane",48,21,6,199,75,8,410,38,166,971,7
Waipu,"Waipu Coronation Hall, 47 The Centre",0,1,0,5,1,1,24,1,12,45,0
Warkworth,"PAK'nSAVE Warkworth, Hudson Road (corner State Highway 1)",5,2,0,4,8,0,26,2,15,62,0
,"Warkworth Masonic Hall, 3 Baxter Street",1,0,0,4,0,1,8,0,3,17,1
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",4,6,1,28,19,4,67,15,40,184,3
Whangārei,"Strand Arcade, Shop beside Food Court, 41 Cameron Street",18,2,1,45,24,3,161,20,56,330,3
,"Whangārei Club Inc. Hall, 18 Rust Avenue",11,2,0,25,5,5,52,12,59,171,2

Voting Places
Ahipara,"Ahipara School, 250 Ahipara Road",3,4,9,39,7,2,32,6,40,142,1
Arapohue,"Northern Wairoa A & P Hall, 3338 Mititai Road",12,5,0,18,12,1,52,2,13,115,1
Awanui,"Awanui School, 172 Far North Road (State Highway 1)",7,8,4,50,14,2,57,5,19,166,1
Broadwood,"Broadwood Area School, 1041 Broadwood Road",3,7,1,16,8,1,18,3,14,71,0
Coopers Beach,"St John Ambulance Hall, 7 St Johns Road",9,6,5,57,44,3,83,10,54,271,1
Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",32,21,1,109,24,7,122,22,81,419,6
,"Dargaville High School, 57 Plunket Street",5,4,1,26,6,1,24,1,25,93,1
,"Holy Trinity Anglican Parish Hall, 58 Hokianga Road",20,14,0,64,28,4,83,10,71,294,3
Herekino,"Herekino School, 2525 Kaitaia-Awaroa Road",0,1,1,11,2,1,9,1,10,36,0
Hikurangi,"Hikurangi Hall, 24 King Street",8,4,1,22,13,2,42,12,22,126,0
Horeke,"Horeke School, 2230 Horeke Road",0,2,1,3,0,0,3,2,12,23,0
Hūkerenui,"Hūkerenui Community Hall, 9 Domain Road",18,14,6,18,20,3,102,11,19,211,0
Kaeo,"Kaeo Primary School Hall, 4139 State Highway 10",5,10,2,19,19,1,34,9,21,120,0
,"Whangaroa Memorial Hall, Leigh Street (State Highway 10)",4,7,0,27,24,2,28,13,54,159,1
Kaihu,"Kaihu Hall, 43 Kaihu Wood Road",4,3,3,22,4,3,38,9,8,94,0
Kaikohe,"Kaikohe Baptist Church, 32 Broadway",4,4,2,29,16,1,21,11,51,139,1
,"Kaikohe East School, 36 Mangakahia Road",5,2,1,13,4,0,5,0,16,46,0
,"Kaikohe War Memorial Hall, Supper Room, Memorial Avenue",6,2,1,16,12,3,23,10,20,93,1
,"Kaikohe West School, 23 Tawanui Road",1,0,0,4,0,2,3,0,9,19,0
,"Te Wā Kaikohe, 115B Broadway",1,2,0,7,4,0,5,2,20,41,1
Kaingaroa,"Kaingaroa School Hall, 5465 State Highway 10",2,4,1,43,8,1,27,4,11,101,1
Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",1,10,1,24,16,4,19,7,30,112,0
,"Kaitaia Intermediate School, 45 North Road",7,10,4,42,20,4,34,9,42,172,2
,"Te Ahu, (corner South Road & Matthews Avenue)",6,26,7,58,28,9,55,11,76,276,3
Kaiwaka,"Kaiwaka War Memorial Hall, 4 Kaiwaka-Mangawhai Road",28,33,2,61,51,7,160,22,105,469,3
Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",4,2,0,2,3,0,8,0,7,26,0
Karetu,"Karetu School, 40 Kura Road",2,1,0,6,5,0,7,0,15,36,0
Kauri,"Kaurihohore Hall, 24 Apotu Road",2,0,0,2,2,0,11,0,2,19,0
Kawakawa,"Kawakawa Primary School Hall, 31-39 Albert Street",0,2,1,12,5,0,16,3,17,56,0
,"Te Hononga Work Room, Hundertwasser Memorial Park, Gillies Street",4,6,4,28,20,4,24,12,50,152,1
Kerikeri,"Cornerstone Whare Karakia O Manako, 144 Kerikeri Road",9,23,0,57,38,5,91,23,45,291,0
,"Kerikeri Baptist Church, 41 Hobson Avenue",23,34,3,148,114,10,204,39,111,686,4
,"Kerikeri Primary School, 39 Hone Heke Road",11,5,0,74,33,1,118,21,74,337,0
,"Riverview School, 23 Riverview Road",16,7,0,91,43,2,159,26,107,451,5
Kohukohu,"Kohukohu Town Hall, 25 Beach Road",3,6,0,14,2,1,14,12,38,90,2
Kokopu,"Kokopu School Library, 921 Kokopu Road",9,0,0,9,6,1,33,0,9,67,0
Mangamuka,"Mangamuka Tautoko FM Radio Building, 3 Mangamuka Road (corner State Highway 1 & Mangamuka Road)",0,0,0,5,8,0,2,0,6,21,0
Mangawhai,"Mangawhai Beach School Recreation Centre, 34 Insley Street",14,22,1,36,40,2,111,18,64,308,1
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",28,17,8,59,87,10,205,51,95,560,4
Mangōnui,"Mangōnui School, 19 Colonel Mould Drive",3,6,2,25,19,6,66,11,35,173,1
Matauri Bay,"Matauri Bay School, 2223 Whakarara Road",1,5,1,17,0,0,6,5,24,59,0
Maungakaramea,"Maungakaramea School Library, Tangihua Road",21,7,0,53,25,2,208,14,60,390,4
Maungatapere,"Maungatapere School Hall, Mangakahia Road",11,7,3,35,31,8,175,10,45,325,1
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",19,19,2,59,39,5,103,14,64,324,1
Maunu,"Maunu Primary School Hall, 13 Austin Road",1,0,0,5,3,1,8,2,4,24,0
,"Northland Vintage Car Clubrooms, Kiwi North, Gate 2, 500 State Highway 14",6,2,0,8,5,0,21,2,3,47,0
Moerewa,"Moerewa School, 70 Otiria Road",0,1,0,15,7,2,7,3,42,77,0
Ngataki,"Ngataki School, 5265 Far North Road",2,4,2,5,7,1,9,4,12,46,1
Ōakura,"Ōakura Hall, 153 Oakura Road",3,1,0,21,3,0,28,10,41,107,0
Ōhaeawai,"Ōhaeawai School, 22 Tennyson Street",4,0,1,35,7,3,24,5,34,113,1
Ōkaihau,"Ōkaihau Primary School, 77 Settlers Way",8,11,1,53,43,1,77,10,26,230,2
Okara,"Okara Shopping Centre, opposite The Warehouse, 4 Port Road",5,3,0,7,4,1,19,1,8,48,1
Ōmāpere,"Opononi Area School, 263 State Highway 12",5,5,1,22,14,3,28,4,27,109,0
Opononi,"Te Kura Kaupapa Māori o Hokianga, 68 Koutu Point Road",0,1,0,5,6,2,6,3,15,38,2
Opua,"Opua School Hall, 2 Franklin Street",6,5,0,24,9,1,45,14,48,152,0
Opuawhanga,"Opuawhanga Hall, 968 Whananaki North Road",9,3,0,22,12,1,26,7,17,97,0
Oromahoe,"Oromahoe School, 50 Oromahoe School Road",0,7,4,16,5,1,23,5,17,78,0
Paihia,"Paihia War Memorial & Community Hall, 8 Williams Road",10,9,3,80,54,2,108,24,74,364,4
Pakaraka,"Pakaraka School, State Highway 10",5,4,2,26,15,3,49,7,31,142,0
Pakotai,"Pakotai School, Ruddell Road, off Mangakahia Road",3,0,0,14,4,2,11,8,12,54,0
Pāmapūria,"Pāmapūria School, 6970 State Highway 1",9,16,6,41,18,3,41,6,20,160,1
Panguru,"Te Kura Taumata O Panguru, 2178 West Coast Road",0,0,0,4,0,0,2,1,14,21,0
Paparoa,"Paparoa School, 14 Franklin Road",34,23,3,82,62,6,210,15,87,522,0
Pawarenga,"Te Kura ā-Iwi O Pawarenga, 42 Te Riha Road",0,0,0,2,2,0,0,2,5,11,0
Peria,"Peria School, 1430 Oruru Road",5,6,4,17,20,6,24,11,23,116,1
Pipiwai,"Te Horo School, 3239 Pipiwai Road",2,1,0,2,1,0,4,1,6,17,2
Poroti,"Poroti School, 673 Mangakahia Road",9,1,1,23,15,3,54,7,27,140,5
Pouto,"Rangitane Community Centre, 5226 Pouto Road",1,0,0,13,0,0,12,1,9,36,0
Pukenui,"Pukenui School, 35 Lamb Road",15,11,1,47,18,2,83,10,29,216,1
Pukepoto,"Pukepoto School, 818 Kaitaia-Awaroa Road",1,0,0,9,5,2,7,1,8,33,0
Rawene,"Rawene Town Hall, 9 Parnell Street",6,9,1,5,5,1,7,7,27,68,0
Ruatangata,"Ruatangata Hall, 1190 Pipiwai Road",2,1,1,7,4,0,50,0,4,69,0
Ruawai,"Ruawai Primary School, 4376 State Highway 12",56,6,1,54,9,10,105,9,62,312,3
Russell,"Anglican Parish Hall, Church Street",5,7,1,44,26,5,54,15,55,212,1
Taipa,"Doubtless Bay Squash Club, 10 East Street",6,4,1,33,13,1,43,4,23,128,2
Tangiteroria,"Tangiteroria School, 3069 State Highway 14",10,4,1,14,8,0,61,4,12,114,0
Tangowahine,"Tangowahine Primary School, 36 Tangowahine Valley Road",4,3,0,20,12,1,40,3,16,99,1
Tautoro,"Tautoro School, Mangakahia Road",0,0,0,10,1,1,2,1,14,29,0
Te Hana,"Te Hana Te Ao Marama Māori Cultural Centre, 311 State Highway 1",0,0,0,0,2,0,6,1,2,11,0
Te Hāpua,"Te Hāpua School, Te Hāpua Road",1,0,0,0,0,0,1,1,6,9,1
Te Kao,"Te Kura o Te Kao, 6603 Far North Road",3,0,0,5,1,2,1,0,10,22,0
Te Kōpuru,"Te Kōpuru School, 9 Norton Street",10,8,2,60,21,5,60,5,43,214,3
Tikipunga,"Kiripaka Shopping Centre, 165 Kiripaka Road, by roundabout",0,1,0,1,0,0,5,1,6,14,0
Tinopai,"Tinopai Primary School, 1913 Tinopai Road",2,5,2,16,2,1,29,2,22,81,2
Titoki,"Mangakahia Area School, 1482 Mangakahia Road",9,1,2,24,20,2,40,2,18,118,2
Totara North,"Totara North Hall, 4 School Road",2,7,3,15,12,1,26,1,15,82,0
Towai,"Maromaku School, 37 Maromaku School Road",2,3,1,7,18,0,42,3,11,87,0
Umawera,"Umawera School, State Highway 1",4,2,0,13,24,0,20,0,11,74,0
Waiharara,"Waiharara School, 8 Katavich Road",6,5,0,15,3,0,24,3,9,65,0
Waimā,"Waimā School, Waimā School Road (State Highway 12)",0,0,0,3,2,0,0,0,5,10,0
Waimamaku,"Waimamaku Town Hall, 7232 State Highway 12",6,3,0,25,17,0,32,4,36,123,1
Waimate North,"St John's Sunday School Hall, 344 Te Ahu Ahu Road",2,4,0,28,18,1,51,7,24,135,0
Waiotira,"Waiotira School, Ararua Road",9,1,0,15,6,5,53,3,16,108,0
Waipapa,"Baysport Pavilion, Harmony Lane",26,17,6,115,61,6,169,32,88,520,2
Waipapakauri,"Paparore School, 157 West Coast Road",6,0,3,14,6,2,34,3,7,75,0
Waipu,"Waipu Coronation Hall, 47 The Centre",3,1,0,2,4,1,9,2,4,26,0
Warkworth,"PAK'nSAVE Warkworth, Hudson Road (corner State Highway 1)",1,0,0,1,1,0,6,0,1,10,0
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",3,1,0,3,4,0,9,2,5,27,0
Whakapara,"Whakapara Community Hall, (corner McLennan Road & Old North Road)",11,4,1,14,7,0,63,4,32,136,0
Whananaki,"Whananaki School, 2168 Whananaki North Road",2,6,1,16,4,2,35,1,10,77,0
Whangārei,"Strand Arcade, Shop beside Food Court, 41 Cameron Street",3,2,0,6,3,3,13,4,5,39,0
Whatuwhiwhi,"Karikari Community Hall, 16 Maitai Bay Road",11,6,2,46,12,2,77,10,36,202,1

,Overseas Special Votes Including Defence Force - Northland,55,26,9,117,46,2,339,67,238,899,7
,Special Votes BEFORE Polling Day - Northland,163,124,34,480,257,100,1034,269,811,3272,42
,Special Votes ON Polling Day - Northland,159,157,27,411,252,100,602,223,538,2469,32
,Voting places where less than 6 votes were taken,0,0,0,1,0,1,3,0,4,9,0

,Northland Total,2135,1331,369,8143,3812,677,16272,2424,10185,45348,326

,Valid Candidate Votes plus Informal Candidate Votes,,45674

Electorate Candidate Valid Votes,Party,,,"McCALLUM, Grant Lewis - majority 6087"
"CAMERON, Mark Stuart",ACT New Zealand,2135,4.71
"FEYEN, Michael",New Zealand Loyal,1331,2.94
"FINLAYSON, Michael John",Northland Party,369,0.81
"JONES, Shane",New Zealand First Party,8143,17.96
"KING, Ronald Matthew",DemocracyNZ,3812,8.41
"LYE, Jeffrey Eric",Aotearoa Legalise Cannabis Party,677,1.49
"McCALLUM, Grant Lewis",National Party,16272,35.88
"PENNEY, Reina Tuai",Green Party,2424,5.35
"PRIME, Willow-Jean",Labour Party,10185,22.46
