Party and Electorate Candidate Votes Recorded at each Voting Place
New Plymouth 29,Candidate Vote Details
,,"BENNETT, Glen Thomas","McGECHAN, Bruce","MacLEOD, David Nigel","ROBINSON, Gregory","WATKINS, Hamish","WILLETTS, Warren John",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bell Block,"Fred Tucker Memorial Community Centre, 130 Parklands Avenue",442,49,754,7,17,42,1311,10
,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",527,127,1718,11,19,66,2468,17
Inglewood,"Inglewood Club, Moa Street",38,19,111,0,2,5,175,0
,"Inglewood Primary School, 33 Kelly Street",2,4,16,1,0,1,24,1
Merrilands,"Merrilands Domain Hall, 251 Mangorei Road",443,45,880,8,16,48,1440,15
New Plymouth,"Hospital & Hospice Team, 54 Gill Street",38,2,36,0,0,1,77,3
New Plymouth Central,"CBD Shop, next to ASB, 6 Devon Street West",1358,140,1963,12,37,62,3572,27
,"New Plymouth District Council, Ngāmotu Room, 84 Liardet Street",1283,128,2142,9,23,64,3649,30
,"St Joseph’s Church Hall, 151 Devon Street West",237,16,386,4,5,26,674,7
Ōakura,"Ōakura Community Hall, 1160A Main South Road",174,19,358,5,3,10,569,2
Ōpunake,"Ōpunake High School Hall, 149-151 Tasman Street",46,9,58,1,2,6,122,2
,"Ōpunake Library Plus, 43 Tasman Street",154,15,213,5,3,11,401,8
Spotswood,"Te Kura Kaupapa Māori o Te Pihipihinga Kākano Mai I Rangiātea, 131 South Road",39,4,28,0,1,6,78,0
,"Te Wānanga o Aotearoa, 150 Ngamotu Road",86,5,66,0,2,8,167,2
,"West Baptist Church, 144 South Road",182,24,329,3,9,24,571,6
Strandon,"Holy Trinity Anglican Church Hall, 12 Henui Street",169,25,431,4,3,8,640,5
Taken in New Plymouth,"Care Homes, Team 1",191,14,264,5,5,7,486,25
Waitara,"North Taranaki Sports & Recreation Inc, Clifton Park, 17 Princess Street",46,6,67,1,2,2,124,2
,"Waitara Library and Service Centre, 15A Queen Street",555,60,437,6,17,31,1106,13
,"Waitara War Memorial Hall, Memorial Place",236,20,217,2,8,16,499,7
Welbourn,"Western Institute of Technology, Te Pūkenga, Te Kauta Cafeteria, B Block, 20 Bell Street",112,11,85,1,6,5,220,1
Westown,"St Chad's Anglican Church, 12 Omata Road",670,69,791,7,17,39,1593,26

Voting Places
Bell Block,"Fred Tucker Memorial Community Centre, 130 Parklands Avenue",258,49,426,7,19,45,804,9
,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",195,33,389,2,7,17,643,6
Brooklands,"St Pius X School Hall, 120 Brooklands Road",261,28,356,4,8,16,673,3
Egmont Village,"Egmont Village School Hall, 1052 Junction Road",87,22,199,3,4,15,330,1
Fitzroy,"Fitzroy Primary School Hall, 45 Sackville Street",302,35,432,5,13,21,808,12
Frankleigh Park,"Woodleigh School Hall, 85 Brois Street",318,33,358,5,11,44,769,4
Highlands Park,"Mangorei School Hall, 502 Mangorei Road",133,16,278,6,2,20,455,2
Hillsborough,"Hillsborough Public Hall, 373 Egmont Road",56,12,194,2,0,10,274,2
Inglewood,"Inglewood Club, Moa Street",9,6,22,1,0,6,44,0
,"Inglewood High School, 129 Rata Street",19,3,13,0,0,8,43,0
,"Inglewood Primary School, 33 Kelly Street",9,1,14,0,0,3,27,0
Lepperton,"Lepperton School Hall, 540 Richmond Road",48,15,207,1,6,11,288,3
Marfell,"Marfell Community School Hall, 10 Endeavour Street",133,12,69,2,8,20,244,2
Merrilands,"Merrilands Domain Hall, 251 Mangorei Road",264,36,391,9,7,37,744,12
Moturoa,"Paritutu Bowling Club, (corner Calvert Road & St Aubyn Street)",254,21,342,4,9,31,661,6
New Plymouth Central,"Blind Low Vision NZ, 129-131 Vivian Street",106,10,125,1,3,11,256,3
,"CBD Shop, next to ASB, 6 Devon Street West",228,24,276,2,11,28,569,7
,"Central School Hall, 49 Pendarves Street",199,9,184,5,2,10,409,2
,"New Plymouth Boys' High School, Pridham Hall, 97 Eliot Street",143,13,185,3,5,13,362,5
,"St Joseph’s Church Hall, 151 Devon Street West",134,7,152,1,5,9,308,4
Ōakura,"Ōakura Community Hall, 1160A Main South Road",264,28,429,5,11,56,793,7
Ōkato,"Ōkato Playcentre, 37 Carthew Street",144,31,228,2,8,46,459,5
Omata,"Omata Community Hall, 3 Holloway Road",70,23,191,4,6,13,307,0
Ōpunake,"Ōpunake High School Hall, 149-151 Tasman Street",84,27,119,0,3,19,252,1
Pungarehu,"Pungarehu Old Post Office, 6351 Main South Road",35,7,47,0,3,17,109,0
Rahotu,"Rahotu School Hall, 5825 Surf Highway 45",30,8,66,1,0,18,123,4
Spotswood,"Spotswood Primary School Hall, 177 South Road",363,34,458,3,12,55,925,15
,"Te Wānanga o Aotearoa, 150 Ngamotu Road",120,12,91,3,7,20,253,4
