Party and Electorate Candidate Votes Recorded at each Voting Place
Christchurch Central 5,Candidate Vote Details
,,"ARNEIL, Mark Russell","BRITNELL, Michael Allan","CARTER, Kahurangi","FISKEN, Matthew Hunter","JACKSON, Sarah","STEPHENS, Dale Aotea","WEBB, Duncan",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",1,0,4,2,1,16,13,37,0
Belfast,"Belfast Salvation Army, 794 Main North Road",6,0,11,11,0,52,68,148,2
Bishopdale,"Ōrauwhata: Bishopdale Library and Community Centre, 13 Bishopdale Court",19,3,27,14,3,158,178,402,4
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",6,1,7,8,0,16,21,59,0
Burwood,"Burwood Hospital, Ground Floor Main Foyer, 300 Burwood Road",3,3,13,2,1,31,71,124,2
Cashmere,"South Christchurch Library, 66 Colombo Street",49,8,190,34,9,387,694,1371,15
Christchurch Central City,"Aldersgate Centre, 309 Durham Street North, Garden Entrance",12,1,50,12,1,249,166,491,4
,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",6,3,113,12,3,75,143,355,4
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",7,8,73,4,1,114,189,396,4
,"Deaf Society of Canterbury, 80 Fitzgerald Avenue",0,1,9,3,1,7,10,31,1
,"South City Shopping Centre, 555 Colombo Street",90,36,420,100,18,875,1075,2614,25
,"Te Wānanga o Aotearoa, 348 Manchester Street",8,7,72,9,4,120,185,405,2
,"Tūranga Library, 60 Cathedral Square",9,5,105,8,0,134,204,465,1
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",1,0,0,1,0,8,5,15,1
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,1,2,0,0,5,11,19,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",4,1,11,6,2,136,38,198,1
Halswell,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",1,1,6,2,0,15,19,44,0
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",2,0,5,4,2,24,14,51,0
Hornby,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",3,4,9,7,1,37,43,104,1
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",2,1,30,1,1,30,57,122,1
,"University of Canterbury, The Undercroft, Ilam Road",1,2,102,2,4,53,132,296,0
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",0,0,4,0,0,9,10,23,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",75,22,140,27,11,220,570,1065,12
Lyttelton,"Lyttelton Mt Herbert Community Facility, 25 Canterbury Street",0,0,1,0,1,4,5,11,0
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",19,2,26,20,9,215,144,435,5
Merivale,"Merivale Mall, outside Sassys clothing store, 189 Papanui Road",19,6,82,22,5,617,294,1045,4
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",2,1,3,1,0,10,11,28,0
Papanui,"Northcity Church Hall, 95A Sawyers Arms Road",14,2,7,4,3,66,76,172,3
,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",106,22,247,104,22,1137,1001,2639,26
Phillipstown,"Phillipstown Community Hub, Room 5, 39A Nursery Road",10,1,17,2,1,15,59,105,1
