Party and Electorate Candidate Votes Recorded at each Voting Place
Upper Harbour 55,Candidate Vote Details
,,"BREWER, Cameron Eric","CHHOUR, Karen Louise","CORBETT, Anthony James","DOYLE, Timothea Rose","NAVOT, Shai","NEWMAN, Christopher","SOARES, Bernadette","WALTERS, Vanushi Sitanjali","WILSON, David Ashley",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",590,57,5,57,15,12,2,115,12,865,7
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",409,37,0,50,11,5,0,128,13,653,5
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",54,2,0,13,4,1,2,31,5,112,0
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",1621,194,4,217,67,20,2,881,94,3100,73
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",910,98,4,81,30,7,7,330,44,1511,36
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",296,32,0,29,5,6,7,162,18,555,10
Greenhithe,"Greenhithe School Hall, Sunnyview Road entrance, next to 6 Sunnyview Road",1161,70,4,52,40,9,0,215,34,1585,7
Henderson,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",25,2,1,3,1,1,0,27,1,61,2
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",92,7,1,17,1,1,0,68,8,195,9
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",59,10,1,14,1,0,1,61,4,151,5
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",1195,97,5,86,48,3,1,353,36,1824,5
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",588,70,2,63,31,3,3,248,13,1021,9
Massey,"Massey High School, 274 Don Buck Road",255,37,0,26,14,2,2,227,21,584,12
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",223,37,2,50,5,5,2,315,28,667,18
Milford,"Milford Shopping Centre, 24 Milford Road",142,12,0,14,3,2,0,49,6,228,4
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",14,1,0,3,1,1,0,4,0,24,0
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",15,0,0,3,1,2,0,13,0,34,0
Rosedale,"Kowhai Kids Centre, 265 Albany Highway",36,5,0,4,0,0,0,5,2,52,0
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",7,2,0,2,0,1,0,4,1,17,0
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",9,1,0,3,1,0,0,1,1,16,0
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",259,45,1,40,8,4,0,118,17,492,5
Taken in Kaipara ki Mahurangi,"Defence Force Base, RNZAF Base Airport Drive",27,4,0,1,0,0,0,3,2,37,0
Taken in Upper Harbour,"Care Homes Team, Team 1",180,18,0,4,1,3,1,80,17,304,5
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",713,76,2,74,33,8,8,343,51,1308,9
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",1141,127,6,167,52,14,3,689,106,2305,31
West Harbour,"Marina View School, 97 Marina View Drive",668,61,0,34,16,9,2,169,18,977,9
,"Westgate Baptist Church, 67 Hobsonville Road",723,59,1,46,24,14,3,244,53,1167,13

Voting Places
Albany,"Pinehurst School, 75 Bush Road",40,6,0,7,2,1,0,6,3,65,0
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",46,5,0,7,2,0,0,11,1,72,1
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",32,3,0,6,2,0,0,11,0,54,1
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",15,4,0,5,0,0,0,7,0,31,0
Glenfield,"Bayview Primary School, 60 Bayview Road",363,55,2,65,18,14,1,259,39,816,6
,"Girl Guides Glenfield, next to Glenfield War Memorial Hall, 10 Hall Road",107,13,0,20,20,4,2,93,11,270,4
,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",159,13,0,25,6,1,0,94,12,310,6
,"Glenfield Primary School, 101 Chivalry Road",22,4,1,9,1,0,1,28,1,67,2
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",379,50,5,55,14,10,3,172,19,707,14
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",152,20,0,25,7,7,3,117,12,343,3
Greenhithe,"Greenhithe Community Hall, 7 Greenhithe Road",191,27,1,16,10,14,1,64,11,335,0
,"Greenhithe School Hall, Sunnyview Road entrance, next to 6 Sunnyview Road",434,29,2,38,16,9,1,106,22,657,2
,"Shore Grace Church Hall, 12 Greenhithe Road",153,1,0,7,6,6,0,41,4,218,2
,"Upper Harbour Primary School, 140 Kyle Road",204,13,0,8,9,1,1,31,9,276,1
Henderson,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",12,4,0,2,0,0,1,15,1,35,2
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",6,1,0,1,1,1,0,6,1,17,0
Hobsonville,"Hobsonville Point Primary School, 18 De Havilland Road",300,28,0,52,30,4,4,129,18,565,4
,"Hobsonville School, 104 Hobsonville Road",226,15,0,15,25,3,4,75,14,377,1
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",350,35,2,50,39,1,4,178,13,672,7
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",196,15,0,26,16,1,1,87,5,347,0
Massey,"Lincoln Heights School, 16 Keegan Drive",156,13,2,35,13,11,7,181,36,454,12
,"Massey High School, 274 Don Buck Road",179,21,2,49,8,6,4,247,36,552,12
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",100,16,0,34,6,2,3,137,24,322,8
Milford,"Milford Shopping Centre, 24 Milford Road",25,2,0,3,2,2,0,4,1,39,1
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",3,1,0,2,0,0,0,2,0,8,0
Rosedale,"Kowhai Kids Centre, 265 Albany Highway",21,5,0,1,1,0,0,4,0,32,0
Silverdale,"Stella Maris Catholic Primary School Hall, 50 Silverdale Street",2,1,0,2,0,0,0,1,0,6,0
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",55,4,1,13,4,1,1,36,9,124,2
Tōtara Vale,"Reformed Church of the North Shore, 74 Trias Road",186,20,1,34,13,3,4,90,16,367,10
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",93,10,0,18,9,1,2,67,11,211,2
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",169,23,0,43,14,4,4,157,16,430,4
West Harbour,"Marina View School, 97 Marina View Drive",371,49,0,41,22,9,0,146,20,658,2
,"Westgate Baptist Church, 67 Hobsonville Road",154,17,1,24,11,14,5,104,19,349,5
,"West Harbour Alliance Church, 145 Moire Road",122,13,0,25,13,5,0,83,17,278,6
,"West Harbour Primary School, Sumich Place entrance, next to 8 Sumich Place",123,19,0,29,12,8,2,204,11,408,5

,Overseas Special Votes Including Defence Force - Upper Harbour,604,85,0,99,38,8,5,220,17,1076,1
,Special Votes BEFORE Polling Day - Upper Harbour,2646,318,14,499,171,47,19,1211,147,5072,111
,Special Votes ON Polling Day - Upper Harbour,1683,194,10,475,134,56,8,997,149,3706,75
,Voting places where less than 6 votes were taken,7,0,0,0,1,0,0,2,0,10,0

,Upper Harbour Total,21498,2313,83,3018,1109,387,137,10306,1330,40181,586

,Valid Candidate Votes plus Informal Candidate Votes,,40767

Electorate Candidate Valid Votes,Party,,,"BREWER, Cameron Eric - majority 11192"
"BREWER, Cameron Eric",National Party,21498,53.50
"CHHOUR, Karen Louise",ACT New Zealand,2313,5.76
"CORBETT, Anthony James",New Zealand Sovereignty Party,83,0.21
"DOYLE, Timothea Rose",Green Party,3018,7.51
"NAVOT, Shai",The Opportunities Party (TOP),1109,2.76
"NEWMAN, Christopher",New Zealand Loyal,387,0.96
"SOARES, Bernadette",Vision New Zealand,137,0.34
"WALTERS, Vanushi Sitanjali",Labour Party,10306,25.65
"WILSON, David Ashley",New Zealand First Party,1330,3.31
