Party and Electorate Candidate Votes Recorded at each Voting Place
Pakuranga 35,Candidate Vote Details
,,"ALCOCK, John Ronald","BROWN, Simeon Peter","HANCOCK, Nicholas","HENRY, Nerissa","PARMAR, Kushmiita Parmjeet Kaur","SCOTHERN, Philip",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",7,530,5,121,28,9,700,6
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",0,52,1,15,1,1,70,1
,"Pakuranga Golf Club, 199 Botany Road",3,279,2,40,12,6,342,5
Burswood,"China Town, 262 Ti Rakau Drive",7,550,5,50,17,3,632,24
Highland Park,"Fencible AFC Clubrooms, William Green Domain, 590 Pakuranga Road",14,1184,9,272,63,13,1555,12
,"Highland Park Library, 16 Highland Park Drive",25,3101,34,692,122,37,4011,61
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",20,3511,51,705,132,47,4466,42
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",0,17,0,5,1,0,23,0
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",0,42,0,12,4,0,58,0
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",0,122,0,28,9,2,161,0
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",1,9,0,3,1,0,14,0
,"Salvation Army Community Centre, 18 Allright Place",0,10,0,3,2,0,15,0
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",7,272,7,86,10,1,383,5
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",0,20,1,14,1,0,36,2
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,56,0,11,4,0,71,2
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,28,0,4,2,1,35,0
Pakuranga,"Auckland Taiwanese Presbyterian Church, 158 Pakuranga Road",0,144,0,26,6,1,177,1
,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",20,2948,53,1007,164,47,4239,73
,"Trinity Methodist Church Hall, 474 Pakuranga Road",10,1323,15,288,48,21,1705,6
Pakuranga Heights,"EFKS Pakuranga, CCC of Samoa, 229 Ti Rakau Drive",4,291,9,108,12,4,428,3
Panmure,"Panmure Library, 7-13 Pilkington Road",2,25,3,13,3,2,48,1
Taken in Botany,"Care Homes, Team 1",0,9,0,4,0,0,13,0
Taken in Pakuranga,"Care Homes, Team 1",2,92,1,49,9,4,157,24
,"Pop-up Voting Services, Various Locations - Retirement Villages",0,248,3,86,10,0,347,5
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",1,8,0,3,1,0,13,1

Voting Places
Botany,"Elim Christian College, Golflands Campus, 94 Golfland Drive",0,11,0,2,0,0,13,1
Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",1,16,0,4,0,1,22,0
,"Botany Downs Secondary College, 575 Chapel Road",0,17,0,11,1,4,33,0
,"Elim Christian Centre, 159 Botany Road",0,53,0,15,2,2,72,2
Bucklands Beach,"Bucklands Beach Intermediate School Hall, 247 Bucklands Beach Road",4,362,5,63,19,6,459,5
,"Bucklands Beach Primary School Hall, 107 Clovelly Road",2,469,9,102,13,2,597,8
,"Macleans Primary School Hall, 10 Wycherley Drive",1,281,8,84,9,7,390,4
Burswood,"East City Wesleyan Church, 219 Burswood Drive",0,28,1,11,5,2,47,0
Cockle Bay,"Cockle Bay Playcentre, 17 Pah Road",0,13,0,4,4,0,21,0
Dannemora,"Willowbank School, 56 Middlefield Drive",0,7,0,1,0,0,8,2
Eastern Beach,"Macleans College, Batten House, 2 Macleans Road, Gate 4 entrance",4,329,7,50,22,7,419,5
Farm Cove,"Farm Cove Intermediate, Gymnasium, 16 Butley Drive",11,581,11,173,31,12,819,8
Half Moon Bay,"Burnsco Office, beside Gouemon, Half Moon Bay shops, Compass Building, Ara Tai Road",4,337,2,72,15,6,436,10
,"Pakuranga College Hall, 180 Pigeon Mountain Road (corner Pakuranga Road)",4,245,6,84,12,7,358,2
Highland Park,"Fencible AFC Clubrooms, William Green Domain, 590 Pakuranga Road",2,156,5,53,10,8,234,3
,"Highland Park Library, 16 Highland Park Drive",2,260,6,97,20,6,391,8
Howick,"Cockle Bay School, 24 Sandspit Road",0,190,5,52,7,5,259,3
,"Howick Intermediate School Hall, 1 Botany Road (corner Pakuranga Road)",2,131,3,59,13,7,215,8
,"Howick Library, Fencible Room, 25 Uxbridge Road",2,495,9,143,20,6,675,7
,"Mellons Bay School Hall, 140 Mellons Bay Road",0,211,4,38,5,7,265,1
,"Owairoa Primary School Hall, 85 Nelson Street (corner Wellington Street)",3,375,10,89,21,10,508,2
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",0,4,0,3,1,0,8,0
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",0,32,0,2,1,1,36,1
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",0,24,1,8,0,1,34,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,7,0,2,0,0,9,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,4,1,1,1,0,8,0
Pakuranga,"Anchorage Park School Hall, 16 Swan Crescent",1,73,1,86,8,1,170,3
,"Auckland Taiwanese Presbyterian Church, 158 Pakuranga Road",0,70,0,33,7,5,115,1
,"Edgewater College Hall, 32 Edgewater Drive",0,92,0,56,4,2,154,1
,"Pakuranga Heights School Hall, 77 Udys Road",7,219,8,99,12,6,351,3
,"Pakuranga Intermediate School Hall, 43-49 Reeves Road",3,83,1,44,5,2,138,2
,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",5,298,16,186,21,12,538,5
,"Riverhills School Hall, 13 Waikaremoana Place",2,111,4,57,7,5,186,3
,"Trinity Methodist Church Hall, 474 Pakuranga Road",2,189,3,48,6,11,259,1
Pakuranga Heights,"Eastgate Christian Centre, 5 Ben Lomond Crescent",0,118,3,52,4,3,180,2
,"EFKS Pakuranga, CCC of Samoa, 229 Ti Rakau Drive",0,57,2,30,2,1,92,0
Somerville,"Somerville Intermediate School, 39 Somerville Road",0,15,1,7,0,0,23,0
Sunnyhills,"Sunnyhills School Hall, 17 The Crest",0,406,3,85,18,5,517,5

,Overseas Special Votes Including Defence Force - Pakuranga,5,828,20,294,54,13,1214,13
,Special Votes BEFORE Polling Day - Pakuranga,33,2517,64,776,151,49,3590,93
,Special Votes ON Polling Day - Pakuranga,38,1512,52,670,104,69,2445,56
,Voting places where less than 6 votes were taken,0,8,1,4,1,0,14,1

,Pakuranga Total,262,26105,471,7395,1298,490,36021,544

,Valid Candidate Votes plus Informal Candidate Votes,,36565

Electorate Candidate Valid Votes,Party,,,"BROWN, Simeon Peter - majority 18710"
"ALCOCK, John Ronald",Rock the Vote NZ,262,0.73
"BROWN, Simeon Peter",National Party,26105,72.47
"HANCOCK, Nicholas",Animal Justice Party ,471,1.31
"HENRY, Nerissa",Labour Party,7395,20.53
"PARMAR, Kushmiita Parmjeet Kaur",ACT New Zealand,1298,3.60
"SCOTHERN, Philip",New Zealand Loyal,490,1.36
