Party and Electorate Candidate Votes Recorded at each Voting Place
Manurewa 22,Candidate Vote Details
,,"KILARI, Siva Sekhara Naidu","MCLEAN, Rangi","WARREN, Caine","WILLIAMS, Arena",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",42,1,1,21,65,3
Clendon Park,"Manurewa Marae, 81 Finlayson Avenue",71,99,37,300,507,17
,"PAK'nSAVE Clendon, 16 Robert Ross Place",477,104,67,1369,2017,57
,"Te Matariki Clendon Community Centre & Library, 17 Palmers Road",170,28,25,436,659,10
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",6,3,1,10,20,0
,"St Peter Chanel Church, 44 Boundary Road",24,4,0,28,56,2
,"Tupu Youth Library, 102 Dawson Road",2,2,0,20,24,2
Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",44,7,4,39,94,5
Māngere,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",6,2,0,18,26,2
,"PAK'nSAVE Māngere, (corner Bader Drive & Orly Avenue)",28,3,5,50,86,8
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",3,0,0,12,15,0
Māngere Airport Oaks,"The Warehouse Auckland Airport, 1 John Goulter Drive",48,12,4,73,137,6
Māngere East,"Metro Theatre, 362 Massey Road",10,1,2,23,36,0
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",81,14,7,140,242,9
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",826,76,76,964,1942,87
Manurewa,"Manurewa Library, Community Room, 7 Hill Road",644,54,40,756,1494,42
,"Southmall Manurewa, Centre Court, 185-201 Great South Road",59,11,3,166,239,4
,"St Anne's Catholic Church Hall, 126 Russell Road",216,23,28,450,717,26
,"St Luke's Anglican Church Hall, 3 Russell Road",151,22,11,284,468,24
Manurewa East,"Manurewa Scout Hall, 23 Alfriston Road, Gallahar Park entrance",88,9,14,86,197,3
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",29,2,1,9,41,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",10,3,1,13,27,0
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",7,4,1,6,18,0
,"Ōtāhuhu Town Hall Community Centre, 10 High Street",5,1,0,11,17,0
Ōtara,"MIT Ōtara Campus, Pasifika Community Centre, Gate 12, 53 Ōtara Road",4,0,1,12,17,0
,"Te Puke ō Tara Community Hall, 20 Newbury Street",5,2,0,13,20,2
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",4,2,2,7,15,0
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",382,24,16,473,895,32
,"Papatoetoe War Memorial Library, 30 Wallace Road",420,37,24,715,1196,53
,"Youthline Manukau, 145 Saint George Street",138,9,7,163,317,11
Randwick Park,"Randwick Park School Hall, Magic Way entrance",2,0,2,5,9,1
Takanini,"Takanini Hall, 8 Takanini Road",12,3,2,9,26,4
