Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Mana
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,10,12,0,22,2
,"The Salvation Army, 89 Warspite Avenue",2,43,45,3,93,0
Linden,"Linden Social Centre, 10 Linden Avenue",1,17,18,1,37,0
Mana,"St Barnabas Church Hall, 106 Mana Esplanade",1,8,6,0,15,0
Paekākāriki,"St Peter's Village Hall, Beach Road (corner Ames Street)",0,12,3,0,15,0
Plimmerton,"St Theresa's Catholic Church, 210 St Andrews Road",0,5,3,0,8,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",20,278,148,12,458,4
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",19,368,182,6,575,7
,"Pātaka Art + Museum, 17 Parumoana Street",2,55,18,0,75,1
,"Whitireia New Zealand, Room WK136, 3 Wi Neera Drive",0,11,2,0,13,0
Pukerua Bay,"Pukerua Bay School Hall, 89 Rawhiti Road",0,8,1,0,9,0
Takapūwāhia,"Takapūwāhia Te Puna Ora, (corner Te Hiko Street & Ngatitoa Street)",0,75,23,1,99,0
Taken in Mana,"Hospital & Care Homes, Team 1",0,6,6,0,12,0
,"Pop-up Voting Services, Various Locations - Raumati Beach and Tītahi Bay",0,34,24,0,58,1
New Plymouth
Bell Block,"Fred Tucker Memorial Community Centre, 130 Parklands Avenue",1,29,20,1,51,0
,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",18,72,32,1,123,3
Merrilands,"Merrilands Domain Hall, 251 Mangorei Road",3,11,14,1,29,0
New Plymouth,"Hospital & Hospice Team, 54 Gill Street",0,4,4,1,9,0
New Plymouth Central,"CBD Shop, next to ASB, 6 Devon Street West",16,122,33,5,176,4
,"New Plymouth District Council, Ngāmotu Room, 84 Liardet Street",7,77,32,9,125,3
,"St Joseph’s Church Hall, 151 Devon Street West",4,21,4,0,29,1
Ōakura,"Ōakura Community Hall, 1160A Main South Road",1,13,3,0,17,0
Ōpunake,"Ōpunake High School Hall, 149-151 Tasman Street",1,12,2,0,15,0
,"Ōpunake Library Plus, 43 Tasman Street",3,53,21,1,78,1
Spotswood,"Te Kura Kaupapa Māori o Te Pihipihinga Kākano Mai I Rangiātea, 131 South Road",0,41,8,1,50,1
,"Te Wānanga o Aotearoa, 150 Ngamotu Road",2,49,10,1,62,1
