Party and Electorate Candidate Votes Recorded at each Voting Place
Auckland Central 1,Candidate Vote Details
,,"COKER, Christopher Hamish","DAVIE, Paul Clifford","KANE, Madeleine","LIU, Andi Shen","MURALIDHAR, Mahesh","POOLE, Felix Thomas","SIMS, Oscar Campbell","SLOCUM, Guy","SWARBRICK, Chlöe Charlotte","SYCAMORE, Damian Peter Melhuish",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",0,0,0,0,38,5,2,0,19,1,65,0
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",19,5,5,14,817,103,223,2,787,31,2006,17
,"Auckland City Mission, 140 Hobson Street",1,0,0,1,28,5,17,0,29,0,81,3
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",2,2,0,1,61,14,21,0,202,5,308,2
,"Auckland University Students Association, 4 Alfred Street",1,0,3,1,132,19,24,0,608,7,795,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",4,4,6,5,613,76,110,2,864,15,1699,8
,"Pitt Street Methodist Church, Theatre, 78 Pitt Street",2,2,1,3,118,9,38,1,302,5,481,4
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",2,0,2,0,49,6,9,0,46,3,117,4
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",0,0,0,0,10,0,2,0,9,0,21,0
Claris,"Aotea Council Buildings, 75 Hector Sanderson Road",8,1,0,0,68,5,10,1,92,3,188,1
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",0,0,1,0,14,1,1,0,9,0,26,1
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",2,1,0,0,83,5,20,0,129,3,243,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",1,1,0,2,217,16,28,1,308,4,578,2
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",1,1,2,1,235,27,48,1,286,5,607,5
Kingsland,"EFKS Kingsland Congregational Christian Church of Samoa, 50 Bond Street",1,1,1,0,28,1,4,0,77,3,116,0
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",0,0,0,0,23,3,2,0,18,1,47,0
Milford,"Milford Shopping Centre, 24 Milford Road",0,0,0,0,21,1,1,0,9,1,33,0
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",0,0,0,0,7,1,3,0,11,1,23,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",6,0,2,1,112,10,49,0,148,3,331,2
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",0,0,0,0,26,3,1,0,22,2,54,0
,"Valley Road International Church Hall, 393 Mount Eden Road",0,0,0,0,9,3,0,0,9,0,21,0
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",0,0,0,0,40,10,9,0,36,0,95,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",7,0,3,4,273,18,40,12,233,11,601,4
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,0,0,0,116,9,10,0,129,6,271,1
Northcote,"Auckland University of Technology, North Campus, AS Building, Gate 1, 90 Akoranga Drive",0,0,0,0,1,0,0,0,8,0,9,0
Parnell,"Church Unlimited, 2A Augustus Terrace",0,1,0,1,27,4,4,0,32,0,69,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",1,0,1,0,27,1,8,0,36,0,74,0
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",5,5,2,4,1523,56,135,3,1109,16,2858,12
,"Ponsonby Primary School, 44 Curran Street",1,1,0,0,132,0,3,0,52,0,189,0
