Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Candidate Vote Details
,,"CHEUNG, Chun Ho Carlos","CHOPRA, Rahul","SANIS WALGAMPOLA, Suveen","WOOD, Michael Philip",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Auckland University Students Association, 4 Alfred Street",29,4,34,48,115,1
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",36,11,12,39,98,1
Avondale,"Avondale Community Centre, 99 Rosebank Road",28,4,7,15,54,1
,"St Jude's Anglican Church Hall, 27 St Jude Street",22,5,3,16,46,0
Balmoral,"Mt Eden War Memorial Hall, 487- 489 Dominion Road",364,58,106,253,781,19
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",204,19,10,100,333,7
,"Blockhouse Bay Community Church, 76 Dundale Avenue",594,90,75,357,1116,38
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",14,3,2,6,25,0
Epsom,"St Andrew's Church, Lower Room, 100 St Andrews Road",118,7,11,45,181,2
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",33,3,13,45,94,3
Lynfield,"Lynfield Community Church, 35 The Avenue",1006,111,67,525,1709,34
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",25,6,9,17,57,4
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",27,2,3,19,51,0
Mt Albert,"Mount Albert Presbyterian Church Hall, 14 Mount Albert Road",10,3,8,24,45,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",536,49,95,432,1112,33
Mt Eden,"Auckland Provincial Guide Centre, 132 Grange Road",27,4,4,19,54,0
,"Greyfriars Presbyterian Church, McKinney Hall, 544 Mount Eden Road",73,14,13,37,137,2
,"Valley Road International Church Hall, 393 Mount Eden Road",11,1,2,2,16,0
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",1546,187,210,1472,3415,71
,"Safina Trust NZ, 51A O' Donnell Avenue",6,3,4,15,28,1
,"St Therese Catholic Church, 463 Mount Albert Road",500,53,81,442,1076,8
,"Tulja Centre, 190 Stoddard Road",24,2,7,26,59,0
,"Wesley Community Centre, Tarapunga Room, 740 Sandringham Road Extension",493,63,118,868,1542,36
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",102,8,14,44,168,1
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",183,22,33,157,395,14
,"Suburbs Rugby Football Club, 130 Portage Road",11,0,4,7,22,0
