Party and Electorate Candidate Votes Recorded at each Voting Place
North Shore 30,Candidate Vote Details
,,"BASKETT, Pat","GRAY, Abraham Gabriel","HAMPTON, George","WATTS, Simon Glen","YALLOP, Anna Marie",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",35,12,81,410,34,572,11
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",26,12,65,329,26,458,6
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",9,1,16,39,3,68,0
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",13,1,9,10,4,37,1
,"Auckland University Students Association, 4 Alfred Street",22,5,31,35,3,96,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",11,5,14,55,5,90,1
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",15,4,17,56,8,100,2
,"Zion Hill Methodist Church Hall, 237 Onewa Road",0,3,0,7,0,10,1
Browns Bay,"Heart of the Bays, 2 Glen Road",15,5,35,130,20,205,4
Devonport,"Devonport Ferry Terminal, Queens Parade",158,43,567,868,56,1692,17
,"North Shore Rugby Club, Cambridge Terrace",225,59,702,1369,110,2465,26
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",47,13,123,390,37,610,11
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",12,2,22,58,8,102,1
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",3,0,3,13,1,20,1
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",4,2,17,21,0,44,0
Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",30,12,134,487,25,688,2
,"Rangitoto College, 564 East Coast Road",32,9,74,571,46,732,11
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",7,3,9,33,2,54,1
Milford,"Milford Shopping Centre, 24 Milford Road",377,132,1166,4879,313,6867,78
,"North Shore Hospital, Main Entrance Foyer, Shakespeare Road",25,10,90,201,16,342,6
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",11,3,9,60,2,85,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",7,0,4,30,1,42,0
Northcote,"Auckland University of Technology, North Campus, AS Building, Gate 1, 90 Akoranga Drive",6,1,14,17,1,39,0
,"Northcote Citizens Centre Hall, 1 Ernie Mays Street (corner Ernie Mays Street & College Road)",7,2,11,37,4,61,3
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",0,0,4,14,1,19,0
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",1,1,2,11,1,16,2
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",98,32,272,966,75,1443,22
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",302,88,752,2812,196,4150,41
Taken in North Shore,"Hospital and Care Homes, Team 1",2,0,53,89,4,148,5

Voting Places
Albany,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",4,0,13,29,1,47,1
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",4,0,15,37,1,57,0
