Party and Electorate Candidate Votes Recorded at each Voting Place
Māngere 21,Candidate Vote Details
,,"ALAILIMA, Fuiavailili","BOURKE, Rosemary Tarshi","JOSEPH, Pothen","PETERS, Hilda","SOSENE, Lemauga Lydia","STANLEY, Brooke Fiafia","SYKES, Peter Brian",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",1,16,0,0,5,0,2,24,1
Clover Park,"St Peter Chanel Church, 44 Boundary Road",0,5,0,0,13,0,2,20,0
,"Tupu Youth Library, 102 Dawson Road",0,1,0,0,7,0,0,8,0
Favona,"Free Church of Tonga - Mounga 'Olive, 47 Favona Road",0,22,4,1,69,1,4,101,3
Ihumatao,"Makaurau Marae, 8 Ruaiti Road",1,2,1,4,5,2,3,18,0
Māngere,"Al Madinah School, 8 Westney Road",7,92,12,3,183,9,21,327,5
,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",32,114,9,24,1180,19,68,1446,44
,"Māngere College, 23 Bader Drive",0,2,0,0,6,0,2,10,0
,"PAK'nSAVE Māngere, (corner Bader Drive & Orly Avenue)",39,455,54,61,1763,31,190,2593,70
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",18,127,14,24,443,2,44,672,10
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",0,24,4,2,24,1,6,61,1
,"The Warehouse Auckland Airport, 1 John Goulter Drive",12,214,18,20,415,14,71,764,21
Māngere Bridge,"Māngere Memorial Hall, Domain Road",14,403,48,43,506,22,134,1170,24
,"St Anthony Catholic Parish Hall, 20 Kirkbride Road",6,73,12,12,194,9,28,334,12
,"St James Anglican Church Hall, 27 Church Road",14,533,63,39,464,23,166,1302,28
Māngere East,"De La Salle College, 81 Gray Avenue",2,0,0,1,10,0,1,14,0
,"Metro Theatre, 362 Massey Road",29,374,35,23,1029,24,154,1668,27
,"Southern Cross Campus Hall, 237 Buckland Road",1,0,0,0,3,1,1,6,0
,"St Therese Catholic Parish Hall, 10 Wickman Way",8,50,4,17,464,7,32,582,12
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",0,9,0,4,35,0,6,54,2
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",15,127,6,15,245,5,40,453,16
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",1,63,8,3,59,1,17,152,8
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,15,4,3,16,0,10,48,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,6,3,1,7,2,1,20,3
Onehunga,"Onehunga Community Centre, 83 Church Street",1,27,1,5,27,2,11,74,2
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",0,11,0,3,36,1,10,61,3
,"Ōtāhuhu Town Hall Community Centre, 10 High Street",2,5,0,2,30,1,3,43,2
Ōtara,"MIT Ōtara Campus, Pasifika Community Centre, Gate 12, 53 Ōtara Road",0,2,0,1,9,1,1,14,0
