Party and Electorate Candidate Votes Recorded at each Voting Place
Nelson 27,Candidate Vote Details
,,"BAILLIE, Christopher John","BOYACK-MAYER, Rachel Elizabeth","CAMERON, Blair","DYER, Bruce","HOBBS, Herbert John","VAUGHAN, Peter John",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Nelson,"Corner Shop, opposite McDonald's Nelson, 135 Rutherford Street, (corner of Rutherford Street & Selwyn Place)",106,804,838,7,122,52,1929,22
,"Elma Turner Library, 27 Halifax Street",173,1921,1544,8,265,57,3968,36
,"Habitat for Humanity Hub Nelson, 166 Tahunanui Drive",60,507,375,7,68,40,1057,18
,"NMIT Te Pūkenga, N Block, 322 Hardy Street",29,418,266,5,83,24,825,12
,"The Space, former Christian Science Society, 97 Collingwood Street (corner of St John Street & Collingwood Street)",13,276,198,0,31,9,527,0
,"The Warehouse Nelson, 23 Saint Vincent Street",95,739,616,11,125,36,1622,25
Richmond,"Club Waimea, 345 Lower Queen Street",67,237,338,2,31,16,691,14
,"Richmond Library, 280 Queen Street",198,1083,1419,6,117,73,2896,33
,"Richmond Mall, next to Boulevard Café, Queen Street entrance, 212 Queen Street",260,1339,1932,9,152,58,3750,53
,"The Headingly Centre, 2 Headingly Lane",5,35,48,0,3,6,97,1
Stoke,"Pūtangitangi Greenmeadows Centre, (corner Main Road Stoke & Songer Street)",293,1801,1887,12,167,63,4223,59
,"Saxton Pavilion, Nelson Cricket Ground, 142 Saxton Road East",67,370,549,1,47,19,1053,12
Tāhunanui,"Tahunanui Community Hub, 55 Muritai Street",47,442,411,4,56,30,990,7
Taken in Nelson,"Care Homes, Team 1",4,163,122,2,12,1,304,31
Toi Toi,"Victory Community Centre, 2 Totara Street",36,509,149,8,39,17,758,15

Voting Places
Appleby,"Appleby School, 19 Moutere Highway",8,21,38,0,9,6,82,0
Brightwater,"Brightwater School, 106 Ellis Street",8,10,25,0,0,3,46,1
Enner Glynn,"Enner Glynn School, 10 The Ridgeway",42,228,216,4,34,25,549,11
Hira,"Hira School, 800 Main Road",23,102,107,1,22,17,272,9
Hope,"Hope School, 316 Paton Road",42,79,222,2,14,24,383,2
Marybank,"Clifton Terrace School, 888 Atawhai Drive",36,243,267,3,42,19,610,2
Nelson,"Auckland Point School, 111 Haven Road",19,159,144,1,35,17,375,4
,"Corner Shop, opposite McDonald's Nelson, 135 Rutherford Street, (corner of Rutherford Street & Selwyn Place)",27,232,180,3,49,23,514,6
,"Elma Turner Library, 27 Halifax Street",27,376,194,6,59,55,717,7
,"Habitat for Humanity Hub Nelson, 166 Tahunanui Drive",23,136,127,4,24,17,331,1
,"NMIT Te Pūkenga, N Block, 322 Hardy Street",18,248,144,3,28,24,465,2
Nelson South,"Hampden Street School, 250 Hampden Street",25,180,150,0,22,21,398,5
Richmond,"Club Waimea, 345 Lower Queen Street",36,120,188,4,12,12,372,6
,"Garin College, 35 Champion Road",42,212,345,0,40,26,665,11
,"Richmond Library, 280 Queen Street",38,182,209,2,28,34,493,14
,"Richmond Mall, next to Boulevard Café, Queen Street entrance, 212 Queen Street",76,288,370,4,39,38,815,12
,"Richmond School Community Hall, 14 Cambridge Street",37,164,205,0,21,18,445,3
Stoke,"Broadgreen Intermediate School, 193 Nayland Road",82,348,400,3,44,48,925,13
,"Pūtangitangi Greenmeadows Centre, (corner Main Road Stoke & Songer Street)",69,393,390,6,70,51,979,18
,"Saxton Pavilion, Nelson Cricket Ground, 142 Saxton Road East",38,121,218,1,27,9,414,3
Tāhunanui,"Tahunanui Community Hub, 55 Muritai Street",26,147,135,2,21,18,349,1
,"Tāhunanui School, 69 Muritai Street",20,133,131,2,22,30,338,5
The Brook,"Nelson Central Kindergarten, 51B Brook Street",14,88,54,0,19,13,188,0
Toi Toi,"Victory Community Centre, 2 Totara Street",33,311,106,2,37,22,511,22

,Overseas Special Votes Including Defence Force - Nelson,57,457,344,2,148,23,1031,9
,Special Votes BEFORE Polling Day - Nelson,205,1181,1093,17,344,88,2928,68
,Special Votes ON Polling Day - Nelson,168,738,821,15,263,134,2139,73
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0

,Nelson Total,2692,17541,17515,169,2791,1316,42024,646

,Valid Candidate Votes plus Informal Candidate Votes,,42670

Electorate Candidate Valid Votes,Party,,,"BOYACK-MAYER, Rachel Elizabeth - majority 26"
"BAILLIE, Christopher John",ACT New Zealand,2692,6.41
"BOYACK-MAYER, Rachel Elizabeth",Labour Party,17541,41.74
"CAMERON, Blair",National Party,17515,41.68
"DYER, Bruce",Progressive Aotearoa New Zealand,169,0.40
"HOBBS, Herbert John",Green Party,2791,6.64
"VAUGHAN, Peter John",New Zealand Loyal,1316,3.13
