Party and Electorate Candidate Votes Recorded at each Voting Place
Waikato 56,Candidate Vote Details
,,"DORNAN, Lois Emere","HUSBAND, Stuart Thomas","OWEN, Megan","TOKO, Jamie","VAN DE MOLEN, Timothy John",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Cambridge,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",9,40,41,124,774,988,11
,"Hautapu Rugby Club, 211 Victoria Street",3,34,16,98,697,848,7
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",4,21,15,76,346,462,5
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",9,36,16,102,401,564,8
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",1,6,6,18,106,137,2
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",0,7,1,21,74,103,0
Flagstaff,"Te Ao Mārama School, 33 Hare Puke Drive",0,10,10,35,251,306,7
Hamilton Central,"Centre Place, 501 Victoria Street",2,18,32,88,316,456,4
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",0,1,0,8,12,21,1
,"The Verandah, Lake Domain Drive",1,5,6,25,75,112,0
Hillcrest,"Hillcrest Baptist Church Hall, (corner Knighton Road & Clyde Street)",6,29,9,115,320,479,4
,"University of Waikato, Village Green, Gate 1, Knighton Road",0,8,23,67,94,192,0
Huntly,"Huntly Town Centre, former ANZ Bank, 127 Main Street",20,184,35,628,648,1515,50
Huntly West,"Te Wharekura o Rakaumanga, Library, 26 McDiarmid Crescent",0,2,0,5,1,8,0
,"Tuuhono Hauora, 2 Bridge Street",2,8,3,47,16,76,2
Matamata,"Matamata St John Hall, (corner Ngaio Street & Rawhiti Avenue)",26,361,56,751,3096,4290,63
Morrinsville,"Morrinsville Rotary Community Centre, 45 Canada Street",29,373,93,720,2744,3959,47
Ngāruawāhia,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",21,98,37,457,483,1096,15
Pukemiro,"Pukemiro School, 4 John Avenue",0,1,0,11,7,19,0
Putāruru,"Putaruru Bridge Club, 3 Overdale Street",0,8,3,12,43,66,0
Rototuna,"Limelight Dance Academy, 144 Rototuna Road",1,23,18,78,300,420,6
Taken in Hamilton East,"Care Homes, Team 1",0,1,0,7,12,20,0
Taken in Hamilton West,"Care Homes, Team 1",0,9,1,5,17,32,2
Tamahere,"Tamahere WDC Community Hub, (corner Wiremu Tamihana Drive & Devine Road)",5,37,43,210,897,1192,10
Te Aroha,"Te Aroha Silver Fern Farms Events Centre, Ballance Room, 44 Stanley Avenue",6,138,25,246,614,1029,26
