Party and Electorate Candidate Votes Recorded at each Voting Place
Ōhāriu 33,Candidate Vote Details
,,"DAY, Paul Gregory George Stradbroke","HAMMOND, Jessica Jane","JENKINS, Martin","LIM, Patrick","O'CONNOR, Gregory Eamon","RODGERS, Stephanie","WILLIS, Nicola",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Churton Park,"Churton Park Community Centre, 75 Lakewood Avenue",17,34,3,2,227,39,401,723,0
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",8,16,0,0,48,25,101,198,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",129,399,22,40,3326,600,3504,8020,61
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",4,5,2,0,35,10,42,98,0
Kelburn,"Victoria University, The Hub, Kelburn Parade",2,34,0,1,132,85,52,306,0
Khandallah,"Khandallah Bowling Club, 24 Woodmancote Road",3,31,0,0,196,31,259,520,3
,"Khandallah Town Hall, 11 Ganges Road",12,67,0,2,452,63,540,1136,6
Linden,"Linden Social Centre, 10 Linden Avenue",3,8,0,0,50,6,70,137,2
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",0,0,0,0,0,1,5,6,0
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",0,4,0,0,32,27,12,75,0
Newlands,"Newlands Community Centre, 9 Batchelor Street",35,88,2,9,695,106,513,1448,14
Ngaio,"Cummings Library, 1 Ottawa Road",10,57,0,3,447,84,294,895,4
,"Ngaio Town Hall, 1 Ottawa Road",3,38,0,0,200,39,148,428,0
Paraparaumu,"Coastlands Mall, Countdown Foyer, Old State Highway 1",2,4,0,0,17,8,16,47,1
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",1,8,1,3,20,11,27,71,1
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",14,26,1,3,218,50,201,513,9
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",16,38,2,0,254,65,285,660,11
Rongotai,"Wellington International Airport - AIRSIDE, Stewart Duff Drive",0,1,1,0,14,5,7,28,0
Taken in Mana,"Hospital & Care Homes, Team 1",0,0,1,0,10,2,10,23,0
Taken in Ōhāriu,"Care Homes, Team 1",3,4,3,1,112,13,115,251,6
,"Pop-up Voting Services, Various Locations - Grenada North and Newlands",2,8,0,0,32,5,20,67,2
Tawa,"Tawa Community Centre, 5 Cambridge Street",39,86,8,9,790,118,616,1666,17
,"Tawa Union Church, 6 Elena Place",2,5,0,1,92,16,73,189,2
Wadestown,"St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",2,38,1,3,194,47,199,484,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",20,97,1,3,505,128,471,1225,4
,"He Herenga Kura, Level 4, 120 Featherston Street, access from Waring Taylor Street",1,14,0,0,51,18,71,155,0
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",10,73,0,4,343,135,258,823,2
,"St John's in the City, Church Centre Hall, (corner Dixon Street & Willis Street)",0,5,0,0,17,2,17,41,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",6,52,1,1,369,113,263,805,3
,"Wellington Museum, Von Kohorn Room, Queens Wharf, 3 Jervois Quay",1,28,0,0,64,15,60,168,0

Voting Places
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,0,1,0,3,0,2,6,0
Churton Park,"Amesbury School, 48 Amesbury Drive",9,22,3,1,161,28,320,544,2
,"Churton Park Community Centre, 75 Lakewood Avenue",4,19,1,6,165,46,247,488,4
,"Churton Park School, 90 Churton Drive",3,32,1,3,183,24,197,443,0
Crofton Downs,"Crofton Downs Primary School, 21 Chartwell Drive",9,48,2,0,216,43,163,481,2
Grenada Village,"Grenada Village Community Hall, 4 Mandeville Crescent",6,17,3,1,144,29,123,323,1
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",5,6,0,0,21,2,16,50,0
Johnsonville,"Johnsonville School, 8 Morgan Street",9,48,2,4,185,41,132,421,3
,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",24,85,3,7,572,128,491,1310,12
,"Onslow College, Burma Road",8,43,1,4,264,30,176,526,4
,"West Park School, 97 Broderick Road",5,38,0,5,134,18,97,297,5
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",0,0,0,0,3,0,7,10,0
Khandallah,"Cashmere Avenue School, 110 Cashmere Avenue",8,67,2,4,213,36,224,554,1
,"Khandallah Presbyterian Church, 33 Ganges Road",5,56,1,0,262,41,237,602,0
,"Khandallah School, Kauri Block, 20 Clark Street",2,26,0,0,106,7,73,214,0
,"Khandallah Town Hall, 11 Ganges Road",6,50,2,3,237,31,243,572,3
Linden,"Linden Social Centre, 10 Linden Avenue",8,6,1,1,55,10,48,129,0
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",1,0,0,0,2,1,2,6,0
Newlands,"Newlands Community Centre, 9 Batchelor Street",14,69,1,4,369,64,224,745,6
,"Newlands School, 200 Newlands Road",12,38,1,2,216,39,197,505,6
,"Ngā Hau e Whā o Paparārangi, 30 Ladbrooke Drive",3,26,0,1,139,11,64,244,2
Ngaio,"Ngaio School, 45 Abbott Street",1,34,0,2,124,15,52,228,0
,"Ngaio Town Hall, 1 Ottawa Road",10,120,4,2,558,105,302,1101,10
Paparangi,"Paparangi School, 59 Beazley Avenue",3,31,4,2,171,20,114,345,2
Paraparaumu,"Paraparaumu Bridge Club, 1 Brett Ambler Way",0,1,1,0,0,4,1,7,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",4,2,0,0,27,15,26,74,1
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",0,5,2,0,24,4,32,67,2
Tawa,"Greenacres School, 60 Raroa Terrace",1,3,0,0,11,4,17,36,0
,"Redwood School, 71A Redwood Avenue",10,47,1,6,197,38,204,503,2
,"Tawa Community Hall, 7 Cambridge Street",13,43,3,7,319,70,217,672,7
,"Tawa School, 6A Oxford Street",10,28,0,1,136,28,86,289,0
Thorndon,"Thorndon School Hall, 26 Murphy Street",1,7,2,0,16,6,18,50,0
,"Wellington Bridge Club, 17 Tinakori Road",1,7,0,0,29,6,25,68,0
Wadestown,"St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",10,58,1,4,277,65,179,594,3
,"Wadestown School, Side School, 72 Weld Street",3,22,0,0,85,27,48,185,1
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",0,8,0,0,23,10,18,59,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",1,4,0,1,23,8,14,51,1
Wilton,"Otari School Hall, 166 Wilton Road",4,14,0,0,78,22,16,134,0

,Overseas Special Votes Including Defence Force - Ōhāriu,46,147,4,21,693,319,730,1960,7
,Special Votes BEFORE Polling Day - Ōhāriu,71,223,11,15,1213,659,1314,3506,43
,Special Votes ON Polling Day - Ōhāriu,84,207,17,22,968,491,959,2748,45
,Voting places where less than 6 votes were taken,0,0,0,0,1,0,0,1,0

,Ōhāriu Total,759,2975,124,214,17565,4412,16305,42354,324

,Valid Candidate Votes plus Informal Candidate Votes,,42678

Electorate Candidate Valid Votes,Party,,,"O'CONNOR, Gregory Eamon - majority 1260"
"DAY, Paul Gregory George Stradbroke",ACT New Zealand,759,1.79
"HAMMOND, Jessica Jane",The Opportunities Party (TOP),2975,7.02
"JENKINS, Martin",Protect and Prosper New Zealand,124,0.29
"LIM, Patrick",Vision New Zealand,214,0.51
"O'CONNOR, Gregory Eamon",Labour Party,17565,41.47
"RODGERS, Stephanie",Green Party,4412,10.42
"WILLIS, Nicola",National Party,16305,38.50
