Party and Electorate Candidate Votes Recorded at each Voting Place
Maungakiekie 23,Candidate Vote Details
,,"BRIDGE, Phillip Stewart William","CHUAH, Eric Boon Leong","FLEMING, Gregory Wray","HOGG, Andrew","ONISHCHENKO, Margarita","RADHAKRISHNAN, Priyanca","SAMANT, Dr. Sapna",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Auckland University Students Association, 4 Alfred Street",1,0,20,2,0,42,19,84,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",0,0,40,1,4,40,6,91,1
Botany,"Botany Library, Level 1, Sunset Terrace",0,0,19,0,1,6,2,28,1
Burswood,"China Town, 262 Ti Rakau Drive",0,0,30,0,4,8,0,42,1
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",14,6,1762,65,107,814,207,2975,26
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",0,1,102,10,5,70,12,200,6
,"Ruapōtaka Marae, 106 Line Road",0,0,2,1,1,8,2,14,0
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",0,0,49,1,3,62,16,131,0
Greenlane,"Logan Campbell Retirement Village, Reception Building, 187 Campbell Road",2,1,584,14,28,249,64,942,7
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",0,0,17,1,0,21,12,51,3
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",0,1,28,2,2,26,6,65,1
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",0,0,19,0,2,15,5,41,1
,"St Therese Catholic Church, 463 Mount Albert Road",0,0,40,1,3,18,4,66,1
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",6,5,588,37,40,407,71,1154,14
,"Salvation Army Community Centre, 18 Allright Place",1,0,30,4,0,27,6,68,0
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",10,4,790,37,70,482,106,1499,26
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",4,0,390,15,29,230,49,717,5
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",7,2,440,7,42,149,55,702,9
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",3,0,131,4,8,56,22,224,2
Onehunga,"Onehunga Community Centre, 83 Church Street",22,8,1126,85,60,1245,199,2745,29
,"Oranga Community Centre, 52 Waitangi Road",4,8,383,15,33,462,79,984,20
One Tree Hill,"Cornwall Park Cricket Club, Cornwall Park",2,3,260,2,17,95,23,402,1
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",0,0,3,1,0,12,2,18,0
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",0,0,35,2,3,26,4,70,2
Panmure,"Mt Wellington Bowling Club, 3 Matapan Road",0,0,4,0,1,4,0,9,1
,"Panmure Library, 7-13 Pilkington Road",3,1,97,13,7,74,14,209,4
Parnell,"Church Unlimited, 2A Augustus Terrace",0,0,5,0,1,1,2,9,0
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",4,0,312,11,15,71,9,422,5
,"Remuera Baptist Church, 641 Remuera Road",0,0,27,0,3,10,2,42,1
,"Somervell Presbyterian Church Foyer, 497 Remuera Road",0,0,10,0,0,7,0,17,0
