Party and Electorate Candidate Votes Recorded at each Voting Place
Napier 26,Candidate Vote Details
,,"DICKEY, Julienne","HUTCHINSON, Mark","LANGFORD, Martin","MILEWSKI, Pawel Michal","NIMON, Katrina Margaret","SMITH, John Clive","TURNBULL, Laurie",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Clive,"Clive Community Hall, 162 Main Road",8,16,4,6,63,0,2,99,1
Gisborne,"HB Williams Memorial Library, 35 Peel Street",1,5,0,0,37,0,0,43,0
,"Treble Court, Peel Street",5,15,0,7,127,0,10,164,0
Greenmeadows,"Greenmeadows East Community Hall, 83 Tait Drive",35,273,12,38,523,4,40,925,8
Hastings,"Hastings Sports Centre, 503 Railway Road",9,20,0,3,42,0,4,78,0
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",6,13,1,5,73,0,2,100,1
Mahora,"St John's Presbyterian Church, Jireh Hall, 608 Frederick Street",8,6,1,3,27,0,4,49,0
Maraenui,"Roopu A Iwi Trust, 32 Bledisloe Road",2,31,0,0,9,1,2,45,3
Marewa,"Marewa Shopping Centre, Marewa Books, 118 Kennedy Road",171,1307,45,93,1651,15,159,3441,49
Napier South,"PAK'nSAVE Napier, 25 Munroe Street",306,1737,82,161,2831,16,176,5309,29
Taken in Napier,"Care Homes, Team 1",11,105,6,14,109,0,7,252,15
Taken in Tukituki,"Hawkes Bay Hospital Team, Team 3",1,21,0,2,27,0,5,56,1
,"Pop-up Voting Services - Team 1, Various Locations",14,29,4,5,54,0,4,110,0
Tamatea,"Tamatea Community Church, 1 York Avenue",62,749,34,62,1240,8,105,2260,18
Taradale,"Taradale Town Hall, 8 Meeanee Road",207,1873,107,151,4213,20,201,6772,60
Wairoa,"Tapuae Sports Club, 58 Hunterbrown Street",4,20,0,1,9,1,2,37,0
,"Wairoa Community Centre, 33 Marine Parade",7,23,5,1,31,0,5,72,0
,"Wairoa War Memorial Hall, 93 Queen Street",47,394,13,27,423,8,69,981,13

Voting Places
Ahuriri,"Port Ahuriri School, 15 Lever Street",31,199,29,25,403,5,19,711,1
Bayview,"King George Hall, 1 Hill Road",40,146,19,46,582,6,32,871,6
Bluff Hill,"Napier Central School, 32 Napier Terrace",50,224,17,14,372,1,24,702,1
Clive,"Clive Community Hall, 162 Main Road",2,8,1,3,15,1,1,31,3
Frasertown,"Frasertown School, 5 Russell Parade",3,16,5,2,79,0,6,111,1
Gisborne,"Makaraka School, 137 Main Road South",2,2,0,0,42,0,0,46,1
,"Treble Court, Peel Street",0,0,0,0,16,1,0,17,0
Greenmeadows,"Bay Baptist Church, 81 Gloucester Street",14,72,11,10,180,0,24,311,2
,"Mahoe Girl Guide Hall, 23 Auckland Road (corner Auckland Road & York Ave)",46,241,15,21,477,5,31,836,16
Hastings,"Hastings Sports Centre, 503 Railway Road",2,10,0,1,14,0,0,27,0
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",0,1,0,0,14,1,1,17,0
Kotemaori,"Kotemaori School, 4778 State Highway 2",0,9,0,4,15,1,2,31,1
Māhia,"Mokotahi Hall, 10 Ratau Street",7,37,4,3,65,0,7,123,1
,"Te Mahia School, 457 Mahia East Coast Road",3,13,2,0,17,0,6,41,1
Manutūkē,"Manutuke School, 59 Waingake Road",2,8,2,1,28,1,0,42,2
Maraenui,"Maraenui Bilingual School, 2A Lister Crescent",2,27,2,3,9,2,6,51,0
,"Richmond School, 13A Barnard Avenue",9,50,1,1,12,2,9,84,1
,"Roopu A Iwi Trust, 32 Bledisloe Road",5,52,2,1,16,2,9,87,1
Marewa,"Marewa School, 80D Latham Street",21,137,13,9,92,5,21,298,4
,"Marewa Shopping Centre, Marewa Books, 118 Kennedy Road",41,207,9,14,167,1,18,457,5
,"Napier Church of Christ Building, 19 Douglas McLean Avenue",11,69,9,9,96,2,7,203,4
Mātāwai,"Matawai School, 29 Raumati Street",1,12,0,4,54,0,12,83,0
Meeanee,"Meeanee Memorial Hall, 2 Gavin Black Street",10,57,11,16,209,1,4,308,4
Mohaka,"Te Kura o Mohaka, 1978 Mohaka Coast Road",3,3,2,1,7,0,0,16,0
Muriwai,"Muriwai School, 1684 Wharerata Road",3,8,1,4,15,0,2,33,1
