Party and Electorate Candidate Votes Recorded at each Voting Place
Ilam 15,Candidate Vote Details
,,"BRITNELL, Irinka","CAMPBELL, Hamish George","DAVIDSON, Michael John","MANJI, Raf","O'BRIEN, Christopher Michael","O'CONNELL, Juanita Rosa Maree","PALLETT, Sarah Jean",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,18,3,10,0,0,14,45,0
Avonhead,"Avonhead Shopping Centre, opposite Sushi Time, (corner Withells Road & Merrin Street)",25,2065,144,805,30,21,949,4039,20
,"Burnside Bowling Club, 330 Avonhead Road",5,535,32,214,6,11,207,1010,8
Belfast,"Belfast Salvation Army, 794 Main North Road",1,13,2,1,0,1,1,19,0
Bishopdale,"Ōrauwhata: Bishopdale Library and Community Centre, 13 Bishopdale Court",37,1422,146,596,33,29,1045,3308,26
Christchurch Central City,"Aldersgate Centre, 309 Durham Street North, Garden Entrance",1,31,8,24,0,0,9,73,1
,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",2,26,10,52,1,0,19,110,1
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",2,83,18,69,1,0,57,230,2
,"South City Shopping Centre, 555 Colombo Street",3,168,24,88,1,0,80,364,2
,"Te Wānanga o Aotearoa, 348 Manchester Street",0,10,2,8,1,1,5,27,1
,"Tūranga Library, 60 Cathedral Square",1,50,5,49,1,0,15,121,0
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",0,6,0,5,0,0,3,14,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",1,15,11,29,0,0,12,68,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",13,1839,65,588,4,14,469,2992,14
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",3,29,5,13,0,0,7,57,1
Hornby,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",6,101,11,51,1,2,73,245,1
Ilam,"Gurdwara Jagat Guru Nanak Sahib, 29C Kilmarnock Street",0,45,2,5,2,1,13,68,0
,"University of Canterbury, The Engineering Core, Creyke Road",7,269,53,428,7,2,119,885,6
,"University of Canterbury, The Undercroft, Ilam Road",9,307,171,754,5,3,298,1547,3
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",1,16,7,7,0,0,15,46,0
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",0,13,4,9,0,1,6,33,1
Merivale,"Merivale Mall, outside Sassys clothing store, 189 Papanui Road",2,742,47,260,1,7,135,1194,3
Papanui,"Northcity Church Hall, 95A Sawyers Arms Road",0,14,0,7,3,2,8,34,1
,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",18,678,106,316,15,13,465,1611,11
