Party and Electorate Candidate Votes Recorded at each Voting Place
Palmerston North 36,Candidate Vote Details
,,"BANSAL, Ankit","BEGG, Robert Douglas","GRANT, Dean","HARNETT, Michael Colin","TUIONO, Teanau","UTIKERE, Tangi William Edward",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Ashhurst,"River Church, 131 Cambridge Avenue",20,1,3,4,1,14,43,1
Feilding,"Feilding Civic Centre, 84 Aorangi Street",40,2,1,8,8,42,101,2
Highbury,"St Michael's Church Hall, 52 Pembroke Street",259,5,31,76,85,594,1050,31
Linton,"Linton Camp School, Puttick Road",0,0,1,0,3,4,8,0
Palmerston North Central,"Palmerston North Bridge Club, 3 Cook Street (corner Cook Street & Cuba Street)",884,14,34,165,88,854,2039,18
,"Te Manawa Museum, 326 Main Street",928,26,50,209,275,1283,2771,27
,"The Plaza Shopping Mall, Centre Court, 84 The Square",1325,35,76,275,343,1411,3465,63
,"The Salvation Army Hall, 431 Church Street",586,7,33,98,45,585,1354,18
Summerhill,"Summerhill Shopping Centre, Hilltop, 194 Ruapehu Drive",224,2,8,56,28,128,446,10
Taken in Palmerston North,"Hospital and Care Homes, Team 1",56,2,4,7,8,103,180,9
Turitea,"MUSA Student Centre Lounge, Massey University Concourse, University Avenue",146,7,3,21,121,256,554,5
Westbrook,"Pasifika Community Centre, Bill Brown Park, 21 Havelock Avenue",18,0,2,3,4,62,89,2
West End,"The Warehouse Palmerston North, 171 Church Street",1255,48,77,251,322,1634,3587,64
Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",80,0,3,12,8,33,136,1

Voting Places
Ashhurst,"River Church, 131 Cambridge Avenue",5,0,1,2,2,8,18,0
Awapuni,"Awapuni School Hall, 18 Rochester Street",131,2,24,35,47,222,461,4
,"Riverdale School Hall, 95 Slacks Road",231,11,19,66,48,305,680,7
Cloverlea,"Cloverlea School Hall, 55 Herbert Avenue",132,7,30,46,29,244,488,3
Feilding,"Feilding Civic Centre, 84 Aorangi Street",13,0,3,2,9,10,37,3
Highbury,"St Michael's Church Hall, 52 Pembroke Street",61,8,15,21,22,156,283,5
,"Te Kura o Wairau School Hall, formerly Somerset Crescent School, 45 Somerset Crescent",61,4,10,22,12,87,196,4
Hokowhitu,"College Street Normal School Hall, 402 College Street",223,5,11,63,38,267,607,13
,"Hokowhitu School Hall, 227 Albert Street",240,6,11,50,44,253,604,8
,"Manukura School, Dining Hall, 179 Centennial Drive",20,1,0,3,1,13,38,0
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",118,5,7,19,13,84,246,4
,"St Alban's Church, 339 Albert Street",197,3,20,32,28,154,434,6
,"Winchester School Hall, 552 Ruahine Street",179,5,15,37,46,238,520,4
Kelvin Grove,"Cornerstone Christian Education School Hall, 119 Mihaere Drive",538,9,36,95,61,424,1163,25
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",146,4,18,51,28,229,476,12
Linton,"Linton Camp School, Puttick Road",5,1,0,2,2,3,13,1
Longburn,"Longburn Community Hall, Ngaire Street",20,0,4,5,2,14,45,0
Milson,"Milson School Hall, 7 Rutland Place",270,13,33,74,40,319,749,14
,"St Peter's College, 1 Holdsworth Avenue",211,8,23,65,25,192,524,4
Newbury,"Newbury School, 906 Rangitikei Line",8,1,2,6,1,14,32,1
Palmerston North Central,"Central Normal School Hall, 201 Featherston Street",181,8,21,48,59,323,640,10
,"Palmerston North Bridge Club, 3 Cook Street (corner Cook Street & Cuba Street)",109,8,20,36,48,167,388,8
,"Te Manawa Museum, 326 Main Street",122,11,18,40,71,242,504,3
,"The Salvation Army Hall, 431 Church Street",79,6,8,16,22,85,216,2
Roslyn,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street",36,1,2,14,11,78,142,0
,"Rangiora Community Centre, 98-102 Rangiora Avenue",102,2,21,35,32,207,399,13
,"Roslyn School Hall, 38 Kipling Street",100,7,16,27,32,175,357,6
,"Ross Intermediate School Hall, 25 Freyberg Street",58,2,6,15,18,91,190,4
,"Russell Street School Hall, 25 Russell Street",209,3,23,45,33,259,572,12
,"Terrace End School Hall, 201 Ruahine Street",182,9,24,34,42,286,577,13
Summerhill,"Summerhill Shopping Centre, Hilltop, 194 Ruapehu Drive",15,0,2,8,3,18,46,1
Takaro,"Monrad Intermediate School Hall, 228 Botanical Road",88,5,10,33,42,137,315,9
Taken in Palmerston North,"Hospital and Care Homes, Team 1",7,0,1,1,3,6,18,0
Taonui,"Taonui School, 170 Waughs Road",2,0,1,2,1,2,8,0
Terrace End,"Parkland School Hall, 41 Parkland Crescent",176,7,19,54,38,263,557,8
Westbrook,"Pasifika Community Centre, Bill Brown Park, 21 Havelock Avenue",44,2,13,21,28,167,275,3
West End,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",79,1,0,19,12,107,218,5
,"West End School Hall, 395-427 Botanical Road",150,6,26,67,33,246,528,5
Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",41,3,2,10,8,37,101,0

,Overseas Special Votes Including Defence Force - Palmerston North,236,6,8,53,103,297,703,3
,Special Votes BEFORE Polling Day - Palmerston North,869,28,70,180,357,949,2453,68
,Special Votes ON Polling Day - Palmerston North,737,45,97,202,329,958,2368,66
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0

,Palmerston North Total,12252,402,1016,2841,3162,15339,35012,608

,Valid Candidate Votes plus Informal Candidate Votes,,35620

Electorate Candidate Valid Votes,Party,,,"UTIKERE, Tangi William Edward - majority 3087"
"BANSAL, Ankit",National Party,12252,34.99
"BEGG, Robert Douglas",Animal Justice Party ,402,1.15
"GRANT, Dean",New Zealand Loyal,1016,2.90
"HARNETT, Michael Colin",ACT New Zealand,2841,8.11
"TUIONO, Teanau",Green Party,3162,9.03
"UTIKERE, Tangi William Edward",Labour Party,15339,43.81
