Party and Electorate Candidate Votes Recorded at each Voting Place
Rangitata 40,Candidate Vote Details
,,"BALLANTYNE, Robert Andrew","CLARKSON, Michael David","GILCHRIST, Barbara","LUXTON, Jo-Anne Marie","MEAGER, James Rawiri","SHEARER, Wayne","THOMAS, Karl Raymond","Van AMERSFOORT, Adolf Pieter",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,0,0,3,3,0,0,0,6,0
Ashburton,"Ashburton Trust Event Centre, 211A Wills Street",123,4,83,773,1828,31,20,10,2872,25
,"EA Networks Centre, 20 River Terrace",33,2,35,208,608,12,5,3,906,8
,"Tinwald War Memorial Hall, 10 Graham Street (corner McMurdo Street)",71,6,34,378,1135,8,7,9,1648,9
,"Walnut Ave Pavillion, 66 Walnut Avenue",156,5,74,778,2118,31,11,11,3184,25
Christchurch Central City,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",0,0,3,8,6,0,1,0,18,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",1,0,4,13,14,0,1,0,33,0
Fairton,"Hakatere Marae, 439 Rakaia Highway (State Highway 1)",0,0,0,8,0,0,0,0,8,0
Geraldine,"The Academy of Performance & Arts, 79 Talbot Street",9,1,2,20,29,2,2,0,65,0
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",2,0,0,2,23,0,1,0,28,0
Methven,"Mt Hutt Memorial Hall, Function Room, 160 Main Street",23,5,24,143,561,9,2,1,768,1
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",0,0,4,16,36,0,0,0,56,1
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",0,0,1,0,6,0,0,0,7,0
Taken in Rangitata,"Hospital & Care Homes - Ashburton, Team 1",6,0,5,79,82,3,1,1,177,7
,"Hospital & Care Homes - Timaru, Team 1",15,2,17,192,193,1,2,1,423,8
Temuka,"St John Ambulance Rooms, 47 King Street",97,13,58,632,745,19,7,1,1572,20
Timaru,"Aorangi Park, Netball South Canterbury Lounge, 70 Morgans Road",52,3,42,412,763,14,9,3,1298,12
,"Ara Institute of Canterbury, Starz Restaurant, 32 Arthur Street",22,4,33,109,163,7,1,1,340,8
,"Muslim Community Centre, 9 Napier Street",0,0,4,3,1,0,0,0,8,0
,"Te Aitarakihi Multi-Cultural Centre, 50 Bridge Road",0,0,2,9,8,1,0,0,20,0
,"The Warehouse Timaru, 11 Victoria Street",152,16,167,1097,1192,39,27,3,2693,25
,"Timaru Indoor Bowls Stadium, opposite Northtown Mall, 20 Ranui Avenue",101,0,59,694,854,23,6,2,1739,15
