Party and Electorate Candidate Votes Recorded at each Voting Place
Rongotai 43,Candidate Vote Details
,,"EMET, Atom","FITZSIMONS, Fleur Ann","GENTER, Julie Anne","McDONALD, Donald S","McKEE, Nicole Raima","MILLS, Geoffrey John","MUTHU, Karunanidhi","ROA, Deanna Merania","WELSH, Bruce",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",0,15,33,1,0,2,3,0,0,54,0
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",1,132,168,3,8,11,82,2,2,409,2
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",0,24,3,1,3,3,18,1,0,53,0
Hataitai,"Hataitai Community House, 112 Waipapa Road",1,190,268,0,30,5,177,0,4,675,3
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",0,23,28,0,1,1,20,0,0,73,4
Island Bay,"Island Bay Presbyterian Church Lounge Hall, 88 The Parade",4,735,696,8,82,43,437,6,8,2019,17
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",0,8,7,0,1,0,3,0,0,19,0
Kelburn,"Victoria University, The Hub, Kelburn Parade",3,66,294,1,8,4,23,0,0,399,1
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",2,299,391,2,27,11,262,4,5,1003,7
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",16,968,645,1,62,65,553,8,18,2336,38
,"Wellington Islamic Centre, 7-11 Queens Drive",2,150,176,1,5,11,94,0,6,445,6
Miramar,"Miramar & Maupuia Community Centre, 27 Chelsea Street",19,1267,941,5,113,87,1282,13,28,3755,46
Mornington,"Vogelmorn Hall, 13 Vennell Street",0,47,79,0,3,0,11,0,0,140,1
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",1,22,126,0,2,1,17,1,0,170,1
Mt Victoria,"St Joseph's Church, Bill Pearce Room, 154-156 Brougham Street",0,3,7,0,0,0,2,0,0,12,0
Newtown,"Newtown Community Hall, 71 Daniell Street",0,120,137,3,6,9,33,0,1,309,2
,"Newtown School Hall, (corner Riddiford Street & Mein Street)",0,43,85,0,5,3,16,0,0,152,2
,"New World Precinct, next to New World, 199 Riddiford Street",7,1108,1366,11,61,59,436,3,10,3061,59
,"Riddiford Corner Shop, 15 Riddiford Street",0,39,71,0,2,1,20,0,0,133,0
,"Wellington Regional Hospital, Main Concourse, Ground Floor, Adelaide Road",2,162,128,1,8,5,64,1,5,376,5
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",0,33,11,0,3,0,22,0,1,70,0
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",0,26,10,0,2,2,19,1,0,60,1
Rongotai,"Wellington International Airport - AIRSIDE, Stewart Duff Drive",0,37,25,0,4,5,24,0,2,97,1
Strathmore Park,"Strathmore Park Community Centre, 108 Strathmore Avenue",1,52,39,0,2,2,28,1,3,128,2
Taken in Rongotai,"Care Homes, Team 2",3,108,28,0,4,18,51,0,3,215,6
,"Hospitals & Hospice Team, Team 1",0,3,3,1,1,0,3,0,1,12,0
,"Pop-up Voting Services, Various locations - Chatham Islands",0,16,5,0,6,10,13,1,0,51,0
Taken in Rongotai Electorate,"Pop-up Voting Services, Various Locations",2,108,76,0,5,6,25,1,1,224,3
Te Aro,"Voting Team - DCM and Soup Kitchen, 2 Lukes Lane",0,2,7,0,0,0,0,0,0,9,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",2,178,288,2,16,1,146,0,2,635,5
,"He Herenga Kura, Level 4, 120 Featherston Street, access from Waring Taylor Street",1,40,85,0,7,0,47,0,1,181,1
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",3,293,662,1,12,16,192,2,1,1182,7
,"St John's in the City, Church Centre Hall, (corner Dixon Street & Willis Street)",0,6,25,0,2,0,20,0,1,54,0
,"Sustainability Trust Wellington, 2 Forresters Lane",1,28,72,0,4,0,16,0,1,122,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",5,204,308,0,26,10,110,0,1,664,0
,"Wellington Museum, Von Kohorn Room, Queens Wharf, 3 Jervois Quay",1,50,87,0,1,2,38,0,1,180,0

Voting Places
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",1,3,16,0,0,0,2,0,1,23,1
Berhampore,"Berhampore School, Room One, 105 Britomart Street",1,109,223,1,10,5,39,0,5,393,5
,"South Wellington Intermediate School Hall, 165 Rintoul Street",2,77,105,0,0,5,35,2,1,227,1
Breaker Bay,"Breaker Bay Hall, 150 Breaker Bay Road",0,50,31,0,3,3,18,1,1,107,0
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",1,51,60,1,0,3,14,0,2,132,2
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",0,22,3,1,3,8,16,0,1,54,2
Hataitai,"Hataitai Community House, 112 Waipapa Road",2,91,147,0,6,3,63,0,1,313,1
,"Hataitai School Hall, 2 Arawa Road",4,197,235,2,23,13,154,0,8,636,4
,"Kilbirnie School Hall, 72 Hamilton Road",0,133,139,3,17,3,92,0,1,388,2
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",1,5,3,0,1,0,5,0,1,16,0
Island Bay,"Island Bay Presbyterian Church Lounge Hall, 88 The Parade",2,288,246,3,28,12,173,1,10,763,7
,"Island Bay School Hall, 6 Thames Street",5,200,194,0,9,3,82,1,3,497,5
,"St Hilda's Church Parish Centre, 311 The Parade",6,211,169,2,24,15,116,1,6,550,5
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",2,134,103,1,12,8,72,1,4,337,5
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",8,172,173,4,18,21,94,0,8,498,9
,"St Patrick's College, Staff Room, 581 Evans Bay Parade",1,41,49,0,1,2,29,0,1,124,0
,"Wellington Islamic Centre, 7-11 Queens Drive",1,108,115,1,4,2,41,0,7,279,0
Kingston,"Capital Montessori School, Kahikatea Room, 14 Camrose Grove",1,44,49,0,7,6,41,0,2,150,1
Lyall Bay,"Lyall Bay School Hall, 2 Freyberg Street",2,235,239,0,13,17,108,1,13,628,7
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",0,2,3,0,0,0,3,0,0,8,0
Miramar,"Miramar Central School Hall, 38 Park Road",3,287,179,2,22,13,172,4,7,689,11
,"Miramar Christian School, Room One, 41 Camperdown Road",3,126,147,5,10,10,110,0,11,422,4
,"Miramar & Maupuia Community Centre, 27 Chelsea Street",7,351,219,4,33,34,290,3,8,949,13
,"Miramar Playcentre, 23 Crawford Green",0,115,87,0,6,9,70,0,0,287,2
Mornington,"Ridgway School Hall, 120 Mornington Road",2,154,123,0,12,12,54,0,1,358,5
,"Vogelmorn Hall, 13 Vennell Street",0,40,99,0,0,4,17,0,0,160,2
Mt Cook,"Mt Cook School, 160 Tory Street",0,14,22,0,1,1,4,0,2,44,0
Mt Victoria,"Clyde Quay School, 27 Elizabeth Street",0,10,12,0,1,0,7,0,0,30,1
,"St Joseph's Church, Bill Pearce Room, 154-156 Brougham Street",0,3,12,0,0,0,3,0,0,18,0
Newtown,"Newtown Community Hall, 71 Daniell Street",1,94,119,1,3,6,32,0,0,256,6
,"Newtown School Hall, (corner Riddiford Street & Mein Street)",3,123,199,1,6,6,50,0,0,388,3
,"New World Precinct, next to New World, 199 Riddiford Street",1,195,292,3,11,17,88,2,5,614,8
,"Riddiford Corner Shop, 15 Riddiford Street",0,20,31,1,4,0,10,1,0,67,3
