Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Claris,"Aotea Council Buildings, 75 Hector Sanderson Road",1,1,2,5,0,9,0
East Coast Bays
Albany,"Albany Community Hub, 575 Albany Highway",7,3,11,5,0,26,0
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",17,13,39,24,5,98,5
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",33,3,37,19,4,96,0
Browns Bay,"Heart of the Bays, 2 Glen Road",27,5,13,11,3,59,3
Long Bay,"Long Bay College, 20 Ashley Avenue",4,1,5,5,0,15,2
Mairangi Bay,"Rangitoto College, 564 East Coast Road",2,2,7,3,0,14,0
Torbay,"St Mary by the Sea Church, 168 Deep Creek Road",6,1,11,6,2,26,0
Kaipara ki Mahurangi
Helensville,"Magnify Church, 118 Commercial Road",50,8,49,19,1,127,2
Huapai,"St Patrick's Church, 380 Main Road",13,3,13,7,1,37,1
Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",19,8,22,7,2,58,2
Kumeū,"Kumeū Community Centre, 35 Access Road",8,3,12,10,3,36,5
Makarau,"Te Aroha Pā Marae, 2558 Kaipara Coast Highway",3,0,7,1,0,11,0
Matakana,"Matakana Community Hall, 43 Matakana Valley Road",11,1,10,3,3,28,5
Riverhead,"Riverhead School Hall, 21 School Road",2,2,3,0,0,7,0
Snells Beach,"Mahurangi East Tennis Club, 296 Mahurangi East Road",8,0,4,4,0,16,3
Taken in Kaipara ki Mahurangi,"Defence Force Base, RNZAF Base Airport Drive",5,1,5,0,0,11,1
Te Hana,"Te Hana Te Ao Marama Māori Cultural Centre, 311 State Highway 1",9,1,11,1,0,22,0
Waimauku,"Waimauku War Memorial Hall, 24 Waimauku Station Road",13,3,18,5,2,41,4
Warkworth,"PAK'nSAVE Warkworth, Hudson Road (corner State Highway 1)",25,7,23,20,3,78,7
,"Warkworth Masonic Hall, 3 Baxter Street",22,3,21,8,2,56,4
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",38,7,29,10,6,90,4
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",20,8,35,16,0,79,6
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",73,15,102,45,3,238,9
Kelston
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",5,2,9,0,0,16,0
Glen Eden,"Methodist Centre of the West Church Hall, 302 West Coast Road",2,1,5,1,1,10,0
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",16,2,111,6,0,135,0
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",24,1,40,12,2,79,0
New Lynn
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",4,3,7,3,0,17,0
North Shore
Devonport,"Devonport Ferry Terminal, Queens Parade",12,2,18,8,1,41,0
,"North Shore Rugby Club, Cambridge Terrace",14,4,22,9,1,50,2
Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",4,1,1,2,0,8,0
Milford,"Milford Shopping Centre, 24 Milford Road",35,7,30,15,3,90,4
,"North Shore Hospital, Main Entrance Foyer, Shakespeare Road",21,1,20,5,4,51,3
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",19,2,21,8,1,51,2
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",23,3,33,16,6,81,3
Taken in North Shore,"Hospital and Care Homes, Team 1",5,0,1,0,0,6,0
Northcote
Beach Haven,"Beach Haven Community House, 130 Beach Haven Road",16,0,15,5,0,36,0
,"Maria Assumpta Parish Hall, 198 Beach Haven Road",22,2,37,8,2,71,2
Birkenhead,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",62,12,57,21,6,158,8
,"Zion Hill Methodist Church Hall, 237 Onewa Road",4,1,10,1,0,16,0
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",104,19,102,47,7,279,5
Northcote,"Auckland University of Technology, North Campus, AS Building, Gate 1, 90 Akoranga Drive",2,0,8,3,0,13,0
,"Northcote Citizens Centre Hall, 1 Ernie Mays Street (corner Ernie Mays Street & College Road)",17,1,13,3,2,36,1
,"St Luke's Methodist Church, Ground Floor, 16 Greenslade Crescent",1,1,5,1,1,9,0
Northcote Point,"Northcote Point Senior Citizens Association Hall, 119 Queen Street",1,0,3,2,0,6,0
Northland
Coopers Beach,"St John Ambulance Hall, 7 St Johns Road",72,9,54,19,1,155,6
Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",100,15,90,26,4,235,13
,"Holy Trinity Anglican Parish Hall, 58 Hokianga Road",58,13,55,9,5,140,1
Kaeo,"Whangaroa Memorial Hall, Leigh Street (State Highway 10)",83,9,57,22,2,173,11
Kaikohe,"Kaikohe Baptist Church, 32 Broadway",196,19,143,51,1,410,12
,"Kaikohe War Memorial Hall, Supper Room, Memorial Avenue",224,21,159,59,5,468,16
,"Te Wā Kaikohe, 115B Broadway",157,19,192,72,4,444,11
Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",145,23,171,45,1,385,11
,"PAK'nSAVE Kaitaia, 111 North Road",241,37,213,47,3,541,12
,"Te Ahu, (corner South Road & Matthews Avenue)",197,35,160,50,2,444,15
Kawakawa,"Te Hononga Work Room, Hundertwasser Memorial Park, Gillies Street",270,13,154,91,2,530,5
Kerikeri,"Cornerstone Whare Karakia O Manako, 144 Kerikeri Road",39,9,40,23,2,113,5
,"Kerikeri Baptist Church, 41 Hobson Avenue",90,13,64,37,3,207,10
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",31,9,28,13,5,86,4
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",27,7,11,7,1,53,0
Paihia,"Paihia War Memorial & Community Hall, 8 Williams Road",67,14,47,29,3,160,8
Rawene,"Rawene Town Hall, 9 Parnell Street",75,13,40,26,0,154,5
Russell,"Anglican Parish Hall, Church Street",38,3,11,10,0,62,4
Taken in Northland,"Care Homes, Team 1",29,4,9,3,0,45,0
,"Pop-up Voting Services, Various Locations - Far North",79,10,90,19,2,200,9
,"Pop-up Voting Services, Various Locations - Hokianga",87,17,37,36,1,178,1
Waipapa,"Baysport Pavilion, Harmony Lane",23,4,10,13,0,50,1
Te Atatū
Henderson,"Sturges West Community House, 58 Summerland Drive",25,2,46,8,2,83,2
