Party and Electorate Candidate Votes Recorded at each Voting Place
Kelston 19,Candidate Vote Details
,,"CURRAN, Jacob Kevin","DEGIA-PALA, Anne","GHAHRAMAN, Golriz","HAREMA, Jacqueline Hokimate","HOOD, Alister","MANUKIA, Ruby","SEPULONI, Carmel Jean","TILDSLEY, Leao",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Auckland University Students Association, 4 Alfred Street",3,1,17,1,0,11,26,0,59,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",4,0,20,0,0,29,23,1,77,0
Avondale,"Avondale Community Centre, 99 Rosebank Road",54,47,178,23,14,384,795,9,1504,29
,"St Jude's Anglican Church Hall, 27 St Jude Street",8,2,7,1,0,16,30,1,65,4
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",5,0,3,1,0,28,19,0,56,2
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",67,39,87,13,10,559,574,25,1374,24
Glen Eden,"Methodist Centre of the West Church Hall, 302 West Coast Road",72,48,114,22,20,367,467,15,1125,14
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",84,91,177,19,10,634,882,35,1932,11
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",23,8,31,17,1,84,150,1,315,3
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",2,4,10,2,0,19,42,0,79,2
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",45,25,54,17,5,161,290,11,608,8
,"Te Pai Centre, 31-35 Te Pai Place",5,10,9,3,0,31,32,0,90,0
,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",3,4,8,2,0,35,76,0,128,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",72,34,112,16,5,347,479,11,1076,29
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",49,34,80,15,4,285,414,17,898,18
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",7,0,6,1,0,13,21,0,48,0
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",1,1,3,1,0,14,12,0,32,2
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",111,66,211,18,9,824,936,13,2188,45
,"Pan African Community Centre, 3131 Great North Road",16,9,27,3,0,102,84,4,245,2
,"Suburbs Rugby Football Club, 130 Portage Road",4,2,2,1,1,28,25,2,65,0
,"The Salvation Army Church Hall, 32 Delta Avenue",13,9,14,6,2,71,112,4,231,5
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",5,0,11,2,0,55,25,0,98,2
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,0,3,3,0,21,16,0,44,0
Oratia,"Hoani Waititi Marae, 451 West Coast Road",0,1,3,0,0,3,13,0,20,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",2,3,18,2,1,16,33,0,75,1
Rānui,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",1,1,3,1,0,6,10,0,22,1
Te Atatū Peninsula,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",4,0,7,1,0,25,14,1,52,5
