Party and Electorate Candidate Votes Recorded at each Voting Place
Taupō 51,Candidate Vote Details
,,"AL-BUSTANJI, Ala' Mahmoud Salameh","COZENS, Zane","O'CONNOR PATENA, George","PEHI, Natalie Lynette","UPSTON, Louise","WILSON, Gordon Ross",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Cambridge,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",429,136,239,101,2329,35,3269,43
,"Hautapu Rugby Club, 211 Victoria Street",226,82,100,40,1164,15,1627,17
,"Raleigh Street Christian Centre, 24 Raleigh Street",329,86,159,72,1404,27,2077,20
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",8,3,3,0,25,3,42,0
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",3,0,3,0,12,0,18,0
Hamilton Central,"Centre Place, 501 Victoria Street",10,4,15,4,89,1,123,0
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",0,0,2,1,4,0,7,0
,"The Verandah, Lake Domain Drive",4,1,0,0,15,0,20,0
Hillcrest,"University of Waikato, Village Green, Gate 1, Knighton Road",18,3,20,1,34,1,77,1
Matamata,"Matamata St John Hall, (corner Ngaio Street & Rawhiti Avenue)",17,5,2,8,44,2,78,1
Putāruru,"Putaruru Bridge Club, 3 Overdale Street",334,66,76,134,850,42,1502,29
Reporoa,"Reporoa Settlers Hall, 3834 Broadlands Road",6,2,0,1,12,1,22,0
Rotorua,"Rotorua Central Mall, Centre Court, 1170 Amohau Street",7,3,4,1,19,4,38,0
,"Te Manawa Shop, former Stevens, 1241 Tutanekai Street",2,0,0,1,6,0,9,0
Taken in Hamilton West,"Care Homes, Team 1",6,0,1,0,5,0,12,0
Taken in Taupō,"Care Homes Team, Team 1",25,0,3,4,57,0,89,3
,"Care Homes Team, Team 2",37,4,2,5,69,3,120,5
Taupō,"Taupō Town Centre, Retail Space, 40 Horomātangi Street",525,233,204,115,2222,62,3361,28
,"Taupō Town Centre, Retail Space, 85 Tongariro Street",275,138,113,50,1332,33,1941,12
,"Unit 6, opposite the Hospice Shop, 29 Totara Street",572,260,197,177,2322,73,3601,37
Te Awamutu,"PAK'nSAVE Te Awamutu, 670 Cambridge Road",26,5,6,8,75,0,120,1
,"Te Awamutu Scout Hall, 11 Scout Lane",4,4,1,3,31,0,43,0
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",7,7,4,1,47,0,66,1
Tokoroa,"St John Ambulance Hall, 62 Logan Street",1138,93,217,268,1021,136,2873,37
Tūrangi,"Tongariro Senior Citizens Hall, 83 The Town Centre",220,149,71,52,372,8,872,14

Voting Places
Acacia Bay,"Acacia Bay Community Hall, 1 Wakeman Road",59,42,42,21,349,15,528,7
Arapuni,"Arapuni Community Hall, 47 Arapuni Road",21,9,14,11,62,9,126,2
Ātiamuri,"Upper Atiamuri Hall, 223 State Highway 30",7,3,2,5,44,0,61,0
Broadlands,"Broadlands School Hall, 2986 Broadlands Road",1,2,5,3,14,3,28,2
Cambridge,"Cambridge East School, (corner Bowen Street & Williams Street)",99,25,59,18,269,17,487,7
,"Cambridge High School, 25 Swayne Road",67,26,34,17,338,20,502,0
