Party and Electorate Candidate Votes Recorded at each Voting Place
Taieri 47,Candidate Vote Details
,,"DONG, Changrong","FRENCH, Matthew","GARDNER, Robert James McKinlay","LEARY, Ingrid","MEFFAN, Burto Bruno","PATTERSON, Mark","ROBERTS, Frederick","WEBBER, David","WILLIS, Scott Matthew",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Andersons Bay,"Edgar Centre, 116 Portsmouth Drive",0,102,3,110,9,9,3,1,32,269,1
Balclutha,"Te Pou Ō Mata-au Clutha District War Memorial & Community Centre, 6 Clyde Street",12,777,5,510,66,208,31,7,58,1674,16
Caversham,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",0,311,16,577,28,71,16,3,101,1123,11
,"Pacific Trust Otago, 350 South Road",0,19,3,67,1,4,1,0,14,109,1
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",0,6,0,8,0,0,1,0,2,17,0
,"Exchange Area Voting Place, 1 Queens Gardens",1,181,4,178,24,15,3,2,82,490,8
,"Meridian Mall, Hanover Street entrance, 285 George Street",5,389,10,507,36,63,13,4,153,1180,7
,"Municipal Chambers, The Octagon",3,213,4,284,24,27,3,2,117,677,6
,"Te Hou Ora Whānau Services, 78 Carroll Street",0,2,0,4,0,0,0,0,2,8,0
,"The Salvation Army, 575 Princes Street",0,12,0,12,2,1,0,0,7,34,0
,"Unipol Recreation Services, University Plaza Building, 130 Anzac Avenue",0,12,0,9,0,0,0,0,8,29,0
Clinton,"Clinton Community Centre, 2 Skerry Street",0,9,0,5,0,1,0,0,0,15,1
Corstorphine,"Caversham Harrier & Athletic Clubrooms, 201 Middleton Road",1,33,0,67,7,8,2,0,6,124,0
Dunedin North,"Al Huda Mosque, 21 Clyde Street",0,7,0,11,1,0,0,0,2,21,0
,"Otago Polytechnic Te Pūkenga, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",0,55,1,91,12,8,1,1,58,227,2
,"Te Huka Mātauraka, The Māori Centre, 519 Castle Street North",0,3,0,5,0,0,0,0,1,9,0
,"University of Otago, ISB Link, 65 Albany Street",3,103,7,218,12,7,2,1,141,494,1
,"University of Otago, St David's Complex, St David Street",0,55,1,107,5,10,1,1,52,232,2
Fairfield,"Fairfield Community Hall, 10 Fairplay Street",1,140,2,137,18,24,3,2,21,348,0
Green Island,"Green Island Civic Hall, 5 Howden Street",7,667,23,866,72,153,24,7,136,1955,24
Lawrence,"St John's Rooms, 10 Ross Place",0,38,0,29,2,13,0,1,6,89,0
Lee Stream,"Lee Stream School, 2518 Clarks Junction-Lee Stream Road (State Highway 87)",0,15,0,0,1,1,0,0,0,17,0
Milburn,"Otago Correctional Facility Milton, 62 Narrowdale Road",0,0,0,10,0,0,0,0,0,10,1
Milton,"Milton Coronation Hall, Chamber Room, 93 Union Street",3,368,3,226,36,131,12,1,26,806,6
Mornington,"Mornington School Hall, 34 Elgin Road",0,1,0,1,4,0,0,0,4,10,0
Mosgiel,"Chatsford Events Centre, Elmwood Drive",1,148,2,159,7,17,2,0,21,357,7
,"Former The Warehouse Building, 161 Gordon Road",4,2454,34,2226,187,352,36,11,243,5547,53
Outram,"Outram War Memorial Hall, 41 Holyhead Street",1,295,2,101,30,36,17,0,15,497,4
South Dunedin,"Nations Church, 334 King Edward Street",7,424,9,967,45,113,23,8,134,1730,26
,"The Warehouse South Dunedin, 64 Hillside Road",8,566,17,1146,68,110,17,3,242,2177,36
Taken in Taieri,"Care Homes, Team 1",1,55,0,97,3,3,1,0,6,166,8
,"Care Homes, Team 2",0,33,1,89,3,16,0,0,1,143,3
Waitahuna,"Waitahuna School, 18 Sunderland Street",0,20,0,3,4,12,1,0,0,40,0
Warepa,"Warepa School, 383 Old Port Road",0,6,0,0,1,0,0,0,0,7,0

Voting Places
Abbotsford,"Abbotsford School Hall, 72 North Taieri Road",0,170,2,123,19,26,4,3,33,380,2
Alexandra,"Alexandra Primary School, Ventry Street",0,3,1,3,0,0,0,0,2,9,0
Allanton,"Allanton Hall, 13 Douglas Street",1,98,1,57,10,18,3,0,7,195,2
Andersons Bay,"Andersons Bay School, 92 Jeffery Street",2,61,2,124,2,11,2,0,43,247,4
,"Edgar Centre, 116 Portsmouth Drive",3,88,2,96,14,17,6,0,32,258,1
Balclutha,"Balclutha Primary School Hall, 21 Lanark Street",3,75,3,78,13,26,7,0,3,208,5
,"Rosebank School Hall, 43 Frances Street",2,159,2,80,17,48,8,2,9,327,5
,"Te Pou Ō Mata-au Clutha District War Memorial & Community Centre, 6 Clyde Street",5,278,2,160,33,87,25,2,25,617,5
Brighton,"Big Rock School, 2 Bath Street",1,99,5,121,15,20,8,0,41,310,5
Calton Hill,"Dunedin AIM Church Hall, 6 Columba Avenue",0,11,0,54,0,7,4,3,13,92,4
Caversham,"Carisbrook School, 217 South Road",2,54,3,119,7,23,4,0,44,256,2
,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",0,62,6,163,7,17,8,1,39,303,3
,"Pacific Trust Otago, 350 South Road",0,22,1,35,2,4,3,0,9,76,2
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",1,21,0,36,4,2,2,1,8,75,0
,"Exchange Area Voting Place, 1 Queens Gardens",0,17,2,23,0,0,1,0,9,52,0
,"Meridian Mall, Hanover Street entrance, 285 George Street",1,49,0,87,6,7,2,2,40,194,2
