Party and Electorate Candidate Votes Recorded at each Voting Place
Waitaki 59,Candidate Vote Details
,,"ANDERSON, Miles John","BAILEY, Raymond Samuel","BEAMISH, Sean Michael","HANSEN, Pleasance","ODERING, Anthony Vickers","REILLE, Ethan","SHAND, Daniel","SMALL, Roger",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Alexandra,"St Enoch's Church Lounge, 12 Centennial Avenue",148,4,12,25,3,42,0,1,235,2
Arrowtown,"Arrowtown Athenaeum Hall, 33 Buckingham Street",10,0,1,3,0,2,0,0,16,0
Cattle Creek,"Cattle Creek Hall, 3321 Hakataramea Valley Road",32,0,1,0,0,0,0,4,37,0
Central Dunedin,"Meridian Mall, Hanover Street entrance, 285 George Street",49,1,9,9,1,23,1,2,95,1
,"Municipal Chambers, The Octagon",10,0,0,2,0,5,0,0,17,0
Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",1670,25,235,189,106,512,34,24,2795,23
Dunedin North,"Otago Polytechnic Te Pūkenga, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",16,1,1,6,0,10,0,1,35,0
,"University of Otago, ISB Link, 65 Albany Street",35,0,3,20,0,34,1,2,95,0
Fairlie,"Mackenzie Community Centre Stadium, 53 Main Street, access from Gall Street",273,11,29,23,25,61,2,11,435,6
Frankton,"Queenstown Events Centre, 33 Joe O'Connell Drive",6,0,0,1,0,0,0,0,7,1
,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",16,0,2,1,0,4,1,0,24,1
Geraldine,"The Academy of Performance & Arts, 79 Talbot Street",686,24,60,107,82,334,10,18,1321,15
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",24,0,1,1,0,3,0,1,30,0
Makarora,"Makarora School, 31 Rata Road",10,0,1,0,1,0,1,0,13,0
Mount Cook,"Mount Cook Community Hall, (corner Sebastapol Drive & Bowen Drive)",3,0,0,1,2,6,0,1,13,0
Oamaru,"Oamaru Central, former Noel Leeming Building, 145 Thames St",1837,35,154,144,170,1602,23,97,4062,40
,"Oamaru Tongan Methodist Parish, Wesley Centennial Hall, 22 Eden Street",211,9,21,17,25,180,6,8,477,4
,"St Mary's Anglican Church Hall, 410 Thames Highway",314,21,27,23,33,293,6,17,734,13
Oturehua,"Oturehua Community Hall, 3353 Ida Valley-Omakau Road",40,1,4,5,0,8,0,0,58,0
Palmerston,"Waihemo Service Centre, 54 Tiverton Street",181,7,28,19,36,134,5,8,418,8
Queenstown,"Queenstown Memorial Centre, 1 Memorial Street",10,0,1,1,0,1,1,0,14,0
Ranfurly,"Ranfurly Public Hall, 3 Northland Street",299,2,27,17,10,74,3,3,435,5
South Dunedin,"The Warehouse South Dunedin, 64 Hillside Road",17,1,3,3,4,5,0,1,34,1
Taken in Oamaru,"Care Homes Team - Oamaru, Team 2",99,0,5,5,8,74,1,4,196,11
Taken in Rangitata,"Hospital & Care Homes - Timaru, Team 1",9,0,2,0,2,3,0,0,16,2
Taken in Waitaki,"Care Homes Team - Central Otago, Team 3",33,0,10,4,5,20,1,0,73,6
,"Hospital and Care Homes, Team 1",43,0,5,4,10,31,1,1,95,7
Temuka,"St John Ambulance Rooms, 47 King Street",83,1,7,10,4,15,0,3,123,3
Timaru,"Aorangi Park, Netball South Canterbury Lounge, 70 Morgans Road",72,0,4,3,2,14,0,5,100,0
,"Ara Institute of Canterbury, Starz Restaurant, 32 Arthur Street",46,5,1,2,8,14,0,4,80,0
,"The Warehouse Timaru, 11 Victoria Street",285,12,34,28,26,111,1,6,503,2
,"Timaru Indoor Bowls Stadium, opposite Northtown Mall, 20 Ranui Avenue",85,1,5,4,10,24,0,1,130,1
,"Timaru Library, 56 Sophia Street",260,5,22,44,13,72,1,8,425,3
Twizel,"Twizel Events Centre, Market Place",268,12,31,58,26,141,4,11,551,6
Waikouaiti,"East Otago Events Centre, 215 Main Road",14,3,3,4,4,10,0,0,38,0
Waimate,"Waimate Event Centre, 15 Paul Street",669,37,70,79,125,444,1,95,1520,19
Waitohi,"Centennial Hall, 834 Waitohi-Temuka Road",32,0,4,1,0,2,0,0,39,0
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",2508,70,169,550,79,883,94,33,4386,27
,"Te Kura O Take Kārara, 3 Grace Wright Drive, Three Parks",166,5,15,29,6,45,9,2,277,3
Washdyke,"209 Hilton Meeting Room, by Robert Harris Cafe, 209 Hilton Highway",88,2,9,4,6,19,0,0,128,0

Voting Places
Albury,"Albury Community Hall, 6 Duke Street",84,9,13,4,5,15,0,2,132,0
Alexandra,"Alexandra Primary School, Ventry Street",19,0,4,4,1,1,1,0,30,0
,"St Gerard's Parish Hall, 2 Station Street, Tarbert Street entrance",15,0,2,4,1,2,0,0,24,1
Ardgowan,"Ardgowan School, 286 Ardgowan Road",85,4,9,2,3,19,1,4,127,3
Bannockburn,"Bannockburn Community Church, 33 Hall Road",104,13,15,19,13,38,5,1,208,3
Cave,"Cave Hall, 28 Elizabeth Street",94,0,6,4,6,13,0,6,129,0
Central Dunedin,"Meridian Mall, Hanover Street entrance, 285 George Street",11,0,1,4,1,7,0,0,24,0
,"Municipal Chambers, The Octagon",3,0,0,2,1,2,0,0,8,0
Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",306,23,65,52,26,133,21,11,637,5
,"Cromwell Primary School Hall, 61 Molyneux Avenue, access from Monaghan Street",130,5,14,30,9,64,7,4,263,3
,"Cromwell Sports Club, 7 Barry Avenue",265,18,43,33,16,87,11,8,481,9
Dunback,"Dunback Coronation Hall, 1238 Dunback-Morrisons Road",90,3,8,5,5,17,0,3,131,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",9,0,1,0,1,4,1,0,16,1
Duntroon,"Duntroon Primary School, 1 Livingstone Street",107,6,12,5,13,29,2,12,186,0
Fairlie,"Fairlie Primary School, 21 School Road",350,21,40,22,12,48,5,6,504,4
Fairview,"Barton Rural School Hall, 462 Fairview Road",168,4,9,10,9,30,0,8,238,2
Five Forks,"Five Forks Hall, 1399 Kakanui Valley Road",70,0,6,3,0,8,0,7,94,1
Frankton,"Queenstown Events Centre, 33 Joe O'Connell Drive",10,2,2,4,0,3,0,0,21,0
,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",8,0,2,3,0,3,0,0,16,0
Geraldine,"Geraldine High School Library, 85 McKenzie Street",229,7,17,20,12,112,6,3,406,3
,"Geraldine Primary School Hall, 73 Wilson Street",301,6,28,22,30,117,1,10,515,6
,"The Academy of Performance & Arts, 79 Talbot Street",117,12,18,31,17,48,3,4,250,2
Glenavy,"Glenavy School, 15 Ruane Street",98,4,15,1,11,40,4,17,190,2
Hampden,"Hampden Memorial Hall, 25/27 London Street",87,11,16,13,25,48,2,12,214,1
Herbert,"Herbert Public Hall, 13 Tain Street",73,5,9,7,5,31,1,16,147,0
Kakanui,"Kakanui Primary School, 5 Fyfe Place",72,3,12,13,13,58,2,15,188,3
Kingsdown,"Normanby-Kingsdown Hall, 39 Normanby Road",68,3,1,3,3,19,0,3,100,1
Kurow,"Memorial Hall, 49 Gordon Street",249,9,15,11,20,50,1,19,374,4
Lake Hāwea,"Lake Hāwea Community Centre, 28 Myra Street",237,35,51,128,15,164,24,9,663,4
Lake Tekapo,"Lake Tekapo Community Hall, 8 Aorangi Crescent",126,0,8,24,7,26,2,5,198,4
Luggate,"Luggate Hall, 54 Main Road",127,22,22,21,10,51,17,1,271,1
Maheno,"Maheno Primary School, 5 Short Street",94,6,10,5,2,39,1,6,163,0
Makikihi,"Makikihi School, 12 Station Road",88,2,5,3,3,24,0,3,128,0
Moeraki,"Moeraki Coronation Hall, 41 Haven Street",46,1,7,3,4,9,0,1,71,0
Naseby,"Naseby Fire Station, 4 Ness Street",62,3,4,8,9,18,1,1,106,0
Ngapara,"Ngapara Union Sports Centre, 11 Paradise Gully Road",55,1,7,9,3,13,1,5,94,0
Oamaru,"Fenwick School Hall, Hull Street entrance, 25A Arun Street",285,12,24,38,36,281,8,27,711,3
,"Oamaru Central, former Noel Leeming Building, 145 Thames St",230,20,21,13,20,176,7,15,502,5
,"Oamaru Tongan Methodist Parish, Wesley Centennial Hall, 22 Eden Street",94,18,9,10,17,101,6,10,265,6
,"Pembroke School, 2 Harlech Street",81,9,12,9,15,99,3,6,234,3
,"St Mary's Anglican Church Hall, 410 Thames Highway",187,21,29,22,42,182,6,22,511,6
,"Te Pākihi o Maru - Oamaru North School, 40 Torridge Street",83,8,4,10,5,97,2,14,223,2
Omakau,"Omakau Primary School, 9 Deaker Street",192,3,22,18,12,61,4,4,316,4
Omarama,"Omarama School, 2 Omarama Avenue",117,11,14,4,11,32,1,2,192,2
Orari,"Orari Coronation Hall, 8 MacDonald Street",20,1,2,1,1,9,0,3,37,0
Otematata,"Otematata Community Hall, 1 West Road",97,1,8,2,3,23,0,3,137,1
Palmerston,"Waihemo Service Centre, 54 Tiverton Street",120,26,11,16,27,65,1,3,269,4
Papakaio,"Papakaio Primary School, 17 Papakaio Road",78,0,5,3,3,18,1,4,112,2
Pareora,"Pareora Country Club, 30 Queen Street",39,5,4,9,14,55,0,1,127,1
