Party and Electorate Candidate Votes Recorded at each Voting Place
Wigram 65,Candidate Vote Details
,,"ANDERSON, Blair John","CULLIMORE, Debra Marie","HANSEN, Christopher Michael","McTAGUE, Geoffrey William","NANDWANI-LYNN, Ankita","SUMMERFIELD, Tracy Sheree","THOMSON, Wiremu Li-An James","VAN DUIVENBODEN, Christine Sue","WESLEY, Richard","WOODS, Megan Cherie",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",1,2,0,2,3,61,0,1,12,51,133,5
Avonhead,"Avonhead Shopping Centre, opposite Sushi Time, (corner Withells Road & Merrin Street)",2,3,0,3,7,163,1,3,18,116,316,6
,"Burnside Bowling Club, 330 Avonhead Road",2,1,0,0,3,27,0,1,4,25,63,1
Cashmere,"South Christchurch Library, 66 Colombo Street",2,1,2,0,6,34,0,1,26,76,148,1
Christchurch Central City,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",3,1,1,0,2,21,0,0,31,66,125,1
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",3,1,0,0,5,82,1,1,29,139,261,5
,"Deaf Society of Canterbury, 80 Fitzgerald Avenue",0,0,0,0,1,0,0,0,3,2,6,0
,"South City Shopping Centre, 555 Colombo Street",4,2,0,2,25,160,1,2,69,224,489,7
,"Te Wānanga o Aotearoa, 348 Manchester Street",0,0,0,0,0,2,1,1,7,2,13,0
,"Tūranga Library, 60 Cathedral Square",2,0,0,0,1,32,0,1,15,46,97,1
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",0,0,0,0,3,9,0,1,8,7,28,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",1,0,0,0,2,23,0,0,2,11,39,1
Halswell,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",11,13,2,2,57,655,2,6,103,578,1429,14
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",0,0,0,0,1,10,0,2,0,11,24,0
Hei Hei,"Hei Hei Community Centre, 12 Wycola Avenue",16,9,1,6,58,380,3,11,57,557,1098,12
Hoon Hay,"Hoon Hay Community Centre, 90 Hoon Hay Road",15,17,3,1,34,354,2,13,74,511,1024,8
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",9,5,2,0,10,168,3,3,23,235,458,7
,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",28,14,5,8,117,1068,9,16,165,1173,2603,30
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",5,0,0,0,9,50,2,0,81,109,256,3
,"University of Canterbury, The Undercroft, Ilam Road",7,3,0,0,14,120,5,0,143,213,505,2
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",0,0,0,0,1,23,0,0,8,21,53,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",0,0,0,0,3,12,2,0,5,47,69,3
Merivale,"Merivale Mall, outside Sassys clothing store, 189 Papanui Road",2,0,0,0,0,11,0,2,4,14,33,1
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",4,1,1,0,5,61,0,1,22,54,149,1
Riccarton,"Rārākau Riccarton Community Centre, 199 Clarence Street",5,4,0,0,16,128,0,1,32,143,329,6
,"Westfield Riccarton, Level 2, 129 Riccarton Road",20,7,2,9,62,666,4,7,160,718,1655,29
Rolleston,"Selwyn District Council, 2 Norman Kirk Drive",0,1,0,0,3,14,0,0,5,6,29,0
