Party and Electorate Candidate Votes Recorded at each Voting Place
Rangitīkei 41,Candidate Vote Details
,,"BUTT, Zulfiqar","HOGGARD, Andrew John","LONG, Bernard John","REDMAYNE, Susan (Suze) Emma Dossor","VERMEULEN, Wilhelmina Jannetje",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Ashhurst,"River Church, 131 Cambridge Avenue",280,146,93,384,104,1007,11
Bulls,"Clifton School, 3 Clifton Street",30,18,15,70,14,147,1
,"Te Matapihi Community Centre, 4 Criterion Street",143,80,26,326,57,632,5
Feilding,"Feilding Civic Centre, 84 Aorangi Street",1379,911,380,3293,375,6338,95
,"Manchester Street School, 160 Manchester Street",56,31,19,104,8,218,1
Foxton,"Te Awahou Nieuwe Stroom, 92 Main Street",25,8,6,39,6,84,0
Hunterville,"Hunterville Consolidated School, 33 Bruce Street",24,22,5,75,4,130,2
Levin,"Horowhenua District Council, 126 Oxford Street",9,5,6,19,1,40,1
,"Te Takeretanga o Kura-hau-pō - Levin Public Library, 10 Bath Street",35,10,5,24,7,81,0
Linton,"Linton Camp School, Puttick Road",24,17,5,27,9,82,0
Marton,"Marton RSA & Citizens Memorial Hall, 397 Wellington Road",104,31,19,189,27,370,2
,"St Andrew's Presbyterian Church Hall, 226 Broadway",425,151,70,790,154,1590,20
Ohakune,"Ohakune Council Chambers, 37 Ayr Street",121,75,57,317,38,608,3
,"Te Pae Tata Community Hub, 43A Ruapehu Road",10,0,5,9,2,26,0
Palmerston North Central,"Palmerston North Bridge Club, 3 Cook Street (corner Cook Street & Cuba Street)",61,48,13,179,18,319,2
,"Te Manawa Museum, 326 Main Street",122,51,45,238,18,474,4
,"The Plaza Shopping Mall, Centre Court, 84 The Square",186,94,82,351,51,764,8
,"The Salvation Army Hall, 431 Church Street",28,14,5,94,15,156,0
Raetihi,"Raetihi Primary School, 24 Grey Street",37,6,5,30,13,91,2
Shannon,"Shannon Memorial Hall, 8 Grey Street",60,26,19,47,20,172,1
Summerhill,"Summerhill Shopping Centre, Hilltop, 194 Ruapehu Drive",431,227,148,932,81,1819,12
Taihape,"St David's Church, 19 Huia Street",187,94,66,392,80,819,8
Taken in Rangitīkei,"Care Homes, Team 1",32,9,1,41,5,88,9
Taken in Whanganui,"Pop-up Voting Services - Te Awa Tupua, Various Locations",2,1,1,1,1,6,0
Taumarunui,"Ruapehu Community Arts Centre, 40 Hakiaha Street",322,79,59,468,114,1042,18
Turitea,"MUSA Student Centre Lounge, Massey University Concourse, University Avenue",74,15,44,82,5,220,3
