Party and Electorate Candidate Votes Recorded at each Voting Place
Hauraki-Waikato 66,Candidate Vote Details
,,"MAHUTA, Nanaia Cybele","MAIPI-CLARKE, Hana-Rawhiti","POKERE-PHILLIPS, Donna",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany
Botany,"Botany Library, Level 1, Sunset Terrace",2,6,0,8,0
Coromandel
Coromandel,"Coromandel Citizen's Hall, 455 Kapanga Road",53,48,6,107,5
Ngatea,"Ngātea War Memorial Hall, 66 Orchard West Road",22,23,7,52,1
Paeroa,"Paeroa Memorial Hall, 144 Normanby Road",97,85,18,200,5
Tairua,"Tairua Community Hall, 210 Main Road",9,11,2,22,2
Taken in Coromandel,"Care Homes, Team 2",2,4,1,7,2
Thames,"Thames War Memorial Civic Centre Auditorium, 200 Mary Street",123,79,14,216,17
Waihi,"Waihi War Memorial Hall, 41 Seddon Street",65,76,12,153,8
Waihi Beach,"Waihi Beach Community Centre, 106 Beach Road",7,3,2,12,0
Whangamatā,"Whangamatā Memorial Hall, 328 Port Road",4,1,2,7,0
,"Whangamatā Rugby & Sports Club, 135 Aickin Road",22,14,2,38,6
Whitianga,"Crossroads Encounter Fellowship, 36 Cook Drive",16,19,3,38,0
,"Mercury Bay Community Board Room, 10 Monk Street",11,14,3,28,0
Hamilton East
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",156,213,10,379,16
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",82,158,11,251,7
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",15,32,0,47,0
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",110,123,7,240,5
Enderley,"Te Papanui Enderley Community Trust, 66 Tennyson Road",57,49,2,108,5
Flagstaff,"Suburbs Community Sports Club, 18 Commodore Avenue",20,22,3,45,2
Hamilton East,"Kirikiriroa Marae, 951 Wairere Drive",101,169,6,276,2
,"St John's Methodist Church Centre, 20 Wellington Street",65,53,1,119,6
Hillcrest,"Hillcrest Baptist Church Hall, (corner Knighton Road & Clyde Street)",65,120,7,192,2
,"University of Waikato, Village Green, Gate 1, Knighton Road",31,106,3,140,0
Rototuna,"Limelight Dance Academy, 144 Rototuna Road",46,51,7,104,3
Taken in Hamilton East,"Care Homes, Team 1",3,4,0,7,2
Hamilton West
Dinsdale,"St Georges and St Davids Church, 158-160 Rifle Range Road",96,140,5,241,8
Flagstaff,"Te Ao Mārama School, 33 Hare Puke Drive",10,14,1,25,0
Frankton,"Frankton Mosque (Masjid Al Madeena), 45 Bandon Street",5,5,0,10,0
,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",86,92,5,183,3
Glenview,"Glenview Community Centre, 12 Tomin Road",66,65,8,139,3
,"Te Wānanga o Aotearoa, Mangakōtukutuku Campus, 254 Ohaupo Road",8,32,1,41,0
Hamilton Central,"Centre Place, 501 Victoria Street",168,249,13,430,10
,"K'aute Pasifika Fale, (corner Seddon Road & Mill Street)",11,24,0,35,0
,"NZMA - New Zealand Management Academies, 94 Tristram Street",7,16,0,23,0
,"Te Whare Korowai Taangatu o Kirikiriroa, 4 Hill Street",2,4,0,6,0
,"Wintec City Campus, Gallagher Hub, Lounge Area, (corner Anglesea Street & Ward Street)",5,14,0,19,0
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",17,12,0,29,2
,"The Verandah, Lake Domain Drive",44,73,3,120,5
Melville,"Melville Methodist Church Hall, 4 Bader Street",85,92,5,182,8
,"Te Manaakitanga Marae, Melville High School, 6 Collins Road",42,60,2,104,1
Nawton,"Good News Community Centre, 78 Breckons Avenue",111,122,13,246,7
,"Western Community Centre, 46 Hyde Avenue",149,208,11,368,10
Rotokauri,"Wintec Rotokauri Campus, S Block Foyer, 51 Akoranga Road",4,6,0,10,2
St Andrews,"All Saints Church Hall, 191 Sandwich Road",50,55,5,110,5
Taken in Hamilton West,"Care Homes, Team 1",16,13,2,31,2
Templeview,"Kai Hall, 485 Tuhikaramea Road",8,11,1,20,1
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",214,381,28,623,8
,"Te Wānanga o Aotearoa, Raroera Campus, 510-514 Te Rapa Road",17,22,2,41,0
Manurewa
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",32,48,8,88,0
Papakura
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",24,31,8,63,2
Clevedon,"Clevedon Hall, 1 Papakura-Clevedon Road",5,10,1,16,0
Drury,"Drury Community Hall, 10 Tui Street",31,38,4,73,5
Karaka,"Karaka Pavilion, NZ Bloodstock Centre, 10 Hinau Road",10,8,8,26,0
Papakura,"Harvest Christian Church, 3 Beach Road",12,13,1,26,0
,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",214,117,25,356,5
,"Papakura Marae, 29 Hunua Road",91,111,9,211,4
,"South Auckland Car Club, Wellington Park, 1 Great South Road",23,29,4,56,2
Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",2,2,2,6,2
Port Waikato
Pōkeno,"Pokeno Community Hall, 19 Market Street",36,50,13,99,6
Pukekohe,"Bledisloe Park Sports Centre, 5 John Street",67,73,7,147,6
,"Counties Tennis Centre, 82-86 West Street",41,40,9,90,4
,"Harrington Hall, 2 Harrington Avenue",68,71,6,145,5
Taken in Port Waikato,"Pop-up Voting Services, Various Locations",17,28,0,45,3
Te Kauwhata,"St Johns Ambulance Meeting Room, 4 Baird Avenue",36,42,7,85,1
Tuakau,"Tuakau Town Hall, 70 George Street",120,96,15,231,11
Waiuku,"Waiuku Bowling Club, 117 Queen Street",31,26,8,65,4
