Party and Electorate Candidate Votes Recorded at each Voting Place
West Coast-Tasman 61,Candidate Vote Details
,,"FARRELLY, Jacqueline Ann","GREY, Susan Jane","LILLEY, Kelly Helena","MARINKOVICH, Sebastian","O'CONNOR, Damien","OSMASTON, Richard Francis","PHELPS, Patrick","PUGH, Maureen Helena","RICHARDS, Stephen Thomas",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Greymouth,"Elim Church, 41 Guiness Street",121,31,69,25,470,3,464,746,55,1984,12
,"Tai Poutini Polytechnic, Conference Room, 73-87 Tainui Street",43,8,42,5,206,0,171,241,32,748,9
Hokitika,"Hokitika Westland RSA, 22 Sewell Street",55,41,73,23,335,3,554,605,60,1749,14
Maruia,"Maruia School, 1956 State Highway 65",2,1,3,0,2,0,5,24,1,38,1
Motueka,"Baptist Church, 15 Greenwood Street",29,21,50,18,394,1,35,304,47,899,3
,"Motueka Library, 32 Wallace Street",113,75,221,80,1472,6,112,1090,300,3469,22
Nelson,"Corner Shop, opposite McDonald's Nelson, 135 Rutherford Street, (corner of Rutherford Street & Selwyn Place)",1,2,10,3,26,0,3,43,12,100,0
,"Elma Turner Library, 27 Halifax Street",0,3,7,1,15,1,5,21,8,61,0
Reefton,"St John Station, 8 Smith Street",19,8,21,13,111,2,90,163,12,439,4
Richmond,"Club Waimea, 345 Lower Queen Street",5,6,24,4,48,0,17,105,15,224,1
,"Richmond Library, 280 Queen Street",27,29,110,33,494,2,36,491,91,1313,8
,"Richmond Mall, next to Boulevard Café, Queen Street entrance, 212 Queen Street",34,27,120,22,368,3,45,519,53,1191,6
Stoke,"Saxton Pavilion, Nelson Cricket Ground, 142 Saxton Road East",1,1,6,1,15,0,2,20,6,52,0
Tākaka,"Tākaka Anglican Church Hall, 42 Commercial Street",36,98,68,37,531,4,32,306,131,1243,4
Taken in West Coast-Tasman,"Care Homes Team - Tasman, Team 1",5,0,2,0,30,0,0,17,1,55,2
,"Care Homes Team - West Coast, Team 2",9,0,2,0,55,1,20,35,4,126,1
,"Pop-up Voting Services, Various Locations - Buller",6,2,6,1,16,0,11,17,5,64,0
,"Pop-up Voting Services, Various Locations - Golden Bay",0,3,6,0,11,0,1,11,3,35,0
,"Pop-up Voting Services, Various Locations - Greymouth",3,34,23,3,43,0,7,41,2,156,0
,"Pop-up Voting Services, Various Locations - Westland",0,2,4,0,3,0,1,11,0,21,0
Westport,"Buller REAP, 111 Palmerston Street",126,36,79,24,646,3,316,462,72,1764,23

Voting Places
Ahaura,"Awahono School, 20 Napoleon Street",4,1,5,1,7,0,31,58,3,110,0
Appleby,"Appleby School, 19 Moutere Highway",6,7,29,10,89,0,19,143,21,324,3
Barrytown,"Barrytown School, 21 Cargill Road",1,2,6,4,18,0,12,28,12,83,0
Blackball,"Blackball Paparoa Range School, 3 Chamberlain Street",20,9,4,8,41,1,48,32,7,170,1
Brightwater,"Brightwater School, 106 Ellis Street",31,45,66,26,202,2,54,396,39,861,4
Bruce Bay,"Bruce Bay Hall, 4670 Haast Highway",0,1,3,0,6,0,6,21,0,37,0
Camerons,"Bill Maher Hall, 2 Pandora Avenue",5,2,13,3,22,0,58,62,6,171,1
Carters Beach,"Carters Beach Hall, 31 Marine Parade",5,3,6,3,56,1,49,48,9,180,2
Charleston,"Charleston Hall, State Highway 6 (corner Darkies Terrace Road)",7,6,5,1,28,0,21,23,3,94,1
Cobden,"Cobden School, 53 Fox Street",29,6,19,9,89,0,86,127,12,377,3
Collingwood,"Collingwood Memorial Hall, 9 Tasman Street",11,15,23,15,99,1,12,97,24,297,0
Dobson,"Dobson Paparoa Range School, Herald Street",12,3,20,9,27,0,46,84,2,203,1
Dovedale,"Dovedale School, 1220 Dovedale Road",12,11,9,8,57,1,19,56,14,187,1
Fox Glacier,"Fox Glacier Community Centre, 51 Cook Flat Road",1,0,3,0,9,0,14,43,1,71,0
Foxhill,"Rutherford Memorial Hall, 658 Wakefield-Kōhatu Highway",4,10,26,4,55,2,18,78,10,207,3
