Party and Electorate Candidate Votes Recorded at each Voting Place
Hamilton East 12,Candidate Vote Details
,,"BAN, Tanya Joan","CARRINGTON, Lily","CORKIN, Alexander James","COUPER, Nathan Lee","DANSEY, Georgie","GIELEN, Jacobus Martin","HAMILTON, Ryan Alexander","KNAAP, Russelle Sonya","PARKER, Kim Awatea","PARMAR, Himanshu",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",30,17,54,1,1162,4,2001,139,63,161,3632,38
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",31,29,54,0,871,2,1761,90,48,141,3027,34
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",10,3,21,1,196,0,247,21,8,27,534,2
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",19,6,40,1,598,1,504,42,43,56,1310,17
Enderley,"Te Papanui Enderley Community Trust, 66 Tennyson Road",0,1,4,0,31,0,27,6,12,5,86,1
Flagstaff,"Suburbs Community Sports Club, 18 Commodore Avenue",5,2,18,1,277,0,651,43,7,45,1049,9
,"Te Ao Mārama School, 33 Hare Puke Drive",1,2,0,0,25,0,102,2,0,9,141,2
Frankton,"Frankton Mosque (Masjid Al Madeena), 45 Bandon Street",0,0,0,0,2,0,3,0,0,1,6,0
,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",3,0,7,0,46,0,57,2,4,6,125,0
Hamilton Central,"Centre Place, 501 Victoria Street",7,7,48,1,479,1,619,21,54,63,1300,12
,"K'aute Pasifika Fale, (corner Seddon Road & Mill Street)",0,0,2,0,17,0,10,2,2,0,33,1
,"NZMA - New Zealand Management Academies, 94 Tristram Street",0,0,0,0,7,0,8,1,2,1,19,1
,"Rainbow Hub Waikato, Level 1, 36 Bryce Street",0,0,0,0,5,0,1,0,1,0,7,1
,"Wintec City Campus, Gallagher Hub, Lounge Area, (corner Anglesea Street & Ward Street)",0,0,0,0,8,0,4,0,2,1,15,1
Hamilton East,"Kirikiriroa Marae, 951 Wairere Drive",12,1,15,0,210,0,191,10,22,16,477,17
,"St John's Methodist Church Centre, 20 Wellington Street",13,8,40,2,660,1,491,46,22,26,1309,14
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",0,0,0,0,10,0,20,0,0,1,31,1
,"The Verandah, Lake Domain Drive",1,3,5,0,45,0,81,6,4,6,151,4
Hillcrest,"Hillcrest Baptist Church Hall, (corner Knighton Road & Clyde Street)",15,12,48,2,602,1,584,65,40,53,1422,22
,"University of Waikato, Village Green, Gate 1, Knighton Road",7,9,71,0,419,3,217,11,69,20,826,5
Ngāruawāhia,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",0,0,1,0,5,0,16,0,3,3,28,1
Rotokauri,"Wintec Rotokauri Campus, S Block Foyer, 51 Akoranga Road",0,0,1,0,6,0,5,2,0,0,14,0
Rototuna,"Limelight Dance Academy, 144 Rototuna Road",30,16,42,1,596,1,1573,72,18,115,2464,25
St Andrews,"All Saints Church Hall, 191 Sandwich Road",0,0,2,0,26,0,49,1,5,5,88,0
Taken in Hamilton East,"Care Homes, Team 1",0,2,0,0,56,1,63,3,1,2,128,2
Taken in Hamilton West,"Care Homes, Team 1",0,0,0,1,29,1,22,0,1,4,58,1
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",9,11,32,0,280,1,563,26,42,56,1020,12
,"Te Wānanga o Aotearoa, Raroera Campus, 510-514 Te Rapa Road",1,0,0,0,5,0,1,0,0,0,7,0

Voting Places
Chartwell,"Chartwell Cooperating Parish Hall, (corner Comries Road & Belmont Avenue)",14,3,11,1,174,0,223,15,13,17,471,5
,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",5,3,16,0,105,0,155,15,9,19,327,7
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",13,4,20,0,136,0,241,12,16,25,467,5
,"Fairfield College, 25 Bankwood Road",3,2,4,0,81,1,89,6,7,6,199,0
Claudelands,"Peachgrove Intermediate School, 72 Peachgrove Road",7,3,12,0,130,0,136,11,11,12,322,5
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",6,6,22,0,188,0,175,16,19,22,454,2
Enderley,"Insoll Avenue School, 95 Insoll Avenue",12,4,14,0,163,0,104,25,21,15,358,5
,"Te Papanui Enderley Community Trust, 66 Tennyson Road",1,0,2,1,23,0,4,1,16,0,48,1
,"Te Wharekura o Kirikiriroa, 33 Fifth Avenue",1,3,6,0,65,0,45,7,14,5,146,2
Fairfield,"Fairfield Baptist Church Hall, 1101 Heaphy Terrace",2,1,1,0,82,0,50,14,10,5,165,2
,"Fairfield Intermediate School, 261 Clarkin Road",6,1,9,0,80,1,93,10,4,12,216,6
,"Wesley Methodist Hall, 955 Heaphy Terrace",5,4,11,0,127,1,70,15,15,5,253,2
,"Woodstock Primary School Hall, 43 Fairfield Avenue",2,3,12,0,124,0,163,7,6,13,330,4
Flagstaff,"Endeavour School, 86 Endeavour Avenue",4,4,13,0,141,1,330,23,9,47,572,1
,"Te Ao Mārama School, 33 Hare Puke Drive",4,0,3,1,18,0,49,4,4,9,92,0
Frankton,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",0,1,4,0,18,0,7,2,1,1,34,1
Hamilton Central,"Centre Place, 501 Victoria Street",2,2,5,0,52,0,57,4,5,6,133,2
,"K'aute Pasifika Fale, (corner Seddon Road & Mill Street)",0,1,0,0,12,0,24,1,5,4,47,2
Hamilton East,"Graceway Church, 69 Grey Street",12,3,14,0,148,0,115,14,7,18,331,4
,"Hamilton East Primary School, 7 Dawson Street",5,2,6,0,132,0,96,11,8,12,272,1
,"Kirikiriroa Marae, 951 Wairere Drive",4,4,15,0,57,0,41,1,13,8,143,1
,"Marian Catholic School, 119 Firth Street",1,7,9,0,104,1,121,7,10,16,276,5
,"St John's Methodist Church Centre, 20 Wellington Street",13,6,17,0,193,1,163,28,15,15,451,13
