Party and Electorate Candidate Votes Recorded at each Voting Place
Taranaki-King Country 50,Candidate Vote Details
,,"BURR, William Bruce","KURIGER, Barbara Joan","RAISON, Daryl Morice William","ROBERTS, Angela",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bell Block,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",10,80,3,16,109,2
Cambridge,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",7,107,1,25,140,1
,"Hautapu Rugby Club, 211 Victoria Street",4,61,0,5,70,1
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",3,55,4,25,87,2
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",5,68,1,30,104,1
Claudelands,"Globox Arena Claudelands, adjacent to Waikato Home & Garden Show entrance, 827 Heaphy Terrace",3,61,0,11,75,2
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",3,23,1,11,38,1
Dinsdale,"St Georges and St Davids Church, 158-160 Rifle Range Road",4,176,8,35,223,5
Frankton,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",7,86,0,25,118,2
Glenview,"Glenview Community Centre, 12 Tomin Road",8,86,8,39,141,1
Hamilton Central,"Centre Place, 501 Victoria Street",16,227,9,87,339,7
Hamilton East,"St John's Methodist Church Centre, 20 Wellington Street",0,31,1,7,39,2
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",1,6,0,3,10,0
,"The Verandah, Lake Domain Drive",6,106,0,33,145,7
Hillcrest,"Hillcrest Baptist Church Hall, (corner Knighton Road & Clyde Street)",1,20,0,8,29,1
,"University of Waikato, Village Green, Gate 1, Knighton Road",4,34,0,45,83,0
Inglewood,"Inglewood Club, Moa Street",41,743,24,292,1100,29
,"Inglewood Primary School, 33 Kelly Street",18,106,4,43,171,6
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",36,320,10,169,535,18
Melville,"Melville Methodist Church Hall, 4 Bader Street",0,35,1,11,47,0
Nawton,"Western Community Centre, 46 Hyde Avenue",7,58,1,21,87,2
New Plymouth,"Hospital & Hospice Team, 54 Gill Street",0,5,0,5,10,0
New Plymouth Central,"CBD Shop, next to ASB, 6 Devon Street West",5,60,3,26,94,1
,"New Plymouth District Council, Ngāmotu Room, 84 Liardet Street",3,40,3,20,66,1
,"St Joseph’s Church Hall, 151 Devon Street West",1,10,1,7,19,1
Ngāhinapōuri,"Ngahinapouri Hall, 1185 Kakaramea Road",6,149,0,36,191,3
Ngāruawāhia,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",15,202,16,126,359,9
Ōtorohanga,"Ōtorohanga Library, 27 Turongo Street",134,785,18,299,1236,32
Pirongia,"Pirongia School, 100 Beechey Street",21,193,2,51,267,1
Raglan,"Raglan Town Hall, 41 Bow Street",61,541,29,728,1359,52
Rototuna,"Limelight Dance Academy, 144 Rototuna Road",2,12,3,8,25,0
Stratford,"Stratford War Memorial Hall, 55 Miranda Street",34,300,9,53,396,7
Taken in Hamilton West,"Care Homes, Team 1",0,9,0,9,18,0
Taken in Taranaki-King Country,"Pop-up Voting Services, Various Locations - Ohura Valley Region",10,37,0,20,67,4
,"Pop-up Voting Services, Various Locations - Ongarue Region",7,28,0,5,40,0
,"Pop-up Voting Services, Various Locations - Taharoa Region",2,53,2,17,74,1
,"Pop-up Voting Services, Various Locations - Te Akau Region",4,46,0,3,53,0
,"Pop-up Voting Services, Various Locations - Tongaporutu Region",5,38,4,11,58,1
,"Pop-up Voting Services, Various Locations - Whangamomōna Region",4,60,0,11,75,1
,"Prisons Team, Team 1",2,2,0,3,7,1
Taumarunui,"Ruapehu Community Arts Centre, 40 Hakiaha Street",10,90,0,12,112,2
Te Awamutu,"PAK'nSAVE Te Awamutu, 670 Cambridge Road",204,1716,49,793,2762,87
,"Te Awamutu Scout Hall, 11 Scout Lane",219,2199,49,755,3222,83
Te Kūiti,"Les Munro Centre, 8 King Street East",126,641,22,278,1067,22
,"Te Kuiti Primary School, 1 Rora Street",11,35,1,18,65,0
Templeview,"Kai Hall, 485 Tuhikaramea Road",1,8,0,1,10,0
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",29,555,11,136,731,9
Waitara,"North Taranaki Sports & Recreation Inc, Clifton Park, 17 Princess Street",3,53,0,20,76,1
,"Waitara Library and Service Centre, 15A Queen Street",25,238,6,95,364,6
,"Waitara War Memorial Hall, Memorial Place",1,75,2,29,107,1
Whatawhata,"Whatawhata School, 9 Kura Street",13,250,3,71,337,12

Voting Places
Aria,"Aria School, (corner Kiekie Street & Rimu Street)",15,57,0,10,82,1
Arohena,"Arohena School, 40 Pukewhau Road",5,64,1,4,74,1
Bell Block,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",2,14,1,3,20,1
Benneydale,"Benneydale Community Library, Maniaiti Road",16,34,2,20,72,3
Cambridge,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",3,11,1,3,18,0
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",1,3,0,2,6,0
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",0,5,0,2,7,0
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",2,3,0,5,10,0
Dinsdale,"Aberdeen School, 48-62 Aberdeen Drive",0,15,0,11,26,1
Egmont Village,"Egmont Village School Hall, 1052 Junction Road",4,80,3,6,93,0
Frankton,"Frankton School Hall, 206 Massey Street",4,21,2,20,47,3
,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",3,5,2,0,10,0
Glen Massey,"Glen Massey School, 897 Waingaro Road",12,96,3,55,166,8
Glenview,"Glenview Community Centre, 12 Tomin Road",5,21,3,6,35,3
Hamilton Central,"Centre Place, 501 Victoria Street",6,16,0,14,36,0
Hamilton East,"St John's Methodist Church Centre, 20 Wellington Street",0,4,1,7,12,1
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",3,14,0,3,20,0
,"The Verandah, Lake Domain Drive",2,8,1,5,16,0
Honikiwi,"Honikiwi Memorial Hall, (corner Honikiwi Road & Turoto Road)",10,29,2,5,46,2
Horotiu,"Horotiu School, 89 Horotiu Bridge Road",20,96,5,47,168,5
Inglewood,"Inglewood Club, Moa Street",28,240,15,94,377,4
,"Inglewood High School, 129 Rata Street",30,211,8,95,344,8
,"Inglewood Primary School, 33 Kelly Street",33,231,15,143,422,6
Kaimata,"Kaimata School, 715 Tarata Road",8,130,5,16,159,0
Kaipaki,"Kaipaki School Library, 687 Kaipaki Road",14,170,12,30,226,3
Kawhia,"Kawhia Community Hall, 141 Jervois Street",11,54,7,77,149,5
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",43,258,10,132,443,7
Korakonui,"Korakonui School, 734 Wharepuhunga Road",14,103,1,22,140,3
Koromatua,"Koromatua School, 355 Koromatua Road",12,127,2,40,181,10
Maihiihi,"Maihiihi School, 775 Maihiihi Road",12,89,0,7,108,2
Mapiu,"Mapiu Hall, 2763 State Highway 4",9,41,0,4,54,2
Melville,"Melville Community Hall, 84 Ohaupo Road",0,12,0,10,22,0
,"Melville Methodist Church Hall, 4 Bader Street",1,2,1,2,6,0
Midhirst,"Midhirst Primary School Library, 8 Erin Street",16,140,3,51,210,3
Mimi,"Mimi School, 23 Pukearuhe Road",16,112,3,24,155,5
Mōkau,"Mōkau Primary School, 7 Rangi Street",23,113,5,27,168,2
