Party and Electorate Candidate Votes Recorded at each Voting Place
Tauranga 52,Candidate Vote Details
,,"BALDOCK, Larry","CROOKS, Justin Charles Fraser","HARVEY, Erika","LANGRIDGE, Jonathan Mark","SAMUELS, Leon Wharewehe","STOKMAN, Chelsea Jordan","SYDNEY, Mikaere Taingahue","TINETTI, Janette","UFFINDELL, Samuel Julian","YOUNG, Christine Elizabeth",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bethlehem,"Bethlehem Town Centre, former Wild South, 19 Bethlehem Road",113,174,408,32,35,18,29,1046,3207,502,5564,66
Brookfield,"Te Kura o Manunui - Brookfield School, 20 Millers Road",8,15,30,0,2,2,4,77,145,25,308,0
Bureta,"St John's Anglican Church, 94 Bureta Road",2,12,23,0,0,2,1,83,138,24,285,3
Greerton,"Greerton Community Hall, 1247 Cameron Road",82,104,269,21,21,12,36,703,1061,188,2497,44
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",0,1,2,1,0,0,1,3,8,1,17,0
Hillcrest,"University of Waikato, Village Green, Gate 1, Knighton Road",1,2,0,0,0,0,1,7,6,5,22,1
Matua,"Matua Community Hall, 124 Levers Road",74,126,235,9,15,9,17,696,1560,249,2990,22
Mount Maunganui,"Arataki Community Centre, Zambuk Way, off Grenada Street",4,9,8,1,1,1,3,16,42,8,93,1
,"Bayfair Shopping Centre, outside Barkers, 19 Girven Road (corner Maunganui Road)",15,79,58,3,6,3,13,169,417,81,844,9
,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",13,61,50,5,6,2,14,195,402,70,818,8
,"Mount Maunganui Senior Citizens' Hall, 345 Maunganui Road",26,126,97,3,9,3,9,332,1198,215,2018,22
,"St Mary's Anglican Church Hall, 33 Girven Road (corner Marlin Street)",0,2,1,0,0,1,1,5,26,6,42,0
,"Whareroa Marae, 25 Taiaho Place",2,0,0,0,2,0,4,2,1,0,11,0
Papamoa Beach,"Papamoa Community Centre, 15 Gravatt Road",0,4,1,1,1,0,1,9,19,1,37,0
,"Papamoa Plaza, Food Court, 7 Gravatt Road",2,8,17,1,0,0,2,26,62,17,135,2
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 80 Alice Lane, off Parton Road",0,3,1,1,0,0,1,6,16,5,33,0
Parkvale,"Fraser Cove, former Number One Shoes, 241 Fraser Street",51,100,205,10,14,10,35,559,788,162,1934,28
,"Merivale Action Centre, 25 Kesteven Avenue",0,4,1,2,0,0,1,12,5,2,27,0
Poike,"Changepoint Church, 131 Poike Road",5,2,9,2,1,0,0,10,44,6,79,0
,"Toi Ohomai / Te Pūkenga Windermere Campus, Lower Ātea, A Block, Gate 1, 70 Windemere Drive",2,8,3,1,1,0,0,40,28,7,90,0
