Party and Electorate Candidate Votes Recorded at each Voting Place
East Coast 9,Candidate Vote Details
,,"CARACAS, Monaco Quemara Tezinho","COFFEY, Tamati","DICKSON, Gordon John","FLAVELL, Fallyn Rebecca","HOWE, Michael","KIRKPATRICK, Dana Margot","PACKER, Leighton","RICHARDS, Donald","ROBINSON, Christopher Michael","SINCLAIR, Craig Tristan","WALKER, Jordan",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Edgecumbe,"Edgecumbe War Memorial Hall, 2 Kauri Street",0,191,2,11,47,355,2,0,8,59,16,691,11
Gisborne,"EIT Tairawhiti, 290 Palmerston Road",0,76,0,10,5,114,2,0,5,11,19,242,1
,"Gisborne Hospital, Poutama Room, 421 Ormond Road",0,128,0,7,9,134,1,0,1,10,20,310,5
,"HB Williams Memorial Library, 35 Peel Street",0,366,1,10,21,332,6,0,6,25,41,808,11
,"House of Breakthrough, 7 Potae Avenue",2,589,1,10,53,1249,21,5,18,96,52,2096,22
,"Kaiti Hub, TaiTech, 502 Wainui Road",0,606,1,44,29,365,22,0,11,50,46,1174,22
,"Tairawhiti Museum, 10 Stout Street",0,39,0,2,4,67,0,0,0,6,11,129,3
,"Te Wananga o Aotearoa, 630 Childers Road",1,58,1,5,2,29,1,0,1,7,9,114,1
,"Te Whakaruruhau Kōhanga Reo, 170 Tyndall Road",0,8,0,0,0,0,0,0,0,0,2,10,0
,"Treble Court, Peel Street",6,932,2,39,75,1272,19,1,16,95,108,2565,30
,"Waikirikiri School, 7 Pickering Street",0,13,0,2,0,1,0,0,0,0,2,18,0
Kawerau,"Kawerau Concert Chambers, Ranfurly Court",7,575,2,61,75,398,12,4,21,144,38,1337,17
Mount Maunganui,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",0,29,0,9,15,78,1,1,4,10,5,152,1
Murupara,"New Beginnings Centre, 40 Pine Drive",0,62,0,15,2,22,0,0,0,13,6,120,2
