Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki 49,Candidate Vote Details
,,"O'CONNOR, Simon","PERRATT, Anne","SOLOMONE, Fesaitu Sarote","VAN VELDEN, Brooke",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",30,1,10,33,74,6
,"Auckland University of Technology, Level 4, Building WA, 55 Wellesley Street",13,0,18,12,43,1
,"Auckland University Students Association, 4 Alfred Street",19,0,51,33,103,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",43,0,36,88,167,0
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",71,3,34,66,174,0
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",1251,38,1104,1351,3744,43
,"Ruapōtaka Marae, 106 Line Road",138,2,227,115,482,17
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",30,0,43,48,121,1
Kohimarama,"St Thomas Tāmaki Church, 368 Kohimarama Road",498,5,235,904,1642,8
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",12,1,4,14,31,1
,"Salvation Army Community Centre, 18 Allright Place",6,0,6,5,17,1
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",227,5,98,188,518,9
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",738,11,372,885,2006,15
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",232,1,72,192,497,4
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",89,0,41,98,228,2
Ōrākei,"Ōrākei Community Centre, 156 Kepa Road",813,11,465,1425,2714,22
,"Ōrākei Marae, 59B Kitemoana Street",11,0,39,18,68,1
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",26,1,12,11,50,0
Panmure,"Mt Wellington Bowling Club, 3 Matapan Road",7,0,6,2,15,0
,"Panmure Library, 7-13 Pilkington Road",26,0,43,19,88,5
Parnell,"Church Unlimited, 2A Augustus Terrace",6,0,3,18,27,0
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",41,1,12,32,86,0
,"Remuera Baptist Church, 641 Remuera Road",488,9,227,605,1329,7
,"Somervell Presbyterian Church Foyer, 497 Remuera Road",65,0,23,57,145,0
,"St Aidan's Anglican Church, Social Lounge, 5 Ascot Avenue",64,0,31,53,148,4
,"St Mark's Church, Lounge, 95 Remuera Road",9,0,5,14,28,0
St Heliers,"St Heliers Church & Community Centre, 100 St Heliers Bay Road",1439,24,477,2728,4668,19
St Johns,"Auckland Netball Centre, 7 Allison Ferguson Drive",308,5,120,335,768,7
,"St John's Theological College, Wesley Hall, 202-210 St John's Road",683,17,308,834,1842,15
Taken in Tāmaki,"Care Homes Team, Team 1",71,0,22,36,129,4
,"Care Homes Team, Team 2",77,0,25,25,127,3

Voting Places
Auckland City,"Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",7,0,3,4,14,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",1,0,4,1,6,0
Ellerslie,"Ellerslie Kindergarten, 122 Celtic Crescent",5,2,7,5,19,0
,"Ellerslie War Memorial Hall, 134-138 Main Highway",16,1,10,8,35,4
,"Michael Park School, 55 Amy Street",0,1,6,2,9,0
Glendowie,"Churchill Park School, Kinsale Avenue",86,2,54,221,363,1
,"Glendowie Primary School, 217 Riddell Road",169,3,77,286,535,3
,"Glen Taylor School, 172 West Tamaki Road",71,6,99,124,300,3
,"Sacred Heart College Gymnasium, Gate 4, 250 West Tamaki Drive",73,4,54,102,233,2
Glen Innes,"Glen Innes School, 38-42 Eastview Road",19,2,60,30,111,3
,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",123,5,175,123,426,3
,"Ruapōtaka Marae, 106 Line Road",22,2,94,23,141,2
,"Saint Pius X School, 103 Castledine Crescent",23,0,48,41,112,5
,"Tāmaki College, 109-115 Taniwha Street",34,3,120,38,195,3
Kohimarama,"Kohimarama School, 112 Kohimarama Road",194,5,131,397,727,4
,"St Thomas's School, 113 Allum Street",153,6,74,267,500,3
,"St Thomas Tāmaki Church, 368 Kohimarama Road",118,19,106,223,466,5
Mission Bay,"Mission Bay Guide Hall, 87 Patteson Avenue",96,6,46,170,318,1
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",15,1,5,8,29,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",28,1,14,13,56,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",4,0,6,8,18,0
Ōrākei,"Ōrākei Community Centre, 156 Kepa Road",126,13,127,204,470,5
,"Ōrākei Marae, 59B Kitemoana Street",10,2,12,10,34,0
,"Ōrākei Primary School, 1 Grace Street",106,5,39,181,331,4
,"St Joseph School Ōrakei, 16 Brenton Place",12,1,8,13,34,1
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",5,0,6,5,16,1
Panmure,"Te Whare Rangimarie, 7-13 Pilkington Road",3,0,15,0,18,0
Parnell,"Parnell Community Centre, Jubilee Hall, 545 Parnell Road",1,1,3,10,15,0
,"Parnell District School Hall, 48 Saint Stephens Avenue",4,0,2,7,13,0
Point England,"Point England Primary School, 130 Point England Road",7,1,15,4,27,1
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",19,0,11,25,55,0
,"Meadowbank School, 68 Waiatarua Road",177,5,125,285,592,8
,"Remuera Baptist Church, 641 Remuera Road",125,5,77,205,412,1
,"Remuera Intermediate School, 55 Ascot Avenue",12,0,8,9,29,0
,"Somervell Presbyterian Church and Community Centre, Main Hall, 497 Remuera Road",49,2,40,57,148,1
,"St Aidan's Anglican Church Hall, 5 Ascot Avenue",22,0,8,6,36,0
St Heliers,"St Heliers Church & Community Centre, 100 St Heliers Bay Road",107,0,77,326,510,4
,"St Heliers School, 126-160 St Heliers Bay Road",154,4,77,310,545,7
,"Tāmaki Ex-Services Association Hall, 19 Turua Street",134,8,80,305,527,5
St Johns,"St John's Theological College, Wesley Hall, 202-210 St John's Road",253,5,151,313,722,3
Stonefields,"Stonefields School, 81 Tihi Street",224,10,118,315,667,6

,Overseas Special Votes Including Defence Force - Tāmaki,864,14,643,816,2337,9
,Special Votes BEFORE Polling Day - Tāmaki,1570,68,1133,1276,4047,93
,Special Votes ON Polling Day - Tāmaki,925,41,830,836,2632,43
,Voting places where less than 6 votes were taken,3,0,1,2,6,1

,Tāmaki Total,13700,389,8968,17858,40915,430

,Valid Candidate Votes plus Informal Candidate Votes,,41345

Electorate Candidate Valid Votes,Party,,,"VAN VELDEN, Brooke - majority 4158"
"O'CONNOR, Simon",National Party,13700,33.48
"PERRATT, Anne",New Zealand Loyal,389,0.95
"SOLOMONE, Fesaitu Sarote",Labour Party,8968,21.92
"VAN VELDEN, Brooke",ACT New Zealand,17858,43.65
