Party and Electorate Candidate Votes Recorded at each Voting Place
Waiariki 72,Candidate Vote Details
,,"BOYNTON, Toni Olivia","HUNIA, Charles Tiki","WAITITI, Rawiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bay of Plenty
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",6,0,20,26,0
Maungatapu,"Maungatapu School Library, 164 Maungatapu Road",4,1,15,20,0
Mount Maunganui,"Arataki Community Centre, Zambuk Way, off Grenada Street",32,7,82,121,2
,"Bayfair Shopping Centre, outside Barkers, 19 Girven Road (corner Maunganui Road)",37,11,196,244,9
,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",52,13,250,315,13
,"St Mary's Anglican Church Hall, 33 Girven Road (corner Marlin Street)",5,1,17,23,1
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",7,1,10,18,0
Papamoa Beach,"Evans Road Community Church, 30 Evans Road",1,1,6,8,0
,"Golden Sands Baptist Church, 42 Piata Street (corner Te Okuroa Drive & Stevenson Drive)",3,2,10,15,0
,"Papamoa Community Centre, 15 Gravatt Road",20,5,64,89,0
,"Papamoa Plaza, Food Court, 7 Gravatt Road",65,15,277,357,11
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 80 Alice Lane, off Parton Road",18,2,40,60,3
Poike,"Changepoint Church, 131 Poike Road",8,5,38,51,1
,"Toi Ohomai / Te Pūkenga Windermere Campus, Lower Ātea, A Block, Gate 1, 70 Windemere Drive",3,1,24,28,2
Pyes Pa,"Taumata School, 145 Mortlake Heights",0,0,7,7,1
Taken in Bay of Plenty,"Care Homes & Community Team, Team 1",3,2,18,23,1
Taken in the Bay of Plenty Electorate,"Pop-up Voting Services, Various Locations",21,1,99,121,1
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",19,1,91,111,0
Welcome Bay,"Welcome Bay Hall, 244 Welcome Bay Road",21,7,101,129,1
Coromandel
Katikati,"Pātuki Manawa Digital Hub, 21 Main Road",17,4,56,77,2
,"The Arts Junction, 36 Main Road",17,6,36,59,1
Ōmokoroa,"Omokoroa Library and Service Centre, Whakamarama Room, 28 Western Avenue",1,0,5,6,5
,"Ōmokoroa Settler's Hall, 334 Omokoroa Road",10,3,17,30,4
Tahawai,"Tuapiro Marae, 24 Hikurangi Road",5,0,2,7,1
East Coast
Edgecumbe,"Edgecumbe War Memorial Hall, 2 Kauri Street",39,7,94,140,0
Kawerau,"Kawerau Concert Chambers, Ranfurly Court",119,19,426,564,10
Murupara,"New Beginnings Centre, 40 Pine Drive",69,7,213,289,9
Ōhope,"Ōhope Community Hall, 9 Bluett Road",15,4,21,40,1
Ōpōtiki,"Ōpōtiki RSA, 103 St John Street",80,7,394,481,5
,"Ōpōtiki Senior Citizens Hall, 1 King Street",36,6,104,146,2
Taken in East Coast,"Whakatane Mobile Team, Team 1",15,2,21,38,3
,"Whakatane Mobile Team, Team 2",6,0,7,13,0
Te Kaha,"Te Whanau a Apanui RSA, 6749 State Highway 35",5,0,61,66,0
Whakatāne,"Caledonian Hall, 60 King Street",126,9,243,378,10
,"Te Koputu Library & Exhibition Centre, 49 Kakahoroa Drive",126,21,241,388,12
,"Te Whare Wānanga o Awanuiārangi, 124 McAlister Street",24,4,95,123,2
,"Whakatāne War Memorial Hall, 7 Short Street",161,23,355,539,11
Hamilton West
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",2,0,23,25,1
Napier
Wairoa,"Wairoa War Memorial Hall, 93 Queen Street",2,0,11,13,2
Rotorua
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",65,10,158,233,9
Lynmore,"Redwood Shopping Centre, Palazzo Kitchens, Shop 5, 5 Tarawera Road",63,6,320,389,5
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",85,15,357,457,15
Reporoa,"Reporoa Settlers Hall, 3834 Broadlands Road",6,1,13,20,1
Rotorua,"Electoral Commission Rotorua, 1200 Amohau Street",57,4,175,236,4
,"Rotorua Central Mall, Centre Court, 1170 Amohau Street",326,53,1179,1558,41
,"Te Manawa Shop, former Stevens, 1241 Tutanekai Street",53,19,305,377,8
Taken in Rotorua,"Care Homes Team, Team 1",10,2,17,29,4
,"Mobile Team, Papa Kainga Marae Aged Care",27,7,198,232,5
,"Mobile Team, Team 1",34,12,142,188,8
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",104,22,326,452,18
Tihiotonga,"Te Pūkenga - Toi Ohomai, Mokoia Campus, I Block, Mokoia Drive",2,3,42,47,0
Waitangi,"Te Kura Kaupapa Māori o Te Matai, 1327A Te Puke Highway",3,0,8,11,1
Taupō
Taken in Taupō,"Care Homes Team, Team 1",1,1,5,7,1
Taupō,"Taupō Town Centre, Retail Space, 40 Horomātangi Street",42,10,166,218,7
,"Taupō Town Centre, Retail Space, 85 Tongariro Street",24,2,72,98,3
,"Unit 6, opposite the Hospice Shop, 29 Totara Street",65,8,205,278,7
