Party and Electorate Candidate Votes Recorded at each Voting Place
East Coast Bays 10,Candidate Vote Details
,,"ADAMS, Paul Gavin","CHEN, Naisi","DYET, William Richard","McCOOK, Michael John","STANFORD, Erica",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Albany,"Albany Community Hub, 575 Albany Highway",20,160,12,45,544,781,14
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",69,592,41,167,2875,3744,44
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",80,705,36,165,3227,4213,48
Browns Bay,"Heart of the Bays, 2 Glen Road",107,993,85,147,3661,4993,50
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",6,51,1,14,181,253,4
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",3,16,0,4,78,101,2
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",0,6,0,1,18,25,0
Greenhithe,"Greenhithe School Hall, Sunnyview Road entrance, next to 6 Sunnyview Road",1,4,1,2,20,28,0
Hobsonville Point,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",0,0,0,0,8,8,0
Long Bay,"Long Bay College, 20 Ashley Avenue",21,215,25,48,1127,1436,7
Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",6,35,8,3,181,233,4
,"Rangitoto College, 564 East Coast Road",21,206,11,40,1083,1361,9
Milford,"Milford Shopping Centre, 24 Milford Road",8,62,4,21,307,402,3
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,11,2,1,47,61,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,8,0,5,33,46,1
Northcote,"Northcote Citizens Centre Hall, 1 Ernie Mays Street (corner Ernie Mays Street & College Road)",3,0,0,1,22,26,1
Orewa,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",0,7,0,6,28,41,0
Rosedale,"Kowhai Kids Centre, 265 Albany Highway",0,32,1,12,193,238,3
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",4,15,5,3,56,83,2
,"The Warehouse Silverdale, Technology Section, 61 Silverdale Street",0,7,1,4,47,59,1
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",2,42,2,7,172,225,1
Taken in East Coast Bays,"Care Homes, Team 1",2,87,2,10,243,344,15
Torbay,"St Mary by the Sea Church, 168 Deep Creek Road",56,421,47,62,1396,1982,16

Voting Places
Albany,"Albany Community Hall, (corner Albany Highway & Library Lane)",2,34,7,9,102,154,2
,"Albany Community Hub, 575 Albany Highway",3,38,7,4,121,173,1
,"Albany Primary School, 6 Bass Road",3,70,6,15,224,318,0
,"Pinehurst School, 75 Bush Road",13,68,4,14,222,321,2
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",15,55,11,17,201,299,4
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",11,58,4,21,191,285,4
Browns Bay,"Browns Bay School, 4 Masterton Road",19,169,22,20,521,751,6
,"Heart of the Bays, 2 Glen Road",14,163,34,17,463,691,10
,"St Anne's Hall, 1 Glencoe Road",11,124,20,28,300,483,7
Glenfield,"Girl Guides Glenfield, next to Glenfield War Memorial Hall, 10 Hall Road",0,3,0,1,2,6,0
,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",0,6,0,1,16,23,2
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",0,5,1,0,14,20,0
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",1,1,0,0,4,6,1
Greenhithe,"Greenhithe Community Hall, 7 Greenhithe Road",1,1,0,2,3,7,0
,"Upper Harbour Primary School, 140 Kyle Road",4,27,0,3,120,154,2
Long Bay,"Long Bay College, 20 Ashley Avenue",21,96,16,18,446,597,2
Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",0,9,1,3,40,53,0
,"Rangitoto College, 564 East Coast Road",11,111,13,25,291,451,5
,"Windsor Park Baptist Church, 550 East Coast Road",8,54,5,11,106,184,2
Milford,"Milford Shopping Centre, 24 Milford Road",0,1,0,4,20,25,0
Murrays Bay,"Murrays Bay Intermediate School, 37 Sunrise Avenue",14,65,13,8,282,382,2
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,0,0,0,9,9,0
Northcote,"Northcote Citizens Centre Hall, 1 Ernie Mays Street (corner Ernie Mays Street & College Road)",0,4,0,0,5,9,0
Northcross,"Sherwood Primary School, 40 Sartors Avenue",21,67,7,17,305,417,5
Orewa,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",0,1,2,0,5,8,0
Oteha,"Oteha Valley School, 2 Medallion Drive",15,113,4,16,345,493,5
Pinehill,"Pinehill School, 2 Hugh Green Drive",9,100,11,27,359,506,7
Redvale,"Graceway Baptist Church, 1092 East Coast Road",20,35,20,12,176,263,3
