Party and Electorate Candidate Votes Recorded at each Voting Place
Takanini 48,Candidate Vote Details
,,"AH CHEE, Raeburn Paul","LEAVASA, Anae Neru","NAKHLE, Rima Jillian","TULLOCH, Lynley Kim",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",57,152,717,8,934,14
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",8,27,85,2,122,1
Burswood,"China Town, 262 Ti Rakau Drive",24,17,210,2,253,16
Clendon Park,"PAK'nSAVE Clendon, 16 Robert Ross Place",8,154,101,6,269,8
,"Te Matariki Clendon Community Centre & Library, 17 Palmers Road",1,27,18,1,47,0
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",26,241,206,13,486,31
,"St Peter Chanel Church, 44 Boundary Road",10,134,91,5,240,5
,"Tupu Youth Library, 102 Dawson Road",14,141,79,3,237,7
Flat Bush,"Old Flat Bush School Hall, (corner Murphy's Road & Flat Bush Road)",11,65,190,9,275,5
,"Ormiston Mall, Shop near entrance to New World, 242 Ormiston Road",203,599,2314,35,3151,63
Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",55,426,575,17,1073,28
Highland Park,"Highland Park Library, 16 Highland Park Drive",2,8,40,1,51,2
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",5,10,34,2,51,0
Māngere,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",0,11,6,0,17,1
,"PAK'nSAVE Māngere, (corner Bader Drive & Orly Avenue)",1,15,14,1,31,1
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",0,4,2,0,6,0
Māngere Airport Oaks,"The Warehouse Auckland Airport, 1 John Goulter Drive",1,19,41,0,61,3
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",13,77,110,5,205,6
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",67,536,899,28,1530,42
Manurewa,"Manurewa Library, Community Room, 7 Hill Road",47,550,614,28,1239,42
,"Southmall Manurewa, Centre Court, 185-201 Great South Road",4,51,20,1,76,4
,"St Anne's Catholic Church Hall, 126 Russell Road",6,92,38,5,141,3
,"St Luke's Anglican Church Hall, 3 Russell Road",6,148,111,3,268,11
Manurewa East,"Manurewa Scout Hall, 23 Alfriston Road, Gallahar Park entrance",10,181,168,4,363,13
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",4,1,23,0,28,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",3,13,62,8,86,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",3,12,24,2,41,1
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",1,3,6,1,11,1
Ōtara,"Te Puke ō Tara Community Hall, 20 Newbury Street",0,17,14,0,31,3
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",7,9,52,1,69,0
Papakura,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",13,50,91,2,156,5
,"South Auckland Car Club, Wellington Park, 1 Great South Road",10,31,71,5,117,5
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",7,57,72,3,139,2
Randwick Park,"Randwick Park School Hall, Magic Way entrance",17,145,179,7,348,14
Takanini,"Bruce Pulman Park, Arena Cafe, Gate A, 90 Walters Road",35,206,601,20,862,28
,"Takanini Hall, 8 Takanini Road",68,437,796,29,1330,27
,"The Warehouse Takanini, 30 Walters Road",82,544,1359,26,2011,39
Taken in Takanini,"Care Homes Team, Team 1",2,36,35,2,75,9
,"Pop-up Voting Services, Various Locations",0,11,12,0,23,2
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",33,241,830,17,1121,22
Wattle Downs,"Elim Christian Centre, Gate 1 & 2, 198 Mahia Road",8,77,115,4,204,2

Voting Places
Botany Downs,"Botany Downs Secondary College, 575 Chapel Road",6,22,65,3,96,1
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",20,168,116,5,309,28
Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",5,7,37,1,50,0
,"Chapel Downs Primary School, 170 Dawson Road",13,126,167,11,317,3
,"Dawson Primary School, 15 Haumia Way",1,42,19,0,62,0
,"Kia Aroha College, 51 Othello Drive",4,68,15,1,88,2
,"Mission Heights Primary School Hall, 103 Jeffs Road",34,146,476,8,664,25
,"Old Flat Bush School Hall, (corner Murphy's Road & Flat Bush Road)",25,113,288,5,431,13
,"Ormiston Activity Centre, Barry Curtis Park, Chapel Road",6,22,42,1,71,1
,"Ormiston Senior College, Gym, 275 Ormiston Road",58,148,430,14,650,14
,"Sancta Maria College, 319 Te Irirangi Drive",7,24,61,1,93,3
Goodwood Heights,"Everglade School Hall, 64 Everglade Drive",54,357,406,28,845,19
Highland Park,"Highland Park Library, 16 Highland Park Drive",0,0,8,0,8,0
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",2,3,7,0,12,0
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",6,68,86,4,164,1
Manurewa,"Alfriston School, (corner Mill Road & Alfriston Road)",9,23,80,3,115,2
,"Elmwood Village, Community Centre, 131 Hill Road",9,46,63,2,120,4
,"Finlayson Park School Hall, 87 John Walker Drive",0,7,4,1,12,1
,"Hillpark School Hall, 57 Grande Vue Road",2,23,29,2,56,2
,"James Cook High School Hall, 12 Dr Pickering Avenue",1,32,15,4,52,3
,"Manurewa Library, Community Room, 7 Hill Road",7,102,42,10,161,9
,"Manurewa South School Hall, Totara Road entrance",12,59,39,0,110,4
,"St Anne's Catholic Church Hall, 126 Russell Road",3,26,12,2,43,1
,"St Luke's Anglican Church Hall, 3 Russell Road",3,67,24,2,96,4
Manurewa East,"Greenmeadows Intermediate School, Technology Block, Ferguson Street entrance",4,68,23,2,97,2
,"Manurewa East School Hall, Gate 6, 10 Scotts Road",1,78,34,1,114,8
,"Manurewa Scout Hall, 23 Alfriston Road, Gallahar Park entrance",4,71,33,2,110,3
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",1,2,7,0,10,0
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",4,7,19,0,30,2
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",0,5,7,2,14,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,2,6,0,9,0
Ōtara,"Te Puke ō Tara Community Hall, 20 Newbury Street",0,11,4,0,15,1
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",1,5,7,0,13,0
Papakura,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",0,18,12,0,30,1
,"Papakura Normal School Hall, 49 Walters Road, Walters Road entrance",4,48,108,3,163,1
,"South Auckland Car Club, Wellington Park, 1 Great South Road",3,16,21,1,41,2
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",1,11,8,0,20,0
Randwick Park,"Alfriston College, Gymnasium, 550 Porchester Road",26,123,129,5,283,8
,"Randwick Park School Hall, Magic Way entrance",13,159,57,6,235,7
Somerville,"Somerville Intermediate School, 39 Somerville Road",0,2,5,0,7,0
Takanini,"Conifer Grove School Hall, 70 Walter Strevens Drive",64,259,503,26,852,8
,"Holy Trinity Catholic Primary School Hall, 137 Airfield Road",6,51,78,4,139,3
,"Takaanini Library and Community Hub - Te Wao Nui a Tane, 30 Walters Road",14,147,233,10,404,12
,"Takanini Hall, 8 Takanini Road",22,181,146,6,355,17
,"Takanini School Hall, Old Park Place entrance",2,39,39,4,84,3
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",5,42,81,4,132,5
,"The Gardens School Hall, 101 Charles Prevost Drive",24,156,369,8,557,2
Wattle Downs,"Clayton Park School Hall, 187 Coxhead Road, Wattle Farm Road entrance",42,256,304,17,619,19
,"Elim Christian Centre, Gate 1 & 2, 198 Mahia Road",6,29,29,5,69,1
,"Reremoana School Hall, 15 Scotsmoor Drive",38,175,369,17,599,5

,Overseas Special Votes Including Defence Force - Takanini,60,191,435,16,702,12
,Special Votes BEFORE Polling Day - Takanini,304,1955,3336,110,5705,362
,Special Votes ON Polling Day - Takanini,228,1772,1973,73,4046,241
,Voting places where less than 6 votes were taken,0,8,5,0,13,0

,Takanini Total,2037,13161,21936,736,37870,1332

,Valid Candidate Votes plus Informal Candidate Votes,,39202

Electorate Candidate Valid Votes,Party,,,"NAKHLE, Rima Jillian - majority 8775"
"AH CHEE, Raeburn Paul",ACT New Zealand,2037,5.38
"LEAVASA, Anae Neru",Labour Party,13161,34.75
"NAKHLE, Rima Jillian",National Party,21936,57.92
"TULLOCH, Lynley Kim",Animal Justice Party ,736,1.94
