Party and Electorate Candidate Votes Recorded at each Voting Place
New Lynn 28,Candidate Vote Details
,,"ABEL, Stephen George Bremner","ALVAREZ DE LUGO COLMENARES, Juan Jose","GARCIA, Paulo Reyes","MANN, Phineas","OLIVER, Stephen Thomas","RUSSELL, Deborah Faye",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Auckland University Students Association, 4 Alfred Street",23,10,13,0,0,36,82,1
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",18,5,31,1,0,26,81,1
Avondale,"Avondale Community Centre, 99 Rosebank Road",119,30,272,2,7,446,876,19
,"St Jude's Anglican Church Hall, 27 St Jude Street",60,36,187,3,11,224,521,6
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",133,115,1181,13,24,632,2098,46
,"Blockhouse Bay Community Church, 76 Dundale Avenue",40,31,287,4,7,166,535,10
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",7,3,23,0,1,23,57,1
Glen Eden,"Methodist Centre of the West Church Hall, 302 West Coast Road",51,23,134,1,13,89,311,4
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",37,19,137,3,5,132,333,3
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",22,8,33,0,1,38,102,0
Grafton,"Auckland City Hospital, Building 32, A+ Trust Room, 2 Park Road",12,6,39,0,1,57,115,3
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",8,2,10,0,2,19,41,0
Henderson,"Sturges West Community House, 58 Summerland Drive",13,11,57,0,5,43,129,1
,"Te Pai Centre, 31-35 Te Pai Place",16,18,54,0,4,43,135,1
,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",12,6,33,0,1,46,98,4
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",42,28,137,4,2,119,332,6
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",47,15,114,2,7,105,290,2
Huapai,"St Patrick's Church, 380 Main Road",3,1,4,0,2,1,11,0
Kumeū,"Kumeū Community Centre, 35 Access Road",13,9,24,0,1,25,72,0
Lynfield,"Lynfield Community Church, 35 The Avenue",7,2,23,0,2,5,39,3
Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",8,7,17,1,0,21,54,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",42,15,161,1,6,87,312,8
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",13,4,41,3,0,34,95,2
,"Wesley Community Centre, Tarapunga Room, 740 Sandringham Road Extension",6,2,34,0,0,26,68,1
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",517,298,2492,29,85,2198,5619,131
,"Pan African Community Centre, 3131 Great North Road",18,13,64,1,1,60,157,3
,"Suburbs Rugby Football Club, 130 Portage Road",109,77,603,5,27,499,1320,10
,"The Salvation Army Church Hall, 32 Delta Avenue",33,12,105,6,9,164,329,12
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",17,8,53,0,2,23,103,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",8,2,27,0,1,14,52,0
Oratia,"Hoani Waititi Marae, 451 West Coast Road",3,0,0,0,0,3,6,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",11,1,15,0,3,12,42,0
Rānui,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",51,34,144,0,15,143,387,8
Taken in New Lynn,"Care Homes, Team 1",5,3,31,0,3,58,100,10
Te Atatū Peninsula,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",8,0,6,1,2,16,33,0
Te Atatū South,"St Giles Presbyterian Church, 1 Flanshaw Road",1,5,16,0,0,3,25,1
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",4,1,15,1,0,9,30,0
Titirangi,"The Crossing - Te Whakawhitia, Konini House, 30/44 Kaurilands Road",56,19,183,0,16,125,399,0
,"Titirangi War Memorial Hall, 500 South Titirangi Road",384,164,967,2,78,1084,2679,17
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",9,7,17,0,1,27,61,3
Western Springs,"Greek Community and Orthodox Parish of Auckland, 106-108 Western Springs Road",6,1,6,0,2,7,22,0
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",25,17,85,0,8,51,186,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",31,24,123,3,6,55,242,3

Voting Places
Auckland City,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",1,0,2,0,1,6,10,0
Avondale,"Avondale Community Centre, 99 Rosebank Road",25,13,77,0,2,156,273,0
,"Avondale Intermediate School Hall, 12 Holly Street",14,0,16,0,1,24,55,0
,"Avondale Primary School Hall, 4 Crayford Street West",62,16,65,6,3,249,401,6
,"Rosebank School Hall, 217 Rosebank Road",5,3,5,0,0,12,25,0
,"St Jude's Anglican Church Hall, 27 St Jude Street",28,5,51,2,6,138,230,3
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",44,36,241,5,17,150,493,12
,"Blockhouse Bay Community Church, 76 Dundale Avenue",19,7,53,0,3,67,149,3
,"Blockhouse Bay Primary School Hall, 584 Blockhouse Bay Road",71,34,275,1,15,162,558,14
,"Chaucer School, Big Hall, 8 Falkirk Street, Falkirk Street entrance",33,7,114,1,6,120,281,1
,"Glenavon School Hall, 340 Blockhouse Bay Road",34,14,122,4,8,182,364,5
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",4,1,8,0,0,8,21,1
