Party and Electorate Candidate Votes Recorded at each Voting Place
Panmure-Ōtāhuhu 37,Candidate Vote Details
,,"COLLINS, Fa'anānā Efeso","MODKOVA, Antonia Krassimirova","MOKARAKA, Karl","RANDHAWA, Navtej Singh","ROBB, James","SALESA, Jennifer",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",17,8,2,38,2,27,94,0
Burswood,"China Town, 262 Ti Rakau Drive",2,4,0,33,0,18,57,7
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",1,0,2,2,0,9,14,0
,"St Peter Chanel Church, 44 Boundary Road",17,7,2,16,1,72,115,1
,"Tupu Youth Library, 102 Dawson Road",29,2,4,12,2,275,324,6
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",19,12,1,44,0,23,99,1
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",109,44,12,169,5,473,812,20
,"Ruapōtaka Marae, 106 Line Road",30,3,0,28,1,158,220,13
Māngere,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",16,1,3,7,2,39,68,1
,"PAK'nSAVE Māngere, (corner Bader Drive & Orly Avenue)",12,1,0,8,1,53,75,3
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",4,0,0,1,0,16,21,0
Māngere Airport Oaks,"The Warehouse Auckland Airport, 1 John Goulter Drive",10,1,1,22,0,32,66,3
Māngere East,"Metro Theatre, 362 Massey Road",4,2,0,9,0,34,49,1
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",9,5,3,23,0,47,87,1
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",84,18,9,161,2,303,577,15
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",14,9,2,44,1,39,109,3
,"Salvation Army Community Centre, 18 Allright Place",18,8,2,44,0,69,141,3
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",187,72,20,477,11,405,1172,26
,"The Warehouse Mt Wellington Lunn Avenue, 101 Lunn Avenue",54,33,4,118,3,92,304,5
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",16,6,0,27,2,12,63,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",7,4,0,11,0,11,33,0
Onehunga,"Onehunga Community Centre, 83 Church Street",10,1,0,7,3,7,28,2
,"Oranga Community Centre, 52 Waitangi Road",0,0,0,5,0,4,9,0
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",172,27,12,210,8,648,1077,19
,"Ōtāhuhu Town Hall Community Centre, 10 High Street",101,22,9,139,8,458,737,15
Ōtara,"MIT Ōtara Campus, Pasifika Community Centre, Gate 12, 53 Ōtara Road",29,0,1,10,0,75,115,5
,"Ōtara Library, (corner East Tamaki Road & Bairds Road)",112,5,17,33,4,629,800,13
,"Te Puke ō Tara Community Hall, 20 Newbury Street",60,3,8,12,2,293,378,7
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",24,15,2,67,2,69,179,3
Panmure,"Mt Wellington Bowling Club, 3 Matapan Road",26,11,5,37,1,82,162,2
,"Panmure Library, 7-13 Pilkington Road",134,80,4,324,8,444,994,34
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",201,107,23,809,17,1075,2232,65
,"Indian Association Manukau, Diversity Centre, 25 Tui Road",17,9,4,86,1,75,192,6
,"Papatoetoe War Memorial Library, 30 Wallace Road",55,18,2,148,1,253,477,14
,"Swaminarayan Complex, 1/7 Wilmay Avenue",51,24,3,264,2,117,461,6
,"Youthline Manukau, 145 Saint George Street",21,12,2,64,2,52,153,5
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",3,0,0,0,0,4,7,0
,"Remuera Baptist Church, 641 Remuera Road",1,0,0,4,0,1,6,0
St Johns,"Auckland Netball Centre, 7 Allison Ferguson Drive",12,9,0,21,0,10,52,1
Taken in Panmure-Ōtāhuhu,"Mobile Team, Team 1",10,6,0,25,0,72,113,4

Voting Places
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",7,0,0,6,0,5,18,1
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",4,0,0,12,0,3,19,1
Flat Bush,"Dawson Primary School, 15 Haumia Way",23,2,4,9,2,123,163,2
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",23,3,5,21,2,84,138,2
,"Ruapōtaka Marae, 106 Line Road",11,0,1,4,0,48,64,4
,"Tāmaki College, 109-115 Taniwha Street",3,1,0,2,0,14,20,1
Māngere,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",1,0,0,1,0,5,7,1
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",2,0,0,3,0,7,12,2
Māngere East,"Māngere East Primary School, 21 Yates Road",2,0,0,0,0,9,11,1
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",16,2,2,25,0,52,97,4
Mt Wellington,"Bailey Road School Hall, 19 Bailey Road",3,4,0,10,3,22,42,2
,"Panmure District School Hall, 87 Mt Wellington Highway",16,17,3,56,1,45,138,1
,"Stanhope Road School Hall, 2B Harris Road",10,9,0,17,2,22,60,0
,"Sylvia Park School Hall, 3 Longford Street",15,4,0,16,0,30,65,4
,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",36,14,0,52,0,69,171,5
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",4,1,0,4,0,2,11,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",1,0,0,4,0,6,11,0
Onehunga,"Onehunga Community Centre, 83 Church Street",2,0,0,3,0,10,15,1
,"Oranga Community Centre, 52 Waitangi Road",1,1,0,4,0,2,8,1
Ōtāhuhu,"Fairburn School, 10 Pukeora Road",45,13,4,42,1,122,227,9
,"Otahuhu College, 74-78 Mangere Road",37,10,3,40,1,103,194,8
,"Ōtāhuhu Intermediate School, 22-24 Luke Street",53,14,3,65,2,201,338,6
,"Otahuhu Primary School, 41 Station Road",39,11,1,55,4,160,270,18
,"Ōtāhuhu Town Hall Community Centre, 10 High Street",68,11,2,71,5,326,483,14
,"Panama Road School, 139 Panama Road",79,27,9,82,6,302,505,18
Ōtara,"Bairds Mainfreight Primary School, 12 Edward Avenue",41,4,4,13,4,152,218,6
,"Ferguson Intermediate School, 20-40 Ferguson Road",85,3,11,27,1,346,473,8
,"Mayfield School, 12 Pearl Baker Drive",65,1,5,14,1,252,338,11
,"Sir Edmund Hillary Collegiate, 2 Franklyne Road",57,1,1,17,0,163,239,6
,"Te Puke ō Tara Community Hall, 20 Newbury Street",64,3,5,13,2,219,306,10
,"Wymondley Road School, 77 Wymondley Road",29,0,3,7,1,118,158,6
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",4,6,1,14,0,13,38,2
Panmure,"Panmure Bridge Primary School, 76 Kings Road",38,34,7,63,1,117,260,2
,"Ruapotaka Primary School, 10A Taratoa Street",29,5,1,5,1,48,89,2
,"Te Whare Rangimarie, 7-13 Pilkington Road",64,23,10,91,6,165,359,12
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",32,16,5,152,3,176,384,6
,"Papatoetoe Central Primary School, 317 Great South Road",31,12,5,77,2,88,215,1
,"Papatoetoe East Primary School, 138 Tui Road",60,24,3,137,7,220,451,15
,"Papatoetoe High School, 19 Nicholson Avenue",27,4,0,68,2,87,188,1
,"Papatoetoe Intermediate School, 175 Motatau Road",44,17,4,87,1,159,312,13
,"Papatoetoe West School Hall, 1-3 Hillcrest Road",9,3,0,20,1,39,72,0
,"Puhinui School Hall, 116 Puhinui Road",6,2,1,15,1,31,56,0
,"Youthline Manukau, 145 Saint George Street",28,4,3,49,1,74,159,8
Point England,"Point England Primary School, 130 Point England Road",38,13,4,42,1,88,186,3
Remuera,"Edmund Hillary Retirement Village Reception Building, 221 Abbotts Way",2,0,0,3,0,1,6,0
Stonefields,"Stonefields School, 81 Tihi Street",5,6,0,12,0,10,33,0

,Overseas Special Votes Including Defence Force - Panmure-Ōtāhuhu,113,36,7,135,3,171,465,7
,Special Votes BEFORE Polling Day - Panmure-Ōtāhuhu,654,177,70,1365,47,2227,4540,202
,Special Votes ON Polling Day - Panmure-Ōtāhuhu,586,110,41,797,28,2045,3607,126
,Voting places where less than 6 votes were taken,2,1,0,2,0,2,7,0

,Panmure-Ōtāhuhu Total,4312,1238,387,7388,235,15358,28918,863

,Valid Candidate Votes plus Informal Candidate Votes,,29781

Electorate Candidate Valid Votes,Party,,,"SALESA, Jennifer - majority 7970"
"COLLINS, Fa'anānā Efeso",Green Party,4312,14.91
"MODKOVA, Antonia Krassimirova",ACT New Zealand,1238,4.28
"MOKARAKA, Karl",Vision New Zealand,387,1.34
"RANDHAWA, Navtej Singh",National Party,7388,25.55
"ROBB, James",Workers Now,235,0.81
"SALESA, Jennifer",Labour Party,15358,53.11
