Party and Electorate Candidate Votes Recorded at each Voting Place
Botany 4,Candidate Vote Details
,,"ARMSTRONG, John","BURNS, Bo","DE BOER, Dieuwe","LUXON, Christopher","McNEIL, Robert John","SINGH, Kharag",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",1,3,0,15,0,3,22,0
Botany,"Botany Library, Level 1, Sunset Terrace",76,307,37,4945,54,1006,6425,78
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",19,63,13,1100,12,251,1458,18
,"Pakuranga Golf Club, 199 Botany Road",15,76,8,1197,9,180,1485,17
Burswood,"China Town, 262 Ti Rakau Drive",17,48,6,838,10,116,1035,49
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",0,0,2,11,0,16,29,1
,"St Peter Chanel Church, 44 Boundary Road",4,1,3,67,5,107,187,3
,"Tupu Youth Library, 102 Dawson Road",19,12,12,127,8,629,807,27
Flat Bush,"Old Flat Bush School Hall, (corner Murphy's Road & Flat Bush Road)",0,3,1,52,0,22,78,2
,"Ormiston Mall, Shop near entrance to New World, 242 Ormiston Road",17,48,7,1174,16,376,1638,18
Highland Park,"Fencible AFC Clubrooms, William Green Domain, 590 Pakuranga Road",1,12,1,119,2,26,161,2
,"Highland Park Library, 16 Highland Park Drive",11,91,13,828,16,207,1166,17
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",26,140,6,1280,19,294,1765,25
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",1,2,0,36,1,14,54,0
Manukau City Centre,"MIT Manukau Campus, The Atrium, (corner Manukau Station Road & Davies Avenue)",2,2,1,38,1,28,72,0
,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",5,6,3,146,2,129,291,12
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",16,138,11,1216,14,236,1631,35
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",5,13,1,201,2,53,275,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",1,2,0,59,3,15,80,2
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,1,1,38,1,8,49,0
Ōtara,"Te Puke ō Tara Community Hall, 20 Newbury Street",2,1,0,11,0,40,54,1
Pakuranga,"Auckland Taiwanese Presbyterian Church, 158 Pakuranga Road",0,2,0,5,0,2,9,0
,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",2,15,0,192,3,39,251,2
,"Trinity Methodist Church Hall, 474 Pakuranga Road",2,15,1,68,2,26,114,1
Pakuranga Heights,"EFKS Pakuranga, CCC of Samoa, 229 Ti Rakau Drive",1,5,0,57,0,19,82,0
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",0,0,0,23,0,24,47,2
Taken in Botany,"Care Homes, Team 1",1,8,1,124,1,48,183,6
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",1,2,0,16,1,6,26,0
Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",2,1,0,15,0,1,19,1

Voting Places
Beachlands,"Beachlands Medical Centre, next to Caci Clinic, 129 Beachlands Road",0,3,0,3,0,2,8,0
Botany,"Elim Christian College, Golflands Campus, 94 Golfland Drive",14,41,4,292,0,70,421,7
Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",11,42,2,255,14,85,409,4
,"Botany Downs Secondary College, 575 Chapel Road",18,60,7,765,15,236,1101,19
,"Elim Christian Centre, 159 Botany Road",22,33,9,349,10,108,531,11
Bucklands Beach,"Bucklands Beach Intermediate School Hall, 247 Bucklands Beach Road",0,2,0,11,0,1,14,0
Burswood,"East City Wesleyan Church, 219 Burswood Drive",8,17,5,135,4,68,237,5
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",0,0,0,4,0,10,14,2
Cockle Bay,"Cockle Bay Playcentre, 17 Pah Road",11,23,2,240,9,59,344,3
Dannemora,"Point View Primary School, 25 Kilkenny Drive",15,50,3,526,7,85,686,13
,"Willowbank School, 56 Middlefield Drive",25,42,3,546,17,125,758,13
Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",12,24,10,487,8,149,690,13
,"Chapel Downs Primary School, 170 Dawson Road",14,9,5,138,7,193,366,2
,"Dawson Primary School, 15 Haumia Way",8,6,12,33,3,282,344,6
,"Kia Aroha College, 51 Othello Drive",10,7,4,43,5,176,245,5
,"Mission Heights Primary School Hall, 103 Jeffs Road",0,3,1,51,1,23,79,1
,"Old Flat Bush School Hall, (corner Murphy's Road & Flat Bush Road)",2,3,0,40,0,17,62,1
,"Ormiston Activity Centre, Barry Curtis Park, Chapel Road",0,3,1,49,1,55,109,2
