Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Candidate Vote Details
,,"TANGAERE-MANUEL, Cushla","TUHAKARAINA, Ueraata Butch-Keegan","WHAITIRI, Meka",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
East Coast
Gisborne,"EIT Tairawhiti, 290 Palmerston Road",48,3,34,85,1
,"Gisborne Hospital, Poutama Room, 421 Ormond Road",52,0,14,66,1
,"HB Williams Memorial Library, 35 Peel Street",142,5,68,215,4
,"House of Breakthrough, 7 Potae Avenue",203,6,68,277,12
,"Kaiti Hub, TaiTech, 502 Wainui Road",619,20,263,902,15
,"Tairawhiti Museum, 10 Stout Street",11,0,8,19,0
,"Te Wananga o Aotearoa, 630 Childers Road",61,0,25,86,0
,"Te Whakaruruhau Kōhanga Reo, 170 Tyndall Road",9,0,6,15,0
,"Treble Court, Peel Street",431,14,192,637,21
,"Waikirikiri School, 7 Pickering Street",11,1,10,22,0
Ruatoria,"Te Uepohatu Marae, Whakarua Park Road",62,0,5,67,0
Taken in East Coast,"Gisborne Mobile Team, Team 1",106,1,38,145,1
Te Puia Springs,"GDC Service Centre, 4746 Waiapu Road",31,0,4,35,1
Tolaga Bay,"Tolaga Bay Area School, 24 Resolution Street",64,1,8,73,1
Hutt South
Boulcott,"Knox Presbyterian Church Hall, 574 High Street",3,1,9,13,1
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",100,13,136,249,9
,"St James Anglican Church Hall, 71 Woburn Road",6,0,2,8,0
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",11,0,6,17,0
Melling,"Hutt City Church, 31B Marsden Street",3,0,3,6,0
Moera,"Moera Community Hall, 107 Randwick Crescent",2,1,3,6,0
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",19,0,13,32,3
,"Petone Working Men's Club, 47 Udy Street",13,1,10,24,1
Seaview,"Kōkiri Marae, 7-9 Barnes Street",23,0,32,55,0
Wainuiomata,"Wainuiomata War Memorial Hall, 1 Queen Street",222,7,191,420,9
Waiwhetū,"Waiwhetū Marae Meeting House, 21 Puketapu Grove",6,1,16,23,0
Napier
Greenmeadows,"Greenmeadows East Community Hall, 83 Tait Drive",19,1,23,43,0
Maraenui,"Roopu A Iwi Trust, 32 Bledisloe Road",23,0,15,38,1
Marewa,"Marewa Shopping Centre, Marewa Books, 118 Kennedy Road",194,13,145,352,14
Napier South,"PAK'nSAVE Napier, 25 Munroe Street",336,13,261,610,16
Taken in Napier,"Care Homes, Team 1",7,0,9,16,0
Tamatea,"Tamatea Community Church, 1 York Avenue",72,4,57,133,5
Taradale,"Taradale Town Hall, 8 Meeanee Road",131,6,90,227,8
Wairoa,"Tapuae Sports Club, 58 Hunterbrown Street",30,1,26,57,1
,"Wairoa Community Centre, 33 Marine Parade",35,1,25,61,1
,"Wairoa War Memorial Hall, 93 Queen Street",340,7,224,571,10
Remutaka
Avalon,"Avalon Public Hall, 14 Mabey Road",7,0,11,18,1
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",2,1,4,7,0
Naenae,"Naenae Library, Hillary Court",103,15,79,197,7
,"Te Mangungu Marae, 77 Rata Street",12,1,9,22,0
Silverstream,"Silverstream School, 1 Whitemans Road",15,0,12,27,1
Stokes Valley,"Koraunui Marae Hall, 146 Stokes Valley Road",16,2,13,31,0
Taitā,"Walter Nash Centre, 26 Taine Street",92,7,65,164,8
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",184,11,160,355,12
Tukituki
Camberley,"Camberley Community Centre, 703 Kiwi Street",79,1,79,159,12
Clive,"Clive Community Hall, 162 Main Road",55,6,49,110,4
Flaxmere,"Flaxmere Community Centre, 30 Swansea Road",414,37,408,859,12
Hastings,"Hastings Sports Centre, 503 Railway Road",206,19,190,415,6
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",82,6,64,152,5
Mahora,"St John's Presbyterian Church, Jireh Hall, 608 Frederick Street",139,12,114,265,6
Ōtāne,"Otane Hall, 27 Higginson Street",10,3,5,18,3
Taken in Tukituki,"Hawkes Bay Hospital Team, Team 3",12,0,12,24,1
,"Pop-up Voting Services - Team 1, Various Locations",39,1,24,64,0
,"Pop-up Voting Services - Team 2, Various Locations",59,4,58,121,2
Whakatu,"Whakatu Hall, 5 Station Road",19,2,47,68,0
Wairarapa
