Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Candidate Vote Details
,,"ARBUCKLE, Jamie Arthur","BROWN, Shaun Keith","CAMPBELL, Sandra","COLELLO, Natalie Maria","DEWHIRST, Emma Marie","GREENSLADE, David John","GRIFFITHS, Keith William","HOWARD, Thomas Edward (Ted)","McCASKEY, John","McCUBBIN, Richard Anthony","SMITH, Stuart Tayler",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Amberley,"Hurunui Library, RSA Room, 111 Carters Road (State Highway 1)",142,4,19,55,451,12,125,1,19,163,1147,2138,21
Belfast,"Belfast Salvation Army, 794 Main North Road",0,0,0,0,2,0,2,0,0,2,5,11,0
Blenheim,"Marlborough Library - Te Kahu o Waipuna, 15 High Street",499,2,18,28,1267,23,255,5,7,236,2409,4749,44
,"Springlands Mall, 133 Middle Renwick Road",180,0,7,21,412,6,100,4,2,63,935,1730,14
,"Stadium 2000 Programmes Room, 26 Redwood Street entrance",313,4,9,21,563,20,145,1,2,97,1339,2514,17
,"St Christopher's Church Hall, 92 Weld Street, Redwoodtown",331,0,14,20,467,7,82,5,0,44,792,1762,26
Cheviot,"Cheviot Library and Service Centre, 39 Hall Street",11,0,5,2,49,0,22,0,0,37,179,305,4
Christchurch Central City,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",2,0,0,2,2,0,3,0,0,2,12,23,0
Hanmer Springs,"Hanmer Springs Community Library and Hall, Cheltenham Street (corner Amuri Avenue)",16,1,1,13,65,0,20,1,0,27,159,303,2
Havelock,"Havelock School Hall, 47 Main Road",12,0,1,3,28,1,10,0,0,6,51,112,1
Kaiapoi,"Kaiapoi Library and Service Centre, 176 Williams Street",4,0,4,2,7,0,2,0,1,5,16,41,0
Kaikōura,"Te Whare Putea Heartlands, 105 Beach Road",71,3,12,14,308,4,56,19,0,71,628,1186,17
Lincoln,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",1,0,0,0,2,0,0,0,0,0,29,32,0
Oxford,"Oxford Jaycee's Hall, 56 Main Street",3,0,0,0,8,0,2,1,1,2,11,28,0
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",2,0,2,0,10,1,4,0,0,3,26,48,0
Picton,"Mariners Mall, Shop 17, 100 High Street",233,2,9,34,504,10,125,2,3,98,920,1940,21
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",60,1,20,22,153,1,62,1,2,53,474,849,5
,"Rangiora Public Library, 141 Percival Street",15,1,14,1,50,2,21,0,1,32,202,339,2
Renwick,"Renwick Community Memorial Hall, 27 High Street",45,0,2,7,78,3,39,1,1,19,294,489,5
Taken in Kaikōura,"Defence Force Team, RNZAF Base Woodbourne",8,1,0,0,6,1,5,0,0,3,33,57,0
,"Hospital and Care Homes, Team 1 - Marlborough",44,0,1,1,92,1,5,1,1,6,119,271,2
,"Hospital and Care Homes, Team 2 - Hurunui",3,0,0,0,5,0,0,0,1,0,7,16,2
,"Pop-up Voting Services - Marlborough, Various Location",18,0,1,0,33,0,18,0,0,6,84,160,0
Woodend,"Woodend Community Centre, 6A School Road",5,0,5,2,15,0,1,0,1,6,48,83,3

Voting Places
Amberley,"Amberley School, Rewi Alley Hall, Douglas Road (corner Lawcocks Road)",28,0,4,11,60,2,22,1,5,22,149,304,4
,"Hurunui Library, RSA Room, 111 Carters Road (State Highway 1)",39,1,17,20,87,3,32,1,6,45,243,494,5
Ashley,"Ashley Rakahuri School, 4 Boundary Road (corner Fawcetts Road)",21,1,17,14,79,0,33,1,3,23,242,434,6
Balcairn,"Balcairn Hall, 4 Ashbys Road",12,0,11,16,31,2,16,0,4,18,98,208,1
