Party and Electorate Candidate Votes Recorded at each Voting Place
Bay of Plenty 3,Candidate Vote Details
,,"GILLESPIE, Wendy","GRATTAN, Caitlin","LUXTON, Cameron Gib","MACMILLAN, Matthew","MURFITT, Kirsten Marie","RUTHERFORD, Tom","TAIKATO, Pare","WAHED, Md Zakaria",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Bethlehem,"Bethlehem Town Centre, former Wild South, 19 Bethlehem Road",7,3,91,74,88,520,98,0,881,15
Greerton,"Greerton Community Hall, 1247 Cameron Road",9,8,88,45,83,415,99,0,747,10
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",9,4,40,35,63,243,102,1,497,3
Hillcrest,"University of Waikato, Village Green, Gate 1, Knighton Road",0,0,1,6,0,11,2,0,20,0
Katikati,"Pātuki Manawa Digital Hub, 21 Main Road",2,0,2,2,2,3,1,0,12,0
,"The Arts Junction, 36 Main Road",0,0,3,2,1,12,1,1,20,0
Maungatapu,"Maungatapu School Library, 164 Maungatapu Road",1,1,24,17,15,137,47,1,243,1
Mount Maunganui,"Arataki Community Centre, Zambuk Way, off Grenada Street",4,8,88,88,105,792,256,5,1346,20
,"Bayfair Shopping Centre, outside Barkers, 19 Girven Road (corner Maunganui Road)",12,12,146,165,140,1080,393,8,1956,33
,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",20,14,207,197,165,1309,404,10,2326,28
,"Mount Maunganui Senior Citizens' Hall, 345 Maunganui Road",2,1,43,43,29,258,50,5,431,3
,"St Mary's Anglican Church Hall, 33 Girven Road (corner Marlin Street)",4,0,17,22,17,126,42,4,232,1
,"Whareroa Marae, 25 Taiaho Place",0,0,0,2,0,0,5,0,7,0
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",6,1,24,25,24,171,24,1,276,0
Papamoa Beach,"Evans Road Community Church, 30 Evans Road",2,4,42,43,57,257,76,1,482,6
,"Golden Sands Baptist Church, 42 Piata Street (corner Te Okuroa Drive & Stevenson Drive)",4,5,56,22,32,289,75,1,484,2
,"Papamoa Community Centre, 15 Gravatt Road",11,18,176,135,157,1224,338,6,2065,21
,"Papamoa Plaza, Food Court, 7 Gravatt Road",36,35,395,351,414,2813,945,18,5007,41
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 80 Alice Lane, off Parton Road",4,8,119,75,121,649,209,5,1190,13
Parkvale,"Fraser Cove, former Number One Shoes, 241 Fraser Street",11,11,107,55,89,510,183,3,969,10
Poike,"Changepoint Church, 131 Poike Road",20,2,84,30,100,475,135,4,850,9
,"Toi Ohomai / Te Pūkenga Windermere Campus, Lower Ātea, A Block, Gate 1, 70 Windemere Drive",1,1,17,17,13,55,26,2,132,0
Pyes Pa,"Taumata School, 145 Mortlake Heights",3,0,19,14,15,133,30,0,214,2
Taken in Bay of Plenty,"Care Homes & Community Team, Team 1",0,2,8,2,11,54,29,2,108,6
Taken in Tauranga,"Care Homes Team, Team 1",0,1,5,6,6,16,10,0,44,1
Taken in the Bay of Plenty Electorate,"Pop-up Voting Services, Various Locations",0,0,0,6,3,12,27,0,48,1
Tauranga,"Shop next to Books A Plenty, 74 Grey Street",3,5,58,62,25,301,88,1,543,3
Tauranga South,"Central Baptist Church Hall, (corner Cameron Road & Thirteenth Avenue)",4,1,22,16,17,104,27,0,191,1
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",12,13,171,96,140,965,217,6,1620,12
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",1,1,13,6,10,71,17,0,119,3
