Party and Electorate Candidate Votes Recorded at each Voting Place
Remutaka 42,Candidate Vote Details
,,"CHATTERTON, Emma May","HIPKINS, Christopher John","HURLE, Michael Stennett","NORTON, Christopher Bruce","PITIROI, Anthony","ROBERTSON, Heker Tony",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Avalon,"Avalon Public Hall, 14 Mabey Road",254,303,14,27,8,6,612,7
Boulcott,"Knox Presbyterian Church Hall, 574 High Street",17,35,0,4,1,0,57,4
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",814,1114,49,163,35,9,2184,43
,"St James Anglican Church Hall, 71 Woburn Road",14,32,3,3,0,0,52,2
Kelburn,"Victoria University, The Hub, Kelburn Parade",9,43,0,16,0,3,71,2
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",150,202,9,24,4,2,391,2
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",8,10,0,2,0,0,20,0
Melling,"Hutt City Church, 31B Marsden Street",15,12,0,0,0,0,27,0
Moera,"Moera Community Hall, 107 Randwick Crescent",3,6,0,2,0,0,11,0
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",0,9,0,3,0,0,12,0
Naenae,"Naenae Library, Hillary Court",299,930,35,112,10,14,1400,27
,"Te Mangungu Marae, 77 Rata Street",7,53,2,7,1,0,70,2
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",46,63,3,16,0,2,130,0
,"Petone Working Men's Club, 47 Udy Street",56,73,7,5,2,0,143,1
,"WelTec, Petone Campus, C Block, Room C116, 21 Kensington Avenue",8,7,0,3,0,0,18,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",25,29,1,2,4,2,63,1
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",30,29,5,0,1,0,65,0
Silverstream,"Silverstream School, 1 Whitemans Road",573,551,37,74,11,2,1248,5
Stokes Valley,"Koraunui Marae Hall, 146 Stokes Valley Road",154,265,12,47,8,4,490,9
Taitā,"Walter Nash Centre, 26 Taine Street",341,877,24,104,33,10,1389,20
Taken in Remutaka,"Care Homes, Team 2",79,154,5,6,4,1,249,11
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",3101,4615,264,391,152,52,8575,102
Wainuiomata,"Wainuiomata War Memorial Hall, 1 Queen Street",3,22,0,1,0,0,26,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",136,240,9,43,3,0,431,2
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",46,79,5,23,1,2,156,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",45,115,2,28,3,1,194,0

Voting Places
Avalon,"Avalon Intermediate School Hall, 1041 High Street",114,247,14,22,21,8,426,4
,"Avalon Public Hall, 14 Mabey Road",80,162,6,17,4,3,272,2
,"Avalon School Hall, 10 Gordon Street",124,188,14,20,1,7,354,1
Belmont,"Belmont Hall, 711 Western Hutt Road",42,73,1,12,2,0,130,2
Birchville,"Birchville School Hall, 16 Gemstone Drive",186,301,24,40,26,6,583,4
Blue Mountains,"Blue Mountains Progressive Association, 4 Avian Crescent",68,82,8,11,4,0,173,1
Brown Owl,"Chanel Family Centre, 1285 Fergusson Drive",199,256,34,33,11,14,547,1
Clouston Park,"St Hilda's Church Hall, 35 Cruickshank Road",127,242,18,16,12,2,417,4
Ebdentown,"Oxford Crescent School Hall, 5 Oxford Crescent",113,238,12,21,13,1,398,1
Elderslea,"Fraser Crescent School Hall, 16 Redwood Street",169,289,26,28,19,7,538,4
Epuni,"Dyer Street School, 9 Dyer Street",28,41,3,6,1,0,79,0
,"Epuni School Hall, 313 Waiwhetu Road",32,36,5,2,1,1,77,0
Heretaunga,"St Brendan's School Hall, 56 Palmer Crescent",232,332,13,27,4,2,610,2
Hutt Central,"Eastern Hutt School, 83 Kings Crescent",15,16,0,4,2,1,38,1
,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",93,166,7,28,5,1,300,2
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",61,96,6,10,2,7,182,0
Mangaroa,"Mangaroa School Hall, 93 Flux Road",176,144,20,9,12,3,364,2
Maoribank,"Te Kura o Hau Karetu - Maoribank School Hall, 32 Hillside Drive",88,192,11,22,11,3,327,8
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",6,4,0,4,0,0,14,0
Naenae,"Naenae Primary School Hall, 27 Wheatley Street",89,233,10,41,5,12,390,2
,"Rātā Street School Hall, 73 Rata Street",87,366,9,43,16,12,533,8
,"Treadwell Street Hall, 25A Treadwell Street",53,210,7,24,6,8,308,3
Petone,"Petone Working Men's Club, 47 Udy Street",10,16,1,4,1,3,35,1
Pinehaven,"Pinehaven Community Hall, 5A Forest Road",132,247,20,29,12,7,447,1
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",2,3,0,0,1,0,6,0
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",0,7,0,3,1,0,11,0
Riverstone Terraces,"Garage of Private House, 1 Betty Watt Grove",175,176,9,5,12,5,382,1
Silverstream,"Silverstream School, 1 Whitemans Road",610,662,51,79,39,13,1454,5
Stokes Valley,"Koraunui Marae Hall, 146 Stokes Valley Road",164,357,19,49,20,12,621,15
,"Koraunui School Hall, 17 Kairimu Street",235,330,14,49,22,16,666,7
,"Tawhai School Hall, 69 Glen Road",250,352,20,50,26,18,716,3
Taitā,"Pomare School Hall, 4 Partridge Street",37,179,4,12,9,1,242,4
,"Walter Nash Centre, 26 Taine Street",48,329,15,35,14,6,447,7
Te Mārua,"Plateau School, 12A Molloys Road",136,171,15,22,8,2,354,4
Totara Park,"Totara Park School Hall, 16 California Drive",221,426,23,44,11,4,729,7
Trentham,"Trentham School Hall, 2 Moonshine Road",243,444,14,35,23,10,769,7
,"Upper Hutt Baptist Church, 1 Milton Street",188,289,17,21,17,2,534,7
Upper Hutt Central,"St Joseph's Scout Hall, 46 Royal Street",87,175,7,14,12,1,296,0
,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",314,636,34,72,23,8,1087,19
Wainuiomata,"Wainuiomata Primary School, 1 Homedale Road",3,3,0,0,0,0,6,0
,"Wainuiomata War Memorial Hall, 1 Queen Street",3,5,0,0,0,0,8,0
Wallaceville,"Heretaunga College Hall, 38 Ward Street",153,411,19,39,13,10,645,4
Waterloo,"Waterloo School, 26 Hardy Street",6,17,0,4,0,1,28,0
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",4,3,0,3,1,1,12,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",2,6,0,2,0,0,10,0

,Overseas Special Votes Including Defence Force - Remutaka,267,417,27,80,11,2,804,6
,Special Votes BEFORE Polling Day - Remutaka,785,1186,81,256,60,23,2391,48
,Special Votes ON Polling Day - Remutaka,995,1714,134,341,104,56,3344,65
,Voting places where less than 6 votes were taken,0,1,3,0,0,0,4,0

,Remutaka Total,13485,22344,1261,2794,899,409,41192,504

,Valid Candidate Votes plus Informal Candidate Votes,,41696

Electorate Candidate Valid Votes,Party,,,"HIPKINS, Christopher John - majority 8859"
"CHATTERTON, Emma May",National Party,13485,32.74
"HIPKINS, Christopher John",Labour Party,22344,54.24
"HURLE, Michael Stennett",ACT New Zealand,1261,3.06
"NORTON, Christopher Bruce",Green Party,2794,6.78
"PITIROI, Anthony",NewZeal,899,2.18
"ROBERTSON, Heker Tony",Vision New Zealand,409,0.99
