Party and Electorate Candidate Votes Recorded at each Voting Place
Mana 20,Candidate Vote Details
,,"BHARGAVA, Kush","BROWN, Lily","DAO-MCLAY, Gina Quynh","EDMONDS, Barbara Rachael Fati Palepa","FOSTER, Andrew (Andy)","GOODE, Richard","HUGHES, Frances","TEMPERTON, Lisa",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,0,3,114,2,1,19,1,140,9
,"The Salvation Army, 89 Warspite Avenue",1,8,41,409,27,0,69,10,565,21
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",0,6,16,40,4,0,57,3,126,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",0,8,15,71,4,0,72,4,174,7
Kelburn,"Victoria University, The Hub, Kelburn Parade",0,3,42,60,2,0,13,0,120,1
Linden,"Linden Social Centre, 10 Linden Avenue",0,27,56,292,32,4,194,3,608,8
Mana,"St Barnabas Church Hall, 106 Mana Esplanade",4,29,53,233,37,1,355,9,721,1
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",0,0,5,15,0,0,3,0,23,0
Paekākāriki,"St Peter's Village Hall, Beach Road (corner Ames Street)",0,1,40,127,11,0,54,6,239,1
Paraparaumu,"Coastlands Mall, Countdown Foyer, Old State Highway 1",1,93,295,1373,152,2,944,50,2910,25
,"Kapiti Youth Support, 15 Tutanekai Street",0,3,5,10,5,0,9,0,32,0
,"St Paul's Anglican Church, 1 Langdale Avenue",1,12,32,197,34,0,183,10,469,4
Plimmerton,"St Theresa's Catholic Church, 210 St Andrews Road",0,8,33,165,11,0,182,5,404,3
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",10,151,370,2480,163,7,1547,46,4774,55
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",22,120,382,2390,210,1,1527,41,4693,50
,"Pātaka Art + Museum, 17 Parumoana Street",2,9,57,326,24,0,161,4,583,6
,"Whitireia New Zealand, Room WK136, 3 Wi Neera Drive",0,2,8,34,2,0,8,0,54,2
Pukerua Bay,"Pukerua Bay School Hall, 89 Rawhiti Road",1,5,21,77,1,0,28,1,134,0
Takapūwāhia,"Takapūwāhia Te Puna Ora, (corner Te Hiko Street & Ngatitoa Street)",0,0,5,46,2,0,7,1,61,4
Taken in Mana,"Hospital & Care Homes, Team 1",1,7,14,158,10,0,140,0,330,4
,"Pop-up Voting Services, Various Locations - Raumati Beach and Tītahi Bay",2,14,33,210,13,0,121,8,401,5
Tawa,"Tawa Community Centre, 5 Cambridge Street",0,11,32,187,17,1,148,1,397,4
,"Tawa Union Church, 6 Elena Place",1,0,2,13,4,0,13,0,33,0
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",0,2,5,15,2,0,12,0,36,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",4,12,58,287,18,1,185,2,567,1
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",0,7,37,84,10,1,72,1,212,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",2,5,30,95,7,0,78,1,218,1
Whitby,"St Mary's Anglican Church, Whitby Shopping Centre, 69D Discovery Drive",1,14,13,139,15,0,228,2,412,0
,"The Anchor Church, 1 Joseph Banks Drive",0,7,15,65,8,0,166,2,263,1

Voting Places
Aotea,"Aotea College Multi-Space Unit, Okowai Road, access from Frances Brown Drive carpark",6,22,49,292,29,1,308,1,708,8
Ascot Park,"Rangikura School Hall, 95 Conclusion Street",0,7,26,245,13,0,54,8,353,5
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",1,3,21,307,17,1,19,1,370,5
,"Maraeroa School Hall, 47 Driver Crescent",0,1,10,167,9,0,7,7,201,2
,"The Salvation Army, 89 Warspite Avenue",3,1,23,212,9,1,13,4,266,7
,"Windley School Hall, 146 Mungavin Avenue",2,2,9,123,8,0,12,1,157,10
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",0,0,3,11,1,0,4,0,19,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",0,2,4,11,1,0,6,2,26,0
Linden,"Linden Social Centre, 10 Linden Avenue",4,12,61,314,52,2,177,13,635,13
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",0,0,1,4,1,0,4,1,11,0
Mana,"St Barnabas Church Hall, 106 Mana Esplanade",2,30,74,306,36,2,311,9,770,4
Paekākāriki,"Paekākāriki School Hall, 100 Wellington Road",1,15,83,261,10,0,77,12,459,2
Papakōwhai,"Papakōwhai School Hall, 17 Spey Place",2,23,37,223,13,1,222,7,528,1
Paraparaumu,"Paraparaumu Baptist Church, 77 Ruapehu Street",4,21,49,118,24,2,85,22,325,1
,"Paraparaumu Bridge Club, 1 Brett Ambler Way",1,14,16,67,9,0,47,6,160,1
,"St Paul's Anglican Church, 1 Langdale Avenue",0,4,16,29,4,0,24,0,77,0
Paraparaumu Beach,"Ocean Road Community Centre, 45 Ocean Road",0,1,12,29,3,0,22,1,68,0
Pāuatahanui,"Pāuatahanui School Hall, 12 Paekākāriki Hill Road",0,14,28,84,17,1,188,2,334,4
Plimmerton,"Plimmerton School Hall, 11 School Road",0,8,60,266,25,3,189,19,570,4
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",1,13,62,321,33,0,125,15,570,9
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",1,18,63,307,44,2,130,7,572,3
,"Pātaka Art + Museum, 17 Parumoana Street",0,8,37,167,6,0,73,3,294,5
Pukerua Bay,"Pukerua Bay School Hall, 89 Rawhiti Road",2,16,56,223,27,1,146,10,481,2
Rānui,"Porirua East School Hall, 8 Martin Street",1,7,30,272,23,1,57,6,397,3
Raumati Beach,"Raumati Beach School Hall, 26-34 Raumati Road",1,24,79,389,55,2,358,33,941,2
Raumati South,"Raumati South School Hall, 54A Matai Road",2,19,109,294,35,0,173,27,659,2
Tawa,"Greenacres School, 60 Raroa Terrace",0,2,13,69,8,0,48,2,142,3
,"Redwood School, 71A Redwood Avenue",0,1,3,6,0,0,10,1,21,0
,"Tawa Community Hall, 7 Cambridge Street",3,5,11,39,4,0,42,1,105,0
,"Tawa School, 6A Oxford Street",1,1,1,14,2,1,12,1,33,1
Tītahi Bay,"Ngāti Toa School Hall, 44 Piko Street",0,7,17,104,16,0,29,4,177,6
,"Titahi Bay Intermediate School Hall, 16 Kahutea Terrace",1,9,31,245,16,0,70,4,376,2
,"Titahi Bay North School, 47 Jillett Street",1,4,25,111,17,1,24,1,184,1
,"Tītahi Bay School Hall, 11 Kura Street",0,9,36,257,26,0,71,3,402,1
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",0,1,0,5,1,0,2,0,9,0
Waitangirua,"Nātone Park School Hall, 6 Kokiri Crescent",2,3,15,230,5,1,19,2,277,5
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",0,1,3,6,0,0,1,0,11,1
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",0,0,0,7,0,0,4,0,11,1
Whitby,"Discovery School Hall, 2 Pullen Lane",1,15,73,246,30,3,282,3,653,5
,"Postgate School Hall, 3 Staithes Drive North",2,18,36,244,39,0,191,6,536,2
,"St Mary's Anglican Church, Whitby Shopping Centre, 69D Discovery Drive",2,14,42,211,27,0,264,7,567,6
,"The Anchor Church, 1 Joseph Banks Drive",0,22,60,252,36,1,429,4,804,1

,Overseas Special Votes Including Defence Force - Mana,5,36,213,479,33,0,330,5,1101,4
,Special Votes BEFORE Polling Day - Mana,29,111,493,1467,142,6,888,45,3181,50
,Special Votes ON Polling Day - Mana,22,87,424,1449,115,4,729,69,2899,50
,Voting places where less than 6 votes were taken,0,0,0,3,0,0,3,0,6,0

,Mana Total,156,1195,4232,20198,1848,56,12874,586,41145,446

,Valid Candidate Votes plus Informal Candidate Votes,,41591

Electorate Candidate Valid Votes,Party,,,"EDMONDS, Barbara Rachael Fati Palepa - majority 7324"
"BHARGAVA, Kush",Protect and Prosper New Zealand,156,0.38
"BROWN, Lily",ACT New Zealand,1195,2.90
"DAO-MCLAY, Gina Quynh",Green Party,4232,10.29
