Party and Electorate Candidate Votes Recorded at each Voting Place
Banks Peninsula 2,Candidate Vote Details
,,"ALLINGTON, Douglas","JEET, Paran","KERSLAKE, Lindsay","McLELLAN, Tracey Lee","MEAD, Lisa Marie","PHAM, Ngoc-Lan Thi","TRASK, Laura Barbara","WAKEMAN, Peter Keith","WEENINK, Vanessa",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,0,2,10,1,8,0,0,20,41,0
Akaroa,"Akaroa Fire Station, 49 Beach Road",9,3,17,148,0,56,33,3,246,515,7
Belfast,"Belfast Salvation Army, 794 Main North Road",0,0,2,7,0,2,1,0,4,16,0
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",5,9,24,175,3,35,20,1,94,366,12
Cashmere,"South Christchurch Library, 66 Colombo Street",16,16,89,1344,22,577,99,9,1338,3510,19
Cass Bay,"TS Godley, Ward Room, 64 Governors Bay Road",0,0,1,36,0,19,0,0,30,86,1
Christchurch Central City,"Ara Institute of Canterbury, Rakaia Building, 130 Madras Street",0,1,1,85,1,67,6,0,37,198,0
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",0,2,3,150,2,77,9,2,101,346,4
,"South City Shopping Centre, 555 Colombo Street",11,9,20,350,1,180,32,1,333,937,7
,"Te Wānanga o Aotearoa, 348 Manchester Street",1,1,2,18,0,16,0,0,7,45,0
,"Tūranga Library, 60 Cathedral Square",0,1,2,72,2,58,4,0,56,195,1
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",1,2,1,70,0,32,5,3,96,210,1
Diamond Harbour,"Diamond Harbour Memorial Hall, 2A Waipapa Avenue",1,0,2,61,1,38,6,0,52,161,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,0,0,15,0,20,0,0,11,46,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",0,0,0,16,0,4,2,0,17,39,0
Halswell,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",20,17,113,1139,54,341,170,11,1876,3741,35
Harewood,"Christchurch International Airport, International Departure Lounge - AIRSIDE, 30 Durey Road",0,0,4,13,0,13,3,0,22,55,0
Hoon Hay,"Hoon Hay Community Centre, 90 Hoon Hay Road",4,1,5,58,3,25,9,1,103,209,0
Hornby,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",1,2,3,82,1,30,23,0,136,278,1
Ilam,"University of Canterbury, The Engineering Core, Creyke Road",0,2,0,52,0,42,2,0,33,131,0
,"University of Canterbury, The Undercroft, Ilam Road",0,1,4,119,3,105,11,0,48,291,1
Lincoln,"Lincoln Event Centre, 15 Meijer Drive",2,0,2,18,0,8,3,0,24,57,1
,"Lincoln University Library, Ivey Hall, (corner Ellesmere Junction & Springs Road)",1,0,0,27,6,18,1,0,22,75,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",13,10,48,596,17,132,41,3,243,1103,14
Lyttelton,"Lyttelton Mt Herbert Community Facility, 25 Canterbury Street",3,8,33,520,6,306,36,2,200,1114,5
Marshland,"Preston's Road Mall, next to New World, 420 Marshland Road",0,0,1,8,0,5,2,1,13,30,0
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",15,12,46,567,10,261,71,6,926,1914,12
New Brighton,"New Brighton Club, 202 Marine Parade",1,0,2,23,1,17,1,0,13,58,0
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",0,0,3,33,0,21,4,0,50,111,2
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",1,3,24,194,8,75,47,4,224,580,7
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",2,1,11,102,3,32,14,0,84,249,4
Somerfield,"Pioneer Recreation & Sport Centre, 1st Floor, 75 Lyttelton Street",4,3,29,465,7,178,51,3,451,1191,2
,"Te Kura Kaupapa Māori o Te Whānau Tahi, Wharenui, 83 Lyttelton Street",0,0,1,10,0,1,0,0,9,21,0
Spreydon,"Barrington Mall, 256 Barrington Street",12,12,61,735,11,192,51,5,685,1764,15
Sumner,"Matuku Takotako: Sumner Centre, (corner Nayland Street & Wakefield Avenue)",11,8,27,625,8,277,56,5,851,1868,11
Taken in Banks Peninsula,"Care Homes, Team 1",8,5,20,97,3,11,2,1,55,202,22
,"Pop-up Voting Services, Various Locations - Koukourarata Marae, Pigeon Bay, Little Akaloa, Okains Bay",2,0,3,28,0,11,2,1,30,77,1
,"Pop-up Voting Services, Various Locations - Le Bons Bay, Wainui, Rapaki Marae",4,0,1,18,1,16,8,0,48,96,0
Taken in Christchurch Central,"Hospital and Care Homes, Team 1",0,0,1,6,0,0,0,0,1,8,1
Upper Riccarton,"Bush Inn Centre, (corner Riccarton Road & Waimairi Road)",0,0,2,20,1,9,5,0,44,81,0
,"The Warehouse Riccarton, 265 Blenheim Road",1,1,10,77,1,29,14,1,107,241,2
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",1,0,11,74,2,29,4,1,31,153,1
,"Gurudwara Singh Sabha, 537 Ferry Road",1,2,0,5,0,6,0,0,9,23,2
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",13,15,92,772,23,208,67,3,385,1578,11
,"The Tannery, Metropolitan Lounge, 3 Garlands Road",1,0,4,60,0,31,16,0,33,145,1

Voting Places
Addington,"Addington School Te Kura Taumatua Hall, 17-22 Somerset Crescent",0,0,2,7,0,2,1,1,3,16,0
,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",0,0,0,5,1,8,3,0,18,35,0
Akaroa,"Akaroa Area School Gymnasium, 141 Rue Jolie, Selwyn Avenue entrance",3,1,12,64,1,33,5,0,90,209,1
Beckenham,"Beckenham Te Kura o Pūroto School Hall, 71 Sandwich Road",1,0,4,51,0,26,2,0,43,127,2
,"St Peter's Parish Centre Hall, 11 Fisher Avenue",2,0,6,40,1,11,7,1,39,107,1
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",1,0,14,68,2,15,4,1,30,135,5
Cashmere,"Cashmere Primary School Hall, 135 Hackthorne Road",5,1,10,160,3,69,22,0,324,594,2
,"Landsdowne Community Centre, 8 Landsdowne Terrace",2,3,13,158,6,64,15,0,167,428,3
Christchurch Central City,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",1,0,1,24,0,6,0,0,18,50,0
,"South City Shopping Centre, 555 Colombo Street",1,1,2,38,5,26,3,0,30,106,1
,"Tūranga Library, 60 Cathedral Square",1,0,2,15,3,9,1,0,8,39,0
Cracroft,"Christchurch Adventure Park, end of McVicars Drive, off Worsleys Road",0,0,1,30,0,16,4,0,43,94,2
Diamond Harbour,"Diamond Harbour Memorial Hall, 2A Waipapa Avenue",3,5,6,87,8,68,12,1,64,254,5
,"Diamond Harbour School Hall, 13 Hunters Road",10,10,22,112,5,112,19,1,107,398,1
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",0,0,0,4,0,4,2,0,3,13,0
Duvauchelle,"Duvauchelle Community Centre, 6039 Christchurch Akaroa Road",1,0,7,44,0,18,9,0,70,149,2
Fendalton,"Fendalton Community Centre, 170 Clyde Road",0,0,0,0,2,2,2,0,7,13,0
Governors Bay,"Governors Bay Community Centre, 1 Cresswell Avenue",13,3,15,125,4,62,17,2,133,374,3
Halswell,"Aidanfield Christian School Hall, 2 Nash Road",0,0,3,14,1,8,5,1,30,62,0
,"Halswell School Hall, (corner Kennedys Bush & School Road)",5,7,14,151,11,95,33,2,318,636,5
,"Mingimingi Hautoa - Knights Stream School Hall, 1 Killarney Avenue",2,0,1,38,2,11,0,0,50,104,1
,"Oaklands School Hall, 37 Cunningham Place",4,2,20,146,14,44,28,0,175,433,4
,"St Mary's Anglican Church Hall, 329 Halswell Road",3,2,25,201,16,58,41,2,291,639,12
,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",8,7,23,207,14,102,39,2,295,697,2
Heathcote Valley,"Heathcote Valley School Hall, 61 Bridle Path Road",6,12,21,279,10,122,36,1,203,690,2
Hoon Hay,"Hoon Hay Te Kura Kōaka, Primary School Hall, 91 Sparks Road",3,4,5,101,2,29,13,1,79,237,2
,"Te Kōmanawa Rowley School Hall, 48 Rowley Avenue",0,0,0,2,0,3,1,0,1,7,0
,"Te Kura o Mōkihi Spreydon School Hall, 50 Hoon Hay Road",2,0,2,21,2,13,2,0,28,70,1
Hornby,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",1,0,4,8,1,7,1,1,20,43,0
Huntsbury,"Huntsbury Community Centre, 30H Huntsbury Avenue",2,2,6,99,7,63,4,1,107,291,4
Lincoln,"Lincoln Event Centre, 15 Meijer Drive",0,1,0,3,0,0,1,0,11,16,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",1,3,12,84,6,23,8,0,23,160,6
